Name,Address,Original Website,Website,source_city
Atlanta Coffee Roasters,"2205 Lavista Rd, Atlanta, GA 30329",http://www.atlantacoffeeroasters.com/,https://atlantacoffeeroasters.com/single-origin-c45708300,atlanta
Belux Coffee Roswell,"1055 Alpharetta St Ste 1800, Roswell, GA 30075",http://www.beluxcoffee.com/,https://www.beluxcoffee.com/shop,atlanta
Portrait Coffee,"1065 Ralph David Abernathy Blvd SW # A, Atlanta, GA 30310",http://portrait.coffee/,http://portrait.coffee/products/colombia-sonson-black-honey,atlanta
East Pole Coffee Co.,"255 Ottley Dr NE #105, Atlanta, GA 30324",http://eastpole.coffee/,http://eastpole.coffee/collections/coffee,atlanta
Elite Roasters of Atlanta,"1592 Atlanta Rd SE ste 130A, Marietta, GA 30060",https://eliteroastersofatlanta.com/,https://eliteroastersofatlanta.com/collections/coffee,atlanta
Valor Coffee,"5531 Chamblee Dunwoody Rd, Dunwoody, GA 30338",http://valor.coffee/,http://valor.coffee/shop/coffee,atlanta
San Francisco Coffee Roasting Company,"1192 N Highland Ave NE, Atlanta, GA 30306",https://www.sanfranciscocoffeeroastingco.com/,https://www.sanfranciscocoffeeroastingco.com/collections/coffee-and-subscriptions,atlanta
Firelight Coffee Roasters,"3800 Wendell Dr SW #105, Atlanta, GA 30336",https://firelightcoffee.com/,https://firelightcoffee.com/collections/coffee,atlanta
Peach Coffee Roasters,"10875 Jones Bridge Rd #5, Johns Creek, GA 30022",https://www.peachcoffeeroasters.com/,https://www.peachcoffeeroasters.com/collections/coffee,atlanta
Chrome Yellow,"501 Edgewood Ave SE, Atlanta, GA 30312",https://chrome-yellow.com/,https://chrome-yellow.com/collections/coffee,atlanta
FiNCA TO FiLTER O4W,"652 Angier Ave NE Suite A, Atlanta, GA 30308",https://www.finca.coffee/,https://www.finca.coffee/shop,atlanta
Radio Roasters Coffee,"2969 E Ponce de Leon Ave Suite 320, Decatur, GA 30030",http://radioroasters.com/,http://radioroasters.com/collections/all-coffees,atlanta
Postern Coffee,"2421 Van Fleet Cir Suite 124, Doraville, GA 30360",http://posterncoffee.com/,http://posterncoffee.com/collections/coffee,atlanta
Coffee That Matters by Phoenix Roasters,"2640 Old Peachtree Rd NW C, Duluth, GA 30097",https://phoenixroasters.coffee/pages/where-to-find-us,https://phoenixroasters.coffee/collections/coffee,atlanta
Cloudland Coffee Company,"11130 State Bridge Rd Ste. E104, Johns Creek, GA 30022",https://cloudlandcoffee.com/,https://cloudlandcoffee.com/collections/frontpage,atlanta
"Boarding Pass Coffee - Roastery (Milton, GA)","13695 GA-9 Suite 102, Alpharetta, GA 30004",http://www.boardingpasscoffee.com/,http://www.boardingpasscoffee.com/collections/full-selection,atlanta
Flow Coffee Roasters,"3172 E Ponce de Leon Ave, Scottdale, GA 30079",https://www.flowcoffeeatl.com/,https://www.flowcoffeeatl.com/shop,atlanta
Con Leche Coffee,"181 Flat Shoals Ave SE Unit 1, Atlanta, GA 30316",https://www.conleche.com/,https://radioroasters.com/?utm_source=conleche-website,atlanta
Bellwood Coffee - East Atlanta Village,"1336 Glenwood Ave SE, Atlanta, GA 30316",http://bellwoodcoffee.com/,http://bellwoodcoffee.com/collections/coffee,atlanta
Prevail Union | ATL,"1050 Howell Mill Rd NW, Atlanta, GA 30318",http://www.prevailcoffee.com/,http://www.prevailcoffee.com/collections/all-coffees,atlanta
Opo Coffee,"314 E Howard Ave, Decatur, GA 30030",http://opocoffee.com/,https://shop.opocoffee.com/collections/all,atlanta
Aroma Ridge Coffee Roasters,"1831 W Oak Pkwy # C, Marietta, GA 30062",http://aromaridge.com/,http://aromaridge.com/collections/roasted-coffees,atlanta
Two Jays Coffee Roasters,"1341 Capital Cir # C, Marietta, GA 30067",http://www.twojayscoffee.com/,https://www.twojayscoffee.com/roasted-coffee,atlanta
Rev Coffee,"1680 Spring Rd SE B, Smyrna, GA 30080",http://www.revcoffee.com/,http://www.revcoffee.com/collections/coffee,atlanta
Foxtail Coffee Co.- Buckhead,"3699 Lenox Rd NE Suite 1, Atlanta, GA 30305",https://www.foxtailcoffee.com/locations/foxtail-coffee-buckhead,https://shop.foxtailcoffee.com/collections/coffee,atlanta
Kin Coffee Co.,"5352 Peachtree Rd, Chamblee, GA 30341",https://www.kincoffeeco.com/,https://www.kincoffeeco.com/store,atlanta
Lucky Goat Coffee - Dunwoody Park,"Dunwoody Park Suite 300, Dunwoody, GA 30338",https://luckygoatcoffee.com/pages/dunwoody-park,https://luckygoatcoffee.com/collections/coffee,atlanta
Summit Coffee Dunwoody,"5482 Chamblee Dunwoody Rd # 23A, Dunwoody, GA 30338",https://www.summitcoffee.com/dunwoody,https://www.summitcoffee.com/shopcoffee,atlanta
Refuge Coffee Co. Clarkston,"4170 E Ponce de Leon Ave NE, Clarkston, GA 30021",http://www.refugecoffeeco.com/,https://shop.refugecoffeeco.com,atlanta
Warm Waves Coffee House,"52-A S Main St, Alpharetta, GA 30009",https://warmwavescoffee.com/,https://warmwavescoffee.com/collections/coffee,atlanta
Artifex Coffee,"1815 Hembree Rd Unit 208, Alpharetta, GA 30009",https://artifexcoffees.com/,https://artifexcoffees.com/collections/all,atlanta
Rex Coffee Roasters,"1435 Bluegrass Lakes Pkwy Suite 160, Alpharetta, GA 30004",https://rexcoffee.com/,https://rexcoffee.com/shop/,atlanta
Cips Coffee Roasters,"2780 W Village Dr Suite B, Suwanee, GA 30024",http://www.cipscoffeeroasters.com/,https://cipscoffeeroasters.com/buy-coffee/,atlanta
Alma Coffee,"3448 Holly Springs Pkwy, Canton, GA 30115",https://myalmacoffee.com/,https://myalmacoffee.com/collections/coffee,atlanta
Cafe Blue,"2005 Boggs Rd NW Suite 100, Duluth, GA 30096",http://www.jbmcusa.com/,http://www.jbmcusa.com/collections/new-beans,atlanta
Volcanica Coffee,"4110 Tench Rd Suite H, Suwanee, GA 30024",https://volcanicacoffee.com/,https://volcanicacoffee.com/collections/all-coffees,atlanta
