Name,Address,Original Website,Website,source_city
Opo Coffee,"314 E Howard Ave, Decatur, GA 30030",http://opocoffee.com/,https://shop.opocoffee.com/collections/all,decatur
Bellwood Coffee - Decatur,"133 E Court Square, Decatur, GA 30030",https://bellwoodcoffee.com/,https://bellwoodcoffee.com/collections/coffee,decatur
Radio Roasters Coffee,"2969 E Ponce de Leon Ave Suite 320, Decatur, GA 30030",http://radioroasters.com/,http://radioroasters.com/collections/all-coffees,decatur
Foxtail Coffee - Decatur,"101 W Ponce de Leon Ave Suite 110-AX, Decatur, GA 30030",https://www.foxtailcoffee.com/,https://shop.foxtailcoffee.com/collections/coffee,decatur
Dancing Goats Coffee Decatur,"419 W Ponce de Leon Ave, Decatur, GA 30030",https://www.dancinggoats.com/pages/dancing-goats-coffee-bar,https://www.dancinggoats.com/collections/coffee,decatur
Flow Coffee Roasters,"3172 E Ponce de Leon Ave, Scottdale, GA 30079",https://www.flowcoffeeatl.com/,https://www.flowcoffeeatl.com/shop,decatur
ChocoLaté Coffee,"2094 N Decatur Rd, Decatur, GA 30033",http://www.mychocolatecoffee.com/,https://www.shopmychocolatecoffee.com/,decatur
Summit Coffee Emory Village,"1565 N Decatur Rd, Atlanta, GA 30307",https://www.summitcoffee.com/emoryvillage,https://www.summitcoffee.com/shopcoffee,decatur
PERC,"2380 Hosea L Williams Dr NE, Atlanta, GA 30317",http://perccoffee.com/,http://perccoffee.com/collections/coffee,decatur
The Depot by Kaldi's Coffee,"1 Eagle Row, Atlanta, GA 30322",http://kaldiscoffee.com/pages/the-depot,http://kaldiscoffee.com/collections/coffee,decatur
Refuge Coffee Co. Clarkston,"4170 E Ponce de Leon Ave NE, Clarkston, GA 30021",http://www.refugecoffeeco.com/,https://shop.refugecoffeeco.com,decatur
The River Coffee Company,"101 N Main St, Decatur, IL 62523",http://rivercoffee.co/,https://www.rivercoffee.co/shop/coffee-beans/,decatur
New Wave Coffee Roasters,"2405 Lyndon Ave #121, Chattanooga, TN 37415",http://www.newwave-chatt.com/,http://www.newwave-chatt.com/collections/shop,decatur
Voltage Coffee Project,"110 N Trinity St, Decatur, TX 76234",https://voltagecoffeeproject.com/,https://voltagecoffeeproject.com/collections/single-origin-coffees,decatur
Marquis Coffee Roasters,"1234 W Cerro Gordo St, Decatur, IL 62522",https://marquisbeverage.com/,https://marquisbeverage.com/collections/all,decatur
