Name,Address,Original Website,Website,source_city
Coffee That Matters by Phoenix Roasters,"2640 Old Peachtree Rd NW C, Duluth, GA 30097",https://phoenixroasters.coffee/pages/where-to-find-us,https://phoenixroasters.coffee/collections/coffee,duluth
Break Coffee Roasters,"3122 Hill St NW, Duluth, GA 30096",https://breakroasters.com/pages/duluth,https://breakroasters.com/collections/single-origin,duluth
Land of a Thousand Hills Coffee,"3176 Main St STE 200, Duluth, GA 30096",https://landofathousandhills.com/,https://landofathousandhills.com/collections/all,duluth
Qamaria Yemeni Coffee Co.,"2645 N Berkeley Lake Rd NW STE 221, Duluth, GA 30096",http://qamariacoffee.com/,http://qamariacoffee.com/shop/coffee,duluth
Cafe Blue,"2005 Boggs Rd NW Suite 100, Duluth, GA 30096",http://www.jbmcusa.com/,http://www.jbmcusa.com/collections/new-beans,duluth
Duluth Coffee Company Coffee Shop & Roastery,"105 E Superior St, Duluth, MN 55802",http://duluthcoffeecompany.com/,http://duluthcoffeecompany.com/collections/coffee,duluth
Almanac Coffee,"1917 W Superior St, Duluth, MN 55806",http://almanac.coffee/,http://almanac.coffee/shop,duluth
Cips Coffee Roasters,"2780 W Village Dr Suite B, Suwanee, GA 30024",http://www.cipscoffeeroasters.com/,https://cipscoffeeroasters.com/buy-coffee/,duluth
Peach Coffee Roasters,"10875 Jones Bridge Rd #5, Johns Creek, GA 30022",https://www.peachcoffeeroasters.com/,https://www.peachcoffeeroasters.com/collections/coffee,duluth
Postern Coffee,"2421 Van Fleet Cir Suite 124, Doraville, GA 30360",http://posterncoffee.com/,http://posterncoffee.com/collections/coffee,duluth
Warm Waves Coffee Roasters,"500 Buford Hwy, Suwanee, GA 30024",https://warmwavescoffee.com/,https://warmwavescoffee.com/collections/coffee,duluth
Rex Coffee Roasters,"1435 Bluegrass Lakes Pkwy Suite 160, Alpharetta, GA 30004",https://rexcoffee.com/,https://rexcoffee.com/shop/,duluth
Tchin Tchin Coffee,"179 E Moreno St Suite C, Buford, GA 30518",http://tchintchincoffee.com/,http://tchintchincoffee.com/shop-83wf1/light-roast-coffee,duluth
