Name,Address,Original Website,Website,source_city
Village Coffee,"2391 Ingleside Ave, Macon, GA 31204",http://vcmacon.com/,https://revcoffee.com/?srsltid=afmboop0xnvgphv5b0hny9t2jpq6gx5sbd4t8s1jow3dbw1mkrkgrvkf,macon
Taste and See Coffee Shop and Gallery,"546 Poplar St, Macon, GA 31201",http://www.tasteandseecoffee.com/,http://www.tasteandseecoffee.com/store,macon
Z Beans Coffee - Roasting Facility,"450D 3rd St, Macon, GA 31201",https://www.zbeanswholesale.com/,https://www.zbeanscoffee.com,macon
Roots and Refuge Coffee Roasters,"546 Poplar St, Macon, GA 31201",https://www.rootsandrefugecoffee.com/,https://www.rootsandrefugecoffee.com/store,macon
Z Beans Coffee - Mercer Village,"1635 Montpelier Ave, Macon, GA 31201",http://www.zbeanscoffee.com/,http://www.zbeanscoffee.com/collections/roasted-coffee,macon
Queen Bee Coffee Co.,"45 N Kimbell St Suite B, Forsyth, GA 31029",http://queenbeecoffee.com/,http://queenbeecoffee.com/collections/roasted-coffee,macon
Black Smoke Coffee,"2914 Macon Rd, Griffin, GA 30224",https://blacksmoke.coffee/,https://blacksmoke.coffee/shop/,macon
Lighthouse Coffee Company,"725 5th St, Macon, GA 31201",https://www.lighthousecoffeeco.net/,https://www.lighthousecoffeeco.net/shop-1,macon
Scooter's Coffee,"1881 Watson Blvd, Warner Robins, GA 31093",https://scooterscoffee.com/,https://www.scooterscoffee.com/shop/at-home-coffee,macon
"Skipper Family Farms, Est. 1912","4164 Jones Rd, Macon, GA 31216",https://skipperfamilyfarms.com/,https://skipperfamilyfarms.com/collections/the-breakfast-club,macon
