Name,Address,Original Website,Website,source_city
Belux Coffee Roswell,"1055 Alpharetta St Ste 1800, Roswell, GA 30075",http://www.beluxcoffee.com/,https://www.beluxcoffee.com/shop,roswell
Summit Coffee Roswell,"585 Atlanta St, Roswell, GA 30075",https://www.summitcoffee.com/roswell,https://www.summitcoffee.com/shopcoffee,roswell
Land Of A Thousand Hills Coffee,"352 S Atlanta St, Roswell, GA 30075",https://landofathousandhills.com/pages/roswell,https://landofathousandhills.com/collections/all,roswell
Degenerate Coffee Co.,"304 N Richardson Ave, Roswell, NM 88201",https://www.degeneratecoffee.com/,https://www.degeneratecoffee.com/shop,roswell
"Boarding Pass Coffee - Roastery (Milton, GA)","13695 GA-9 Suite 102, Alpharetta, GA 30004",http://www.boardingpasscoffee.com/,http://www.boardingpasscoffee.com/collections/full-selection,roswell
Valor Coffee Catering,"11660 Alpharetta Hwy Suite 262, Roswell, GA 30076",https://valor.coffee/catering,https://valor.coffee/shop/coffee,roswell
Peach Coffee Roasters,"10875 Jones Bridge Rd #5, Johns Creek, GA 30022",https://www.peachcoffeeroasters.com/,https://www.peachcoffeeroasters.com/collections/coffee,roswell
Aroma Ridge Coffee Roasters,"1831 W Oak Pkwy # C, Marietta, GA 30062",http://aromaridge.com/,http://aromaridge.com/collections/roasted-coffees,roswell
Rex Coffee Roasters,"1435 Bluegrass Lakes Pkwy Suite 160, Alpharetta, GA 30004",https://rexcoffee.com/,https://rexcoffee.com/shop/,roswell
Thrive Farmers International,"215 Hembree Park Dr # 100, Roswell, GA 30076",https://thrivefarmers.com/,https://thrivefarmers.com/thrivestore/coffee,roswell
The Human Bean,"2000 Holcomb Bridge Rd, Roswell, GA 30076",https://thehumanbean.com/blogs/stores/ga-roswell-holcomb-bridge-road,https://thehumanbean.com/collections,roswell
Warm Waves Coffee House,"52-A S Main St, Alpharetta, GA 30009",https://warmwavescoffee.com/,https://warmwavescoffee.com/collections/coffee,roswell
Scooter's Coffee,"550 W Crossville Rd #101, Roswell, GA 30075",https://scooterscoffee.com/,https://www.scooterscoffee.com/shop/at-home-coffee,roswell
