Name,Address,Website,source_city,sub_city,state,reason
Trellis Coffee Bar,"1902 Walton Wy, Augusta, GA 30904",https://trelliscoffeebar.com/,Augusta,augusta,GA,no_store_page
Honeycomb Specialty Coffee and Treats,"2621 Washington Rd, Augusta, GA 30904",https://www.honeycomb-coffee.com/,Augusta,augusta,GA,no_shop
Rooted Coffeehouse Downtown,"801 Greene St, Augusta, GA 30904",https://rootedcoffeehouse.com/,Augusta,augusta,GA,no_store_page
Emil's,"902 Broad St, Augusta, GA 30901",https://emilskitchen.com/,Augusta,augusta,GA,no_shop
"Bodega Ultima - Augusta, GA","353 Highland Ave, Augusta, GA 30904",http://bodegaultima.com/,Augusta,augusta,GA,no_store_page
"Inner Bean Cafe ( Augusta, GA )","139 Davis Rd Suite C, Augusta, GA 30907",http://www.innerbeancafe.com/,Augusta,augusta,GA,no_store_page
Edgar's Bakehouse,"3179 Washington Rd Ste B, Augusta, GA 30907",https://www.edgarsbakehouse.com/,Augusta,augusta,GA,no_store_page
Accelerator Coffee,"218 Main St, Barnwell, SC 29812",http://accelerator.coffee/,Augusta,aiken,GA,no_store_page
Nona & Pops,"112 Park St NW, Wagener, SC 29164",https://www.nonaandpops.com/,Augusta,aiken,GA,no_coffee_keywords
Bottom Line Bakery Aiken,"148 Laurens St SW, Aiken, SC 29801",https://www.bottomlinebakeryaiken.com/,Augusta,aiken,GA,no_coffee_keywords
The Polo Grounds Cafe,"225 Barnwell Ave NW, Aiken, SC 29801",https://www.pologroundscafe.com/,Augusta,aiken,GA,no_shop
The Village Cafe,"110 Coach Light Way SW, Aiken, SC 29803",http://www.thevillagecafeaiken.com/,Augusta,aiken,GA,no_shop
The Great Awakening Coffee Company,"33 Marvin Ave # B, Summerville, GA 30747",http://www.thegreatawakeningcoffeeco.com/,Augusta,aiken,GA,no_store_page
Neon Fig,"110 Park Ave SW, Aiken, SC 29801",http://neon-fig.com/,Augusta,aiken,GA,no_shop
Piecewise Coffee Co. - Cayce,"2001 State St, Cayce, SC 29033",http://www.piecewisecoffee.com/,Augusta,aiken,GA,no_store_page
Veg Out Cafe and Bakery,"1619 Whiskey Rd, Aiken, SC 29803",https://www.vegoutofaiken.com/,Augusta,aiken,GA,no_shop
"What's Cookin' Downtown - Aiken, SC","123 Laurens St NW B, Aiken, SC 29801",https://www.whatscookindowntown.com/,Augusta,aiken,GA,no_store_page
La Parisienne French restaurant and bakery,"233 Chesterfield St S, Aiken, SC 29801",http://www.laparisiennecafe.com/,Augusta,aiken,GA,no_coffee_keywords
"The Feed Sack - Aiken, SC","1593 Whiskey Rd, Aiken, SC 29803",https://www.thefeedsackrestaurants.com/?utm_source=google&utm_medium=wix_google_business_profile&utm_campaign=8008266289836924938,Augusta,aiken,GA,scrape_failed
