Name,Address,Original Website,Website,source_city,sub_city,state
Commander Coffee,"1128 Jones St, Augusta, GA 30901",http://commandercoffee.com/,http://commandercoffee.com/collections/coffee,Augusta,augusta,GA
Buona Caffe Artisan Roasted Coffee,"1858 Central Ave, Augusta, GA 30904",http://www.buonacaffe.com/,http://www.buonacaffe.com/collections/coffee,Augusta,augusta,GA
Stone Roastery,"502 Belvedere Clearwater Rd, North Augusta, SC 29841",https://www.stoneroastery.com/,https://www.stoneroastery.com/collections/all,Augusta,augusta,GA
Relic,"1504 Monte Sano Ave, Augusta, GA 30904",https://www.caferelic.com/,https://www.toasttab.com/reliccoffeecompany,Augusta,augusta,GA
Goat Kick Coffee Co - Roastery Location,"106 N Belair Rd, Evans, GA 30809",http://goatkickcoffee.com/,http://goatkickcoffee.com/collections/blends,Augusta,augusta,GA
MoonBeans Fine Roasted Coffees,"122 Laurens St NW, Aiken, SC 29801",https://www.newmoondowntown.com/location/new-moon-cafe-moonbeans/,https://www.newmoondowntown.com/store/,Augusta,augusta,GA
Three Tree Coffee Roasters,"441 S Main St #1a, Statesboro, GA 30458",http://www.threetreecoffee.com/,http://www.threetreecoffee.com/collections/coffees,Augusta,augusta,GA
Cavalier's Coffeehouse,"336 Georgia Ave Suite 107, North Augusta, SC 29841",http://www.cavscoffee.com/,https://www.cavscoffee.com/category/all-products,Augusta,augusta,GA
Ziggi's Coffee,"252 Furys Ferry Rd, Augusta, GA 30907",https://www.ziggiscoffee.com/,https://www.dillanos.com/collections/ziggis-coffee,Augusta,augusta,GA
Night Sky Coffee Roasters,"47 N Jackson St, Winder, GA 30680",http://www.nightskycoffeeroasters.com/?utm_source=google&utm_medium=wix_google_business_profile&utm_campaign=10913217354524942710,https://www.nightskycoffeeroasters.com/shop,Augusta,aiken,GA
Lighthouse Coffee Company,"725 5th St, Macon, GA 31201",https://www.lighthousecoffeeco.net/,https://www.lighthousecoffeeco.net/shop-1,Augusta,aiken,GA
Alma Coffee,"3448 Holly Springs Pkwy, Canton, GA 30115",https://myalmacoffee.com/,https://myalmacoffee.com/collections/coffee,Augusta,aiken,GA
J Martinez & Co,"3934 Green Industrial Way, Atlanta, GA 30341",https://www.martinezfinecoffees.com/,https://www.martinezfinecoffees.com/specialty-coffee-espresso-blue-mountain/espresso-coffee-beans.html,Augusta,martinez,GA
Beulah Roasting Co.,"532 Lexington St, Batesburg-Leesville, SC 29006",https://www.beulahroastingco.com/,https://www.beulahroastingco.com/collections/all,Augusta,martinez,GA
Graft Coffee Roasters,"414 Springfield Dr, Woodstock, GA 30188",https://graftcoffeeroasters.com/,https://graftcoffeeroasters.com/shop,Augusta,grovetown,GA
Because Coffee,"240 Dawson Village Way N #100, Dawsonville, GA 30534",https://because.coffee/,https://because.coffee/,Augusta,hephzibah,GA
Hamel Coffee Co.,"189 NW Broad St, Jesup, GA 31545",https://hamelcoffeeco.com/,https://order.toasttab.com/online/hamel-coffee-co,Augusta,hephzibah,GA
Swift & Finch Coffee,"600 Broad St, Rome, GA 30161",http://www.swiftandfinch.com/,http://www.swiftandfinch.com/shop,Augusta,hephzibah,GA
Bowdon Coffee Roasters,"140 City Hall Ave # C, Bowdon, GA 30108",http://www.bowdoncoffeeroasters.com/,http://www.bowdoncoffeeroasters.com/store,Augusta,blythe,GA
Blue Mountain Coffee Inc,"4250 Keith Bridge Rd #220, Cumming, GA 30041",http://www.bluemountaincoffee.com/,https://bluemountaincoffee.com/shop-products/,Augusta,blythe,GA
1000 Faces Coffee,"510 N Thomas St, Athens, GA 30601",https://1000facescoffee.com/,https://1000facescoffee.com/collections/coffee,Augusta,blythe,GA
Rōst coffee,"97 E 2nd St, Chillicothe, OH 45601",http://www.rostcoffee.com/,http://www.rostcoffee.com/,Augusta,blythe,GA
El Camino Coffee,"118 W Cherry St, Douglas, GA 31533",https://www.elcaminocoffee.com/,https://elcaminocoffee.com/shop/,Augusta,blythe,GA
