Name,Address,Website,source_city,reason
"Moschetti Artisan Roaster (Wholesale, Retail, Cafe and Online Shop)","11 6th St, Vallejo, CA 94590",http://www.moschetti.com/,austin,wrong_region
Praxis Coffee Roasters,"114 Linden St, Austin, TX 78702",http://www.praxiscoffee.com/,austin,no_store_page
Merfolk’s Specialty Coffee,"4930 S Congress Ave Ste 304c, Austin, TX 78745",http://merfolksatx.com/,austin,no_shop
Noble Joe Coffee Co.,"Southshore Eatery Food Truck Park, 1620 E Riverside Dr, Austin, TX 78741",https://www.noblejoe.co/,austin,no_store_page
Hold Steady Coffee Roastery,"13712 Trail Driver St, Austin, TX 78737",https://www.holdsteadycoffee.com/,austin,no_store_page
Odd Roots Coffee,"9600 Old Lockhart Rd, Austin, TX 78747",https://oddrootscoffee.com/,austin,no_coffee_keywords
Klerje Coffee,"1614 E 6th St #112, Austin, TX 78702",https://www.klerjecoffee.com/,austin,no_store_page
Lone Man Coffee,"3111 W 35th St, Austin, TX 78703",http://lonemancoffee.com/,austin,no_store_page
Barrett's Coffee,"713 W St Johns Ave, Austin, TX 78752",https://www.barrettscoffee.com/,austin,no_store_page
The Coffee Quest US | Green Coffee Importer/Exporter,"1606 W Stassney Ln #2, Austin, TX 78745",http://thecoffeequest.com/usa,austin,no_shop
Brewer's Choice Coffee,"E Braker Ln, Austin, TX 78753",https://brewers-choice.square.site/,austin,no_store_page
Afuga Coffee,"31 Navasota St Ste 100, Austin, TX 78702",https://afugacoffee.com/,austin,no_store_page
Trippy Buck Coffee Truck,"411 W 23rd St, Austin, TX 78705",https://linktr.ee/TrippyBuckCoffee?fbclid=PAZXh0bgNhZW0CMTEAAabL_SdQhHidJFIcwYRKiFoyLWPE7_3VPD7PLFgyfGtVFseVNhjQKClmW5w_aem_j3QCfZahzfV5bSdtjajWvA,austin,no_store_page
Idlewild Coffee,"824 W 12th St, Austin, TX 78701",https://www.idlewildcoffee.com/,austin,no_shop
Flitch Coffee,"641 Tillery St Suite 110, Austin, TX 78702",http://flitchcoffee.com/,austin,no_shop
Mazama Coffee Co,"301 Mercer St, Dripping Springs, TX 78620",http://www.mazamacoffee.com/,austin,no_store_page
Ghoul Coffee Company,"2324 E Cesar Chavez St #A, Austin, TX 78702",https://ghoulcoffeecompany.com/,austin,no_store_page
Dear Diary Coffee,"1212 Chicon St #103, Austin, TX 78702",https://deardiary.coffee/,austin,no_store_page
Radix House Coffee,"Coffee Shop, 2701 W William Cannon Dr, Austin, TX 78745",https://www.radixhouse.com/,austin,no_store_page
Rocket Coffee ATX & Pastries,"8701 W Parmer Ln #2127, Austin, TX 78729",https://www.rocketcoffeetx.com/,austin,no_store_page
Cenizo,"7033 Union Park Ln, Austin, TX 78744",http://www.cenizoatx.com/,austin,no_store_page
Civil Goat,"3423 Guadalupe St, Austin, TX 78705",http://www.civilgoat.com/,austin,no_store_page
Once Over Coffee Bar,"2009 S 1st St #100, Austin, TX 78704",http://www.onceovercoffeebar.com/,austin,no_coffee_keywords
Lake Austin Coffee Spot,"2652 Lake Austin Blvd, Austin, TX 78703",https://images.heb.com/is/content/HEBGrocery/PDF/lake-austin-coffee-spot-menu.pdf?utm_source=google&utm_medium=organic&utm_campaign=gmb_restaurant&utm_content=cs,austin,no_coffee_keywords
BRB Coffee,"3501 Guadalupe St, Austin, TX 78705",https://www.instagram.com/brbcoffee_atx/,austin,no_shop
RIP Coffee,"1100 Regal Row suite M, Austin, TX 78748",http://ripcoffeeatx.com/,austin,no_store_page
Mi Mundo Coffeehouse & Roastery,"106 S Mays St #100, Round Rock, TX 78664",http://mimundo-coffee.myshopify.com/,austin,no_store_page
Coffeehouse at Caroline,"109 E 7th St, Austin, TX 78701",https://www.carolinerestaurant.com/the-coffeehouse-at-caroline,austin,no_shop
Mañana Coffee,"111 Sandra Muraida Way suite #101, Austin, TX 78703",https://mananacoffee.com/,austin,no_store_page
Brother Friend Coffee South,"3507 S 1st St, Austin, TX 78704",http://brotherfriend.com/,austin,no_store_page
Freewheelin' Coffee,"1917 E Cesar Chavez St, Austin, TX 78702",https://www.freewheelincoffee.com/menu,austin,no_store_page
Stouthaus Coffee - Sunset Valley,"4715 S Lamar Blvd #102, Sunset Valley, TX 78745",http://www.stouthauscoffee.com/,austin,no_store_page
Austin Coffee Technician,"217 Millington Ln, Buda, TX 78610",http://austincoffeetechnician.com/,austin,no_shop
Lucky Lab Coffee Co.,"2421 San Antonio St, Austin, TX 78705",http://www.luckylabcoffee.com/,austin,no_store_page
Clover Coffee,"12400 Amherst Dr, Austin, TX 78727",https://www.facebook.com/profile.php?id=61561193702183,austin,no_shop
Numinous Coffee Roasters,"715 RM 1431, Marble Falls, TX 78654",http://numinouscoffee.com/,austin,no_store_page
Cosmic Pickle,"121 Pickle Rd, Austin, TX 78704",https://www.cosmichospitalitygroup.com/,austin,no_store_page
3rd Wave Coffee Roasters,"215 W King St #3, St. Augustine, FL 32084",https://3rdwavecoffee.com/,round rock,wrong_region
Coffee Enlightenment,"115 Sundance Pkwy #510, Round Rock, TX 78681",https://www.coffee-enlightenment.com/,round rock,no_store_page
Purely Provisions,"212 W Main St, Round Rock, TX 78664",http://www.purelyprovisions.com/,round rock,no_store_page
INSTILL COFFEE CO ROUND ROCK,"1551 E Old Settlers Blvd, Round Rock, TX 78664",http://www.instillcoffee.com/,round rock,no_store_page
Luna Espresso - Catering Warehouse,"2700 Louis Henna Blvd Suite 100 Unit A3, Round Rock, TX 78664",http://lunaespressocart.com/,round rock,no_shop
Unicorniverse Bakery & Cafe,"2400 S I-35 Frontage Rd #130, Round Rock, TX 78681",https://www.unicorniversebakery.com/,round rock,no_store_page
Seven Oaks Coffee,"15205 Ronald Reagan Blvd #702, Leander, TX 78641",https://www.sevenoakscoffee.com/,round rock,no_store_page
Black Rifle Coffee Company,"325 F M 2410, Harker Heights, TX 76548",https://www.blackriflecoffee.com/pages/harker-heights-retail,round rock,no_store_page
309 Coffee,"309 S Main St, Georgetown, TX 78626",http://309.coffee/,round rock,no_store_page
7 Brew Coffee,"2130 E Palm Valley Blvd, Round Rock, TX 78665",https://7brew.com/location/texas-round-rock-000247,round rock,no_store_page
August Beverage Company,"1204 Williams Dr, Georgetown, TX 78628",https://www.augustbeveragecompany.com/,round rock,no_coffee_keywords
Cafe Java,"2051 Gattis School Rd #120, Round Rock, TX 78664",https://www.thecafejava.com/,round rock,no_store_page
Kick Butt Coffee,"5775 Airport Blvd Suite 725, Austin, TX 78752",https://kickbuttcoffee.com/,round rock,no_store_page
Austin Grind,"4005 W Parmer Ln ste a, Austin, TX 78727",http://austingrind.com/,round rock,no_store_page
West Pecan Coffee + Beer,"100 W Pecan St, Pflugerville, TX 78660",https://westpecancoffee.com/,round rock,no_shop
Perky Beans Coffee & PB Cafe,"2080 N US Hwy 183 #210, Leander, TX 78641",https://www.perkybeanscoffee.com/,round rock,no_store_page
Rivery Coffee & Bagels,"1500 Rivery Blvd Suite 2155, Georgetown, TX 78628",http://www.riverycoffeehouse.com/,round rock,no_store_page
3rd Level Brewing,"1201 E Palm Valley Blvd, Round Rock, TX 78664",https://3rdlevelbrewing.com/,round rock,no_store_page
Sanford Sourdough Bakery & Market,"1025 Sendero Springs Dr suite 160, Round Rock, TX 78681",https://sanfordbakery.com/,round rock,no_coffee_keywords
Spinnaker Coffee,"1025 La Bonita Dr, San Marcos, CA 92078",https://www.thelakehouseresort.com/spinnaker-coffee,san marcos,wrong_region
California Roasting Collective,"1320 Grand Ave #12, San Marcos, CA 92078",https://www.caroastingcollective.com/,san marcos,wrong_region
Reality Roasters Coffee Co,"111 2nd St NE, Little Falls, MN 56345",http://realityroasters.com/,san marcos,wrong_region
Urban Sweet Cafe,"803 S Twin Oaks Valley Rd, San Marcos, CA 92078",http://www.urbansweetcafe.com/,san marcos,wrong_region
Ryan Bros Coffee of San Marcos,"133 N Twin Oaks Valley Rd Ste110, San Marcos, CA 92069",https://ryanbroscoffee.com/,san marcos,wrong_region
Mosaic Coffee Roasters,"727 W Commercial St Suite B, Springfield, MO 65803",https://www.mosaicroasters.com/,san marcos,wrong_region
Better Buzz Coffee San Marcos,"904 W San Marcos Blvd, San Marcos, CA 92078",http://www.betterbuzzcoffee.com/,san marcos,wrong_region
Manzanita Roasting Company and Coffee House,"301 E Grand Ave M, Escondido, CA 92025",http://www.manzanitaroasting.com/,san marcos,wrong_region
Safari Coffee Roasters,"1012 W El Norte Pkwy, Escondido, CA 92026",http://safaricoffee.com/,san marcos,wrong_region
Peak City Coffee,"1600 Olive Chapel Rd Suite 336, Apex, NC 27502",https://peakcitycoffee.com/,san marcos,wrong_region
3rd Wave Coffee Roasters,"215 W King St #3, St. Augustine, FL 32084",https://3rdwavecoffee.com/,san marcos,wrong_region
Standing Wave Coffee,"2024 Sarah St, Pittsburgh, PA 15203",https://www.standingwavecoffee.com/,san marcos,wrong_region
Better Buzz Coffee San Marcos,"904 W San Marcos Blvd, San Marcos, CA 92078",http://www.betterbuzzcoffee.com/,san marcos,wrong_region
TERI Common Grounds Café & Coffee Bar,"555 Deer Springs Rd, San Marcos, CA 92069",http://www.tericommongroundscafe.com/,san marcos,wrong_region
California Roasting Collective,"1320 Grand Ave #12, San Marcos, CA 92078",https://www.caroastingcollective.com/,san marcos,wrong_region
Urban Sweet Cafe,"803 S Twin Oaks Valley Rd, San Marcos, CA 92078",http://www.urbansweetcafe.com/,san marcos,wrong_region
Ryan Bros Coffee of San Marcos,"133 N Twin Oaks Valley Rd Ste110, San Marcos, CA 92069",https://ryanbroscoffee.com/,san marcos,wrong_region
Manzanita Roasting Company and Coffee House,"301 E Grand Ave M, Escondido, CA 92025",http://www.manzanitaroasting.com/,san marcos,wrong_region
