Name,Address,Website,source_city,reason
3rd Wave Coffee Roasters,"215 W King St #3, St. Augustine, FL 32084",https://3rdwavecoffee.com/,austin,wrong_region
Praxis Coffee Roasters,"114 Linden St, Austin, TX 78702",http://www.praxiscoffee.com/,austin,no_store_page
Flat Track Coffee,"1619 E Cesar Chavez St, Austin, TX 78702",http://flattrackcoffee.com/,austin,scrape_failed
Merfolk’s Specialty Coffee,"4930 S Congress Ave Ste 304c, Austin, TX 78745",http://merfolksatx.com/,austin,no_shop
Noble Joe Coffee Co.,"Southshore Eatery Food Truck Park, 1620 E Riverside Dr, Austin, TX 78741",https://www.noblejoe.co/,austin,scrape_failed
Armadillo Coffee Roasters,"2711 Daisy Dr, Austin, TX 78727",https://www.armadilloroasters.com/,austin,scrape_failed
Neighbor Coffee & Friends - Burnet,"5000 Burnet Rd, Austin, TX 78756",http://www.neighborcoffee.co/,austin,scrape_failed
Odd Roots Coffee,"9600 Old Lockhart Rd, Austin, TX 78747",https://oddrootscoffee.com/,austin,no_coffee_keywords
Hold Steady Coffee Roastery,"13712 Trail Driver St, Austin, TX 78737",https://www.holdsteadycoffee.com/,austin,no_store_page
Greater Goods Roasting Co.,"160 McGregor Ln, Dripping Springs, TX 78620",https://greatergoodsroasting.com/,austin,scrape_failed
Third Coast Coffee,"10515 Old Manchaca Rd, Austin, TX 78748",http://www.thirdcoastcoffee.com/,austin,scrape_failed
Rising Tide Roast Co,"1606 W Stassney Ln #2, Austin, TX 78745",http://www.risingtideroastcollab.com/,austin,no_store_page
Anderson's Coffee Co,"1601 W 38th St, Austin, TX 78731",https://andersonscoffee.com/,austin,scrape_failed
Barrett's Coffee,"713 W St Johns Ave, Austin, TX 78752",https://www.barrettscoffee.com/,austin,no_store_page
Desnudo Coffee: East Austin,"2505 Webberville Rd, Austin, TX 78702",http://www.desnudocoffee.com/,austin,scrape_failed
Spokesman Coffee,"440 E St Elmo Rd A2, Austin, TX 78745",http://www.spokesmancoffee.com/,austin,no_store_page
Sightseer Coffee Bar,"1905 S 1st St, Austin, TX 78704",https://www.sightseercoffee.co/,austin,scrape_failed
Creature Coffee Catering,"2500 S Hwy 183 Bldg 2, Unit 240, Austin, TX 78744",https://creaturecoffee.co/,austin,scrape_failed
Malone Specialty Coffee,"14735 Bratton Ln #210, Austin, TX 78728",http://www.malonecoffee.com/,austin,no_store_page
Fleet Coffee,"2427 Webberville Rd, Austin, TX 78702",http://www.fleetcoffee.com/,austin,no_store_page
Tiny House Coffee Roasters,"120 Precision Dr, Buda, TX 78610",http://www.tinyhousecoffeeroasters.com/,austin,scrape_failed
Afuga Coffee,"31 Navasota St Ste 100, Austin, TX 78702",https://afugacoffee.com/,austin,no_store_page
Trippy Buck Coffee Truck,"411 W 23rd St, Austin, TX 78705",https://linktr.ee/TrippyBuckCoffee?fbclid=PAZXh0bgNhZW0CMTEAAabL_SdQhHidJFIcwYRKiFoyLWPE7_3VPD7PLFgyfGtVFseVNhjQKClmW5w_aem_j3QCfZahzfV5bSdtjajWvA,austin,no_store_page
Idlewild Coffee,"824 W 12th St, Austin, TX 78701",https://www.idlewildcoffee.com/,austin,no_shop
Flitch Coffee,"641 Tillery St Suite 110, Austin, TX 78702",http://flitchcoffee.com/,austin,no_shop
Mazama Coffee Co,"301 Mercer St, Dripping Springs, TX 78620",http://www.mazamacoffee.com/,austin,no_store_page
Merit Coffee,"222 West Ave #120, Austin, TX 78701",http://www.meritcoffee.com/,austin,scrape_failed
Dear Diary Coffee,"1212 Chicon St #103, Austin, TX 78702",https://deardiary.coffee/,austin,no_store_page
Rocket Coffee ATX & Pastries,"8701 W Parmer Ln #2127, Austin, TX 78729",https://www.rocketcoffeetx.com/,austin,no_store_page
Radix House Coffee,"Coffee Shop, 2701 W William Cannon Dr, Austin, TX 78745",https://www.radixhouse.com/,austin,no_store_page
Palomino Coffee Roasters,"2023 Airport Blvd, Austin, TX 78722",https://palominocoffee.com/,austin,scrape_failed
Freewheelin' Coffee,"1917 E Cesar Chavez St, Austin, TX 78702",https://www.freewheelincoffee.com/menu,austin,no_store_page
The Coffee Quest US | Green Coffee Importer/Exporter,"1606 W Stassney Ln #2, Austin, TX 78745",http://thecoffeequest.com/usa,austin,no_shop
Brewer's Choice Coffee,"E Braker Ln, Austin, TX 78753",https://brewers-choice.square.site/,austin,no_store_page
Civil Goat,"3423 Guadalupe St, Austin, TX 78705",http://www.civilgoat.com/,austin,scrape_failed
Cuvee Coffee & Bar,"48 East Ave, Austin, TX 78701",https://www.cuveecoffee.com/,austin,scrape_failed
Mozart's Coffee Roasters,"3825 Lake Austin Blvd, Austin, TX 78703",https://mozartscoffee.com/,austin,scrape_failed
