Name,Address,Original Website,Website,source_city
Texas Coffee Traders Roastery,"5815 Wilcab Rd, Austin, TX 78721",https://www.texascoffeetraders.com/,https://www.texascoffeetraders.com/products,austin
Flat Track Coffee,"1619 E Cesar Chavez St, Austin, TX 78702",http://flattrackcoffee.com/,http://flattrackcoffee.com/collections/all-coffee,austin
Rising Tide Roast Co,"1606 W Stassney Ln #2, Austin, TX 78745",http://www.risingtideroastcollab.com/,https://www.orgullocoffee.com/,austin
Armadillo Coffee Roasters,"2711 Daisy Dr, Austin, TX 78727",https://www.armadilloroasters.com/,https://armadilloroasters.com/product-category/coffees/,austin
Flora Coffee & Culture,"3300 W Anderson Ln. Suite 300, Austin, TX 78757",http://floracoffee.co/,http://floracoffee.co/store,austin
Figure 8 Coffee Purveyors Cafe & Roastery,"1111 Chicon St, Austin, TX 78702",http://www.figure8coffeepurveyors.com/,http://www.figure8coffeepurveyors.com/collections/roasted-coffee,austin
Anderson's Coffee Co,"1601 W 38th St, Austin, TX 78731",https://andersonscoffee.com/,https://andersonscoffee.com/product-category/coffee/,austin
Neighbor Coffee & Friends - Burnet,"5000 Burnet Rd, Austin, TX 78756",http://www.neighborcoffee.co/,https://neighborcoffee.square.site/,austin
Third Coast Coffee,"10515 Old Manchaca Rd, Austin, TX 78748",http://www.thirdcoastcoffee.com/,http://www.thirdcoastcoffee.com/collections/all,austin
Wild Gift Coffee (fresh roasted coffee),"3100 A Industrial Terrace, Austin, TX 78758",http://www.wildgiftcoffee.com/,https://wildgiftcoffee.com/coffee/,austin
Creature Coffee Catering,"2500 S Hwy 183 Bldg 2, Unit 240, Austin, TX 78744",https://creaturecoffee.co/,https://creaturecoffee.co/collections/coffee,austin
Greater Goods Roasting Co.,"160 McGregor Ln, Dripping Springs, TX 78620",https://greatergoodsroasting.com/,https://greatergoodsroasting.com/collections/all-coffee,austin
Spokesman Coffee,"440 E St Elmo Rd A2, Austin, TX 78745",http://www.spokesmancoffee.com/,https://spokesmancoffee.myshopify.com/collections,austin
Talisman Coffee Co.,"5811 Manor Rd, Austin, TX 78723",https://www.talismancoffeeco.com/?fbclid=PAZXh0bgNhZW0CMTEAAaZh9Lkn2gZv4BemNqFXsGv7kREsI9bJb5Xp3ijqy4MPVYsN5UCTNct6XE0_aem_9m0hJCUmlLIeK_YzDNNnYQ,https://www.talismancoffeeco.com/store-1,austin
Sightseer Coffee Bar,"1905 S 1st St, Austin, TX 78704",https://www.sightseercoffee.co/,https://www.sightseercoffee.co/collections/frontpage,austin
Tiny House Coffee Roasters,"120 Precision Dr, Buda, TX 78610",http://www.tinyhousecoffeeroasters.com/,http://www.tinyhousecoffeeroasters.com/collections/coffee,austin
Malone Specialty Coffee,"14735 Bratton Ln #210, Austin, TX 78728",http://www.malonecoffee.com/,http://store.malonecoffee.com,austin
Desnudo Coffee: East Austin,"2505 Webberville Rd, Austin, TX 78702",http://www.desnudocoffee.com/,http://www.desnudocoffee.com/collections/coffee-beans,austin
Austin Roasting Company,"962 State Hwy 71 Bldg 3, Bastrop, TX 78602",http://www.austinroastingcompany.com/,http://www.austinroastingcompany.com/pages/coffee,austin
Fleet Coffee,"2427 Webberville Rd, Austin, TX 78702",http://www.fleetcoffee.com/,http://www.sweetbloomcoffee.com,austin
Texas Coffee Works,"962 State Hwy 71 #103, Bastrop, TX 78602",https://texascoffeeworks.com/,https://texascoffeeworks.com/collections/signature-blends,austin
Merit Coffee,"222 West Ave #120, Austin, TX 78701",http://www.meritcoffee.com/,http://www.meritcoffee.com/collections/coffee,austin
Little City Coffee Roasters,"9709 Brown Ln suite f, Austin, TX 78754",http://littlecity.com/,https://littlecity.com/shop/,austin
Palomino Coffee Roasters,"2023 Airport Blvd, Austin, TX 78722",https://palominocoffee.com/,https://palominocoffee.com/collections/coffee,austin
Pulp Coffee Roasters,"503 Chestnut St, San Antonio, TX 78202",https://pulp.coffee/,https://pulp.coffee/collections/all,austin
Trianon Coffee,"3654 Bee Caves Rd Ste A, Austin, TX 78746",http://trianoncoffee.com/,http://trianoncoffee.com/collections/all,austin
Invader Coffee,"4701 Hudson Bend Rd, Austin, TX 78734",http://www.invadercoffee.com/,http://www.invadercoffee.com/collections/all-coffee,austin
Mozart's Coffee Roasters,"3825 Lake Austin Blvd, Austin, TX 78703",https://mozartscoffee.com/,https://mozartscoffee.com/collections/coffee,austin
Cuvee Coffee & Bar,"48 East Ave, Austin, TX 78701",https://www.cuveecoffee.com/,https://www.cuveecoffee.com/collections/all-coffee,austin
Haciendo Coffee Roasters,"116 W 6th St, Taylor, TX 76574",http://haciendotx.com/,https://haciendotx.com/shop/,austin
Terrible Love,"3908 Avenue B, Austin, TX 78751",http://terriblelovecoffee.com/,https://www.mercadosinnombre.com/shop,austin
Radio Rosewood,"1115 E 11th St, Austin, TX 78702",https://www.radiocoffeeandbeer.com/,https://radiocoffeeandbeer.bigcartel.com,austin
Medici Roasting,"2222 Guadalupe St B, Austin, TX 78705",https://mediciroasting.com/pages/guadalupe,https://mediciroasting.com/collections/coffee,austin
Houndstooth Coffee,"4200 N Lamar Blvd STE 120, Austin, TX 78756",http://www.houndstoothcoffee.com/?utm_source=google&utm_medium=organic&utm_campaign=googlebusiness,https://houndstooth-coffee.square.site/,austin
Sun Burst Coffee,"720 Bastrop Hwy, Austin, TX 78741",http://www.sunburstcoffee.com/,http://www.sunburstcoffee.com/products/costa-rica-tarrazu-dark-roast-1,austin
Summer Moon Coffee,"11005 Burnet Rd Ste 112, Austin, TX 78758",https://locations.summermooncoffee.com/locations/burnet-rd-austin/,https://summermooncoffee.com/collections/wood-fired-coffee,austin
Doxa Coffee Roasters Monterey Oaks,"4220 Monterey Oaks Blvd Suite 101, Austin, TX 78749",https://doxacoffeeroasters.com/,https://doxacoffeeroasters.com/collections/retail-coffee,austin
Texas Artisan Roasters,"1937 I 35 N Frontage Rd ste 108, New Braunfels, TX 78130",https://texasartisanroasters.com/,https://texasartisanroasters.com/collections/all,austin
Polyphonic Coffee,"12000 Menchaca Rd Building 2 Suite D, Austin, TX 78748",https://www.polyphonic.coffee/,https://polyphoniccoffee.square.site/,austin
Lamppost Coffee,"201 E Main St #101, Round Rock, TX 78664",http://www.lamppost.coffee/,https://shop.lamppost.coffee/products/featured-espresso,round rock
Alamo Coffee Company,"1021 Sendero Springs Dr, Round Rock, TX 78681",http://alamocoffee.com/,http://alamocoffee.com/collections/our-roasts,round rock
"Mojo Coffee, LLC","3100 RM 1431 #100, Round Rock, TX 78681",http://www.mojodrivethru.com/,https://mojo-coffee-llc.square.site/,round rock
Dutch Bros Coffee,"117 Deer Ridge Dr, Round Rock, TX 78681",https://www.dutchbros.com/locations/tx/round-rock/117-deer-ridge-dr?y_source=1_MTA2NTA1NDEwOC03MTUtbG9jYXRpb24ud2Vic2l0ZQ%3D%3D,https://www.dutchbros.com/at-home/,round rock
What's Brewing Coffee Roasters,"138 W Rhapsody Dr, San Antonio, TX 78216",http://www.sacoffeeroasters.com/,https://whats-brewing.square.site/s/order?location=11eac5fd5c38aba085260cc47a2b63ac,round rock
Black Rock Coffee Bar,"17220 Ranch to Market Rd 620, Round Rock, TX 78681",https://br.coffee/,https://br.coffee/collections/coffee,round rock
Enduro Coffee Roasters,"400 Oakhurst Scenic Dr, Fort Worth, TX 76111",http://www.endurocoffee.com/,https://endurocoffee.com/home/shop/,round rock
Drinkle Coffee,"601 Conservation Dr, Austin, TX 78717",https://drinklecoffee.com/,https://order.toasttab.com/online/drinkle-coffee,round rock
Medina River Coffee Roasters,"11825 West Ave Suite 101, San Antonio, TX 78216",http://www.medinarivercoffee.com/,http://www.medinarivercoffee.com/collections/all,round rock
Red Horn Coffee House and Tap Room,"109 W 7th St #105, Georgetown, TX 78626",https://www.redhornbrew.com/,https://www.redhornbrew.com/collections/all,round rock
Van Zandt Coffee,"6353 State Hwy 19 N, Athens, TX 75752",http://www.vanzandtcoffee.com/,http://www.vanzandtcoffee.com/collections/coffee,round rock
Addison Coffee Roasters,"15012 Beltway Dr, Addison, TX 75001",http://www.addisoncoffee.com/,https://www.addisoncoffee.com/roasted-coffee/,round rock
Just Love Coffee Cafe - Georgetown,"1013 W University Ave Suite 195, Georgetown, TX 78628",https://justlovecoffeecafe.com/tx-georgetown/,https://justlovecoffee.com/collections/,round rock
The Fairview,"817 Chestnut St Suite 221, San Marcos, TX 78666",http://www.bluebonnetcoffee.com/the-fairview,http://www.bluebonnetcoffee.com/shop/coffee,san marcos
Archies Coffee Lounge,"301 N LBJ Dr #119, San Marcos, TX 78666",https://archiescoffee.com/,https://shop.archiescoffee.com/,san marcos
D's Roastery Coffee in Wimberley,"120 Joe Wimberley Blvd # 102, Wimberley, TX 78676",http://dsroastery.com/,https://squareup.com/market/dsroastery,san marcos
JoVi Coffee Roaster,"990 Rayford Rd Suite 110, Spring, TX 77386",http://www.joviroasters.com/,https://joviroasters.com/shop/,san marcos
US Roast,"1501 W Ferguson Rd, Mt Pleasant, TX 75455",http://usroast.com/,http://usroast.com/collections/all-retail-coffee,san marcos
Day Break Coffee Roasters,"1403 Avenue F, Lubbock, TX 79401",https://daybreak.coffee/,https://daybreak.coffee/shop/,san marcos
Gold Stripe Coffee Roasters,"2610 Salem Ave Ste 5, Lubbock, TX 79410",http://goldstripecoffee.com/,http://goldstripecoffee.com/shop/roasted-coffee/5,san marcos
Tweed Coffee Roasters,"1355 Motor Cir, Dallas, TX 75207",http://www.tweedcoffee.com/,http://www.tweedcoffee.com/collections/single-origin,san marcos
