Name,Address,Original Website,Website,source_city
Texas Coffee Traders Cafe,"3223 E 7th St, Austin, TX 78702",https://www.texascoffeetraders.com/,https://www.texascoffeetraders.com/products,austin
Flora Coffee & Culture,"3300 W Anderson Ln. Suite 300, Austin, TX 78757",http://floracoffee.co/,http://floracoffee.co/store,austin
Figure 8 Coffee Purveyors Cafe & Roastery,"1111 Chicon St, Austin, TX 78702",http://www.figure8coffeepurveyors.com/,http://www.figure8coffeepurveyors.com/collections/roasted-coffee,austin
Klerje Coffee,"1614 E 6th St #112, Austin, TX 78702",https://www.klerjecoffee.com/,https://klerjecoffee.square.site/s/shop,austin
Talisman Coffee Co.,"5811 Manor Rd, Austin, TX 78723",https://www.talismancoffeeco.com/?fbclid=PAZXh0bgNhZW0CMTEAAaZh9Lkn2gZv4BemNqFXsGv7kREsI9bJb5Xp3ijqy4MPVYsN5UCTNct6XE0_aem_9m0hJCUmlLIeK_YzDNNnYQ,https://www.talismancoffeeco.com/store-1,austin
Wild Gift Coffee (fresh roasted coffee),"3100 A Industrial Terrace, Austin, TX 78758",http://www.wildgiftcoffee.com/,https://wildgiftcoffee.com/coffee/,austin
Austin Roasting Company,"962 State Hwy 71 Bldg 3, Bastrop, TX 78602",http://www.austinroastingcompany.com/,http://www.austinroastingcompany.com/collections/espresso,austin
Texas Coffee Works,"962 State Hwy 71 #103, Bastrop, TX 78602",https://texascoffeeworks.com/,https://texascoffeeworks.com/collections/signature-blends,austin
Cenizo,"7033 Union Park Ln, Austin, TX 78744",http://www.cenizoatx.com/,http://www.cenizoatx.com/store-1,austin
Little City Coffee Roasters,"9709 Brown Ln suite f, Austin, TX 78754",http://littlecity.com/,https://littlecity.com/shop/,austin
Haciendo Coffee Roasters,"116 W 6th St, Taylor, TX 76574",http://haciendotx.com/,https://haciendotx.com/shop/,austin
Numinous Coffee Roasters,"715 RM 1431, Marble Falls, TX 78654",http://numinouscoffee.com/,https://www.numinouscoffee.com/ship-coffee-to-me.html,austin
Terrible Love,"3908 Avenue B, Austin, TX 78751",http://terriblelovecoffee.com/,https://www.mercadosinnombre.com/shop,austin
Radio Rosewood,"1115 E 11th St, Austin, TX 78702",https://www.radiocoffeeandbeer.com/,https://radiocoffeeandbeer.bigcartel.com,austin
Sun Burst Coffee,"720 Bastrop Hwy, Austin, TX 78741",http://www.sunburstcoffee.com/,http://www.sunburstcoffee.com/products/costa-rica-tarrazu-dark-roast-1,austin
Texas Artisan Roasters,"1937 I 35 N Frontage Rd ste 108, New Braunfels, TX 78130",https://texasartisanroasters.com/,https://texasartisanroasters.com/collections/all,austin
Polyphonic Coffee,"12000 Menchaca Rd Building 2 Suite D, Austin, TX 78748",https://www.polyphonic.coffee/,https://polyphoniccoffee.square.site/,austin
Houndstooth Coffee,"2001 Ed Bluestein Blvd, Austin, TX 78721",http://houndstoothcoffee.com/?utm_source=google&utm_medium=organic&utm_campaign=googlebusiness,https://houndstooth-coffee.square.site/,austin
Stone Stash Coffee,"2823 Collingwood Dr, Round Rock, TX 78665",http://www.stonestashatx.com/,http://www.stonestashatx.com/collections/coffees,round rock
Black Rifle Coffee Company,"325 F M 2410, Harker Heights, TX 76548",https://www.blackriflecoffee.com/pages/harker-heights-retail,https://www.blackriflecoffee.com/collections/coffee,round rock
Eiland Coffee Roasters,"532 N Interurban St, Richardson, TX 75081",http://www.eilandcoffee.com/,http://www.eilandcoffee.com/shop,round rock
Dutch Bros Coffee,"117 Deer Ridge Dr, Round Rock, TX 78681",https://www.dutchbros.com/locations/tx/round-rock/117-deer-ridge-dr?y_source=1_MTA2NTA1NDEwOC03MTUtbG9jYXRpb24ud2Vic2l0ZQ%3D%3D,https://www.dutchbros.com/at-home/,round rock
Addison Coffee Roasters - Forney,"309E E Main St, Forney, TX 75126",https://www.addisoncoffee.com/,https://www.addisoncoffee.com/roasted-coffee/,round rock
Medina River Coffee Roasters,"11825 West Ave Suite 101, San Antonio, TX 78216",http://www.medinarivercoffee.com/,http://www.medinarivercoffee.com/collections/all,round rock
Mojo Coffee Lakeline,"12206 Ranch Rd 620 N, Cedar Park, TX 78750",http://www.mojodrivethru.com/,https://mojo-coffee-llc.square.site/,round rock
The Fairview,"817 Chestnut St Suite 221, San Marcos, TX 78666",http://www.bluebonnetcoffee.com/the-fairview,http://www.bluebonnetcoffee.com/shop/coffee,san marcos
Pulp Coffee Roasters,"503 Chestnut St, San Antonio, TX 78202",https://pulp.coffee/,https://pulp.coffee/collections/all,san marcos
D's Roastery Coffee in Wimberley,"120 Joe Wimberley Blvd # 102, Wimberley, TX 78676",http://dsroastery.com/,https://squareup.com/market/dsroastery,san marcos
JoVi Coffee Roaster,"990 Rayford Rd Suite 110, Spring, TX 77386",http://www.joviroasters.com/,https://joviroasters.com/shop/,san marcos
Vertere Coffee Roasters,"22289 Ford Rd #200, Porter, TX 77365",http://www.verterecoffee.com/,http://www.verterecoffee.com/collections/craft-roasted-coffee,san marcos
Charles Ray's Coffee and Roasters,"1510 Randolph St, Carrollton, TX 75006",http://charlesrayscoffee.com/,http://charlesrayscoffee.com/our-coffee-beans,san marcos
Flor de Café International Coffee Company,"215 Coca-Cola Pl #119, San Antonio, TX 78219",https://florcoffee.com/,https://florcoffee.com/shop-page/,san marcos
Quantum Coffee Roasters,"24188 Boerne Stage Rd, San Antonio, TX 78255",https://www.quantumcoffeesa.com/,https://www.quantumcoffeesa.com/shop,san marcos
Texas Grounds Coffee Company Roasters,"14359 Old Bandera Rd #3, Helotes, TX 78023",http://www.texasgroundscoffee.com/,http://www.texasgroundscoffee.com/collections/shop-all-coffee,san marcos
Haraz Coffee House,"801 Wells Branch Pkwy suite 180, Pflugerville, TX 78660",https://www.harazcoffeehouse.com/,https://haraz-coffee.myshopify.com/collections/all,pflugerville
The Hermit Specialty Coffee,"1312 Houston St Ste. 8, Laredo, TX 78040",https://thehermitcafe.com/,https://thehermitcafe.com/collections/all,pflugerville
HunterBeans Coffee Roasters,"9920 Gaston Rd Suite 130, Katy, TX 77494",https://www.hunterbeansroasters.com/,https://www.hunterbeansroasters.com/collections/frontpage,pflugerville
Roasters Coffee & Tea,"1818 S Georgia St, Amarillo, TX 79109",http://www.roasters.biz/,https://roasterscoffee-698684.square.site/,pflugerville
Katï Coffee Roastery,"3871 E University Ave #195, Georgetown, TX 78626",https://www.katicoffee.com/,https://www.katicoffee.com/collections/all-coffees,pflugerville
Kyoko Coffee,"6401 Airport Blvd, Austin, TX 78752",https://kyokocoffee.com/,http://kyoko-coffee.square.site/,pflugerville
Three Keys Coffee Bar,"712 Main St, Houston, TX 77002",https://threekeyscoffeebar.com/,https://threekeyscoffeebar.com/s/order,georgetown
Scooter's Coffee,"1265 N US Hwy 183, Leander, TX 78641",https://scooterscoffee.com/,https://www.scooterscoffee.com/shop/at-home-coffee,leander
Cuppa Austin Coffee Shop,"9225 W Parmer Ln b101, Austin, TX 78717",http://cuppaaustin.com/,https://www.texascoffeetraders.com,leander
Spiral Horn Coffee Co.,"3890 County Rd 226, San Saba, TX 76877",http://www.spiralhorncoffee.com/,https://coffeeprod.wpengine.com/?product=burundi,cedar park
Qahwah House Coffee - Leander Austin,"14300 Ronald Reagan Blvd Suite 305 & 306, Leander, TX 78641",https://qahwahhouse.com/,https://qahwahhouse.com/products,cedar park
Embrace The Grind BTX,"824 Main St, Buda, TX 78610",http://www.embracethegrindbtx.com/,http://www.embracethegrindbtx.com/product/15-oz-decaf-organic-indonesian-bali-hai-swp-/33?cs=true&cst=popular,buda
"Nocona Coffee Roasters, LLC","Montague County, Nocona, TX 76255",http://noconacoffeeroasters.com/,https://noconacoffeeroasters.com/shop/,buda
Big Bend Coffee Roasters,"510 W San Antonio St, Marfa, TX 79843",http://bigbendcoffeeroasters.com/,http://bigbendcoffeeroasters.com/shop,buda
