Name,Address,Website,source_city,sub_city,state,reason
River Road Coffees - Coffee Service,"11569 Investor Dr #4261, Baton Rouge, LA 70809",https://riverroadcoffees.com/,Baton Rouge,baton rouge,LA,scrape_failed
Light House Coffee,"257 Lee Dr, Baton Rouge, LA 70808",https://www.lighthousecoffeebr.com/,Baton Rouge,baton rouge,LA,no_store_page
Cafeciteaux Coffee Roasters,"38501 LA-42 # D, Prairieville, LA 70769",http://www.cafeciteaux.com/,Baton Rouge,baton rouge,LA,scrape_failed
City Roots Coffee Bar,"City Roots Coffee Bar, 1509 Government St A, Baton Rouge, LA 70802",http://www.cityrootscoffee.com/,Baton Rouge,baton rouge,LA,no_store_page
Coffee Call,"3132 College Dr STE F, Baton Rouge, LA 70808",http://www.coffeecallbatonrouge.com/,Baton Rouge,baton rouge,LA,no_store_page
Magpie Cafe,"3205 Perkins Rd, Baton Rouge, LA 70808",https://www.magpiebrla.com/,Baton Rouge,baton rouge,LA,no_store_page
STIR Coffee,"15405 Airline Hwy Suite 103, Baton Rouge, LA 70817",https://www.stircoffeebr.com/?utm_source=google&utm_medium=organic&utm_campaign=gbp,Baton Rouge,baton rouge,LA,no_store_page
Ascension Roasting Company,"38501 LA-42 # D, Prairieville, LA 70769",http://ascensionroastingcompany.com/,Baton Rouge,baton rouge,LA,no_coffee_keywords
Coffee Joy,"3617 Perkins Rd #1B, Baton Rouge, LA 70808",https://www.coffeejoy.com/,Baton Rouge,baton rouge,LA,no_shop
CC's Coffee House,"7960 W, Jefferson Hwy, Baton Rouge, LA 70809",http://ccscoffee.com/,Baton Rouge,baton rouge,LA,no_store_page
Java General at Baton Rouge General - Bluebonnet,"8595 Picardy Ave First Floor, Baton Rouge, LA 70809",https://www.brgeneral.org/visitors/dining-coffee,Baton Rouge,baton rouge,LA,no_store_page
Planet Mocha Coffee,"14790 Wax Rd suite 104, Baton Rouge, LA 70818",http://www.planetmocha.com/,Baton Rouge,baton rouge,LA,no_shop
PJ's Cafe,"777 L’Auberge Ave, Baton Rouge, LA 70820",https://www.lbatonrouge.com/dining/pjs-cafe?utm_source=google&utm_medium=organic&utm_campaign=localseo,Baton Rouge,baton rouge,LA,scrape_failed
Beignet Baton Rouge,"14241 Coursey Blvd b1, Baton Rouge, LA 70817",https://beignetbatonrouge.com/,Baton Rouge,baton rouge,LA,no_store_page
