Name,Address,Original Website,Website,source_city,sub_city,state
Cherrybomb Coffee | Baton Rouge,"136 W Chimes St, Baton Rouge, LA 70802",https://www.cherrybombcoffeeco.com/,https://www.cherrybombcoffeeco.com/shop,Baton Rouge,baton rouge,LA
Rêve Coffee Lab BTR,"8211 Village Plaza Ct Bldg. 4 Ste. 1A, Baton Rouge, LA 70810",https://revecoffee.com/,https://revecoffee.com/shop/,Baton Rouge,baton rouge,LA
Highland Coffees,"3350 Highland Rd, Baton Rouge, LA 70802",http://www.highlandcoffees.com/,http://www.highlandcoffees.com/online-store,Baton Rouge,baton rouge,LA
French Truck Coffee,"2978 Government St, Baton Rouge, LA 70806",https://www.frenchtruckcoffee.com/,https://www.frenchtruckcoffee.com/collections/all-coffee,Baton Rouge,baton rouge,LA
Pura Vida Coffee Bar,"4005 Nicholson Dr Suite A, Baton Rouge, LA 70808",https://www.puravidacoffeebar.com/,https://onyxcoffeelab.com,Baton Rouge,baton rouge,LA
Brew Ha-Ha!,"711 Jefferson Hwy STE 2A, Baton Rouge, LA 70806",http://www.brewhahabr.com/,https://www.brewhahabr.com/shop,Baton Rouge,baton rouge,LA
Luma Coffee,"125 E Thomas St, Hammond, LA 70401",http://www.lumacoffeeroasters.com/,http://www.lumacoffeeroasters.com/store,Baton Rouge,baton rouge,LA
Mojo Coffee Roasters,"3983 Tchoupitoulas St, New Orleans, LA 70115",http://mojocoffeeroasters.com/,http://mojocoffeeroasters.com/collections/coffee,Baton Rouge,baton rouge,LA
French Settlement Roasting Co,"25830 Oak Alley Dr, Springfield, LA 70462",http://fsroastingco.com/,https://fsroastingco.com/coffee/,Baton Rouge,baton rouge,LA
Pod Pack International,"17100 Manchac Park Ln suite b, Baton Rouge, LA 70817",https://www.podpack.com/,https://joesgaragecoffee.com/,Baton Rouge,baton rouge,LA
Cherry Coffee Roasters - New Orleans,"4875 Laurel St, New Orleans, LA 70115",https://cherrycoffeeroasters.com/pages/uptown-store?y_source=1_MjAzMzExMzEyMi03MTUtbG9jYXRpb24ud2Vic2l0ZQ%3D%3D,https://cherrycoffeeroasters.com/collections/shop-all,Baton Rouge,baton rouge,LA
The Vintage Baton Rouge,"333 Laurel St, Baton Rouge, LA 70821",https://www.thevintagebr.com/,https://www.thevintagenola.com/retail/the-vintage-blend-coffee-new-orleans-breakfast-blend-9l688-l7mp3,Baton Rouge,baton rouge,LA
Abita Roasting Co. Madisonville,"504 Water St, Madisonville, LA 70447",http://abitaroasting.com/,https://abitaroasting.com/all-coffee/,Baton Rouge,baton rouge,LA
Boxx Coffee Roasters Co.,"950 E 3rd St, Los Angeles, CA 90013",http://boxxcoffee.la/,http://boxxcoffee.la/collections/coffee,Baton Rouge,central,LA
Andante Coffee,"816 S Grand Ave, Los Angeles, CA 90017",http://www.lacoffeeclub.com/roasters/andante-coffee-roasters/,https://www.lacoffeeclub.com/shop/las-best-coffee-roasters-auto-renewing-subscription/,Baton Rouge,central,LA
Current Crop Roasting Shop,"3931 Magazine St, New Orleans, LA 70115",https://currentcroproasting.com/,https://currentcroproasting.com/product-category/roasted-coffee/,Baton Rouge,central,LA
Mammoth Espresso,"821 Baronne St, New Orleans, LA 70113",https://mammothcoffee.co/,https://mammothcoffee.co/collections/coffee,Baton Rouge,central,LA
Aquarela Coffee - DTLA,"601 W 5th St, Los Angeles, CA 90071",http://aquarelacoffee.com/,https://www.aquarelacoffee.com/beans,Baton Rouge,central,LA
Louisiana Coffee Company,"4720 Nelson Rd STE 210, Lake Charles, LA 70605",https://www.louisianacoffeecompany.com/,https://www.louisianacoffeecompany.com/collections/brews-blends,Baton Rouge,central,LA
The Coffee Roaster,"13567 Ventura Blvd, Sherman Oaks, CA 91423",http://thecoffeeroaster.net/,http://thecoffeeroaster.net/shop,Baton Rouge,central,LA
Jetty Coffee Roasters,"3220 S Hill St, Los Angeles, CA 90007",http://www.jettycoffeeroasters.com/,http://www.jettycoffeeroasters.com/collections/blends,Baton Rouge,central,LA
Mad Lab Coffee,"5508 W Pico Blvd, Los Angeles, CA 90019",http://madlab.co/,http://madlab.co/collections/coffee,Baton Rouge,central,LA
City Bean Roasters,"5051 W Jefferson Blvd, Los Angeles, CA 90016",http://www.citybeanroasters.com/,http://www.citybeanroasters.com/,Baton Rouge,central,LA
Alibi Coffee Co.,"1798 W Washington Blvd, Los Angeles, CA 90007",http://www.alibicoffee.com/,http://www.alibicoffee.com/collections/all,Baton Rouge,central,LA
Loquat Coffee,"1201 Cypress Ave, Los Angeles, CA 90065",http://www.loquatcoffee.com/,http://www.loquatcoffee.com/,Baton Rouge,central,LA
Verve Coffee Roasters,"500 Mateo St #102, Los Angeles, CA 90013",http://www.vervecoffee.com/,http://www.vervecoffee.com/collections/all-coffee,Baton Rouge,central,LA
Atabey Coffee Roasters,"E Pine St, Orlando, FL 32801",http://www.atabeycoffee.com/,http://www.atabeycoffee.com/products/black-honey,Baton Rouge,central,LA
Smoky Hollow Roasters,"118 Sierra St unit c, El Segundo, CA 90245",https://smokyhollowcoffee.com/,https://smokyhollowcoffee.com/collections/retail-bags,Baton Rouge,central,LA
Coffeebar Roastery,"1030 Haskell St, Reno, NV 89509",http://coffeebar.com/,http://coffeebar.com/product-category/coffee/,Baton Rouge,central,LA
Nice Coffee,"515 Flower St #100, Los Angeles, CA 90071",http://www.nicecoffee.com/,http://www.nicecoffee.com/collections/all,Baton Rouge,central,LA
"F. Gavina & Sons, Inc","2700 Fruitland Ave, Vernon, CA 90058",http://www.gavina.com/,https://donfranciscos.com/,Baton Rouge,central,LA
Nova Espresso,"637 Tchoupitoulas St, New Orleans, LA 70130",http://novaespresso.coffee/,http://novaespresso.coffee/shop,Baton Rouge,central,LA
Hunt's Perfect Roast,"809G Jenkins Rd, Duson, LA 70529",https://www.huntsperfectroast.com/,https://www.huntsperfectroast.com/shop,Baton Rouge,denham springs,LA
Congregation Coffee Roasters,"240 Pelican Ave, New Orleans, LA 70114",https://www.congregationcoffee.com/,https://www.congregationcoffee.com/pages/featured,Baton Rouge,gonzales,LA
Coffee Science,"410 S Broad St, New Orleans, LA 70119",http://coffeesciencenola.com/,http://coffeesciencenola.com/collections/coffee-beans,Baton Rouge,gonzales,LA
Community Coffee Distribution Center,"2150 Commercial Dr, Port Allen, LA 70767",https://business.communitycoffee.com/,https://www.communitycoffee.com/,Baton Rouge,port allen,LA
Ghost Ship Coffee Roasters,"3726 St Claude Ave, New Orleans, LA 70117",https://ghostshipcoffee.com/,https://ghostshipcoffee.com/,Baton Rouge,port allen,LA
