Name,Address,Website,source_city,reason
Goodman Coffee Roasters - St. Elmo,"3913 St Elmo Ave Suite B, Chattanooga, TN 37409",http://www.goodmancoffeeroasters.com/,chattanooga,no_store_page
New Wave Coffee Roasters,"2405 Lyndon Ave #121, Chattanooga, TN 37415",http://www.newwave-chatt.com/,chattanooga,no_coffee_keywords
Grindhead Coffee Chattanooga,"7955 E Brainerd Rd s105 105, Chattanooga, TN 37421",http://www.grindheadcoffee.com/chattanooga,chattanooga,scrape_failed
Trail Town Coffee,"225 Broad St, Chattanooga, TN 37402",https://www.trailtowncoffee.com/,chattanooga,scrape_failed
Sleepyhead Coffee (Main+Dodds),"2602 E Main St, Chattanooga, TN 37404",https://www.sleepyhead.coffee/,chattanooga,scrape_failed
Rembrandt's Coffee House,"204 High St, Chattanooga, TN 37403",https://bluffviewartdistrictchattanooga.com/rembrandtscoffeehouse/,chattanooga,no_shop
Stone Cup Cafe,"208 Frazier Ave, Chattanooga, TN 37405",http://www.stonecupcafe.com/,chattanooga,no_shop
The Livingstone At Amani Chattanooga,"420 S Willow St, Chattanooga, TN 37404",http://thelivingstonecafe.org/,chattanooga,no_shop
Genuine Blue Mountain Coffee,"7669 Clinton Hwy, Powell, TN 37849",https://www.genuinebluemountaincoffee.com/,chattanooga,wrong_location
Sunnyside Cup | Local Coffee | Drive-Thru Coffee,"3008 Broad St, Chattanooga, TN 37408",https://sunnysidecupchatt.com/#coffee-to-go,chattanooga,no_shop
Hungry Mother,"825 Houston St, Chattanooga, TN 37403",https://hungrymothertn.com/,chattanooga,no_shop
Provisions,"102 Walnut St, Chattanooga, TN 37402",https://www.theedwinhotel.com/provisions,chattanooga,no_shop
Lola Beans Coffee - Chattanooga,"1105 McDonald Dr, Chattanooga, TN 37421",http://lolabeans.com/,chattanooga,no_coffee_keywords
Be Caffeinated,"14 W Kent St, Chattanooga, TN 37405",https://www.becaffcoffee.com/,chattanooga,scrape_failed
Cadence Coffee Company,"11 E 7th St, Chattanooga, TN 37402",http://cadencecoffeeco.com/,chattanooga,no_store_page
Oaks Coffee House,"2916 Silverdale Rd, Chattanooga, TN 37421",https://www.oakscoffee.com/,chattanooga,scrape_failed
WFM Coffee Bar,"301 Manufacturers Rd, Chattanooga, TN 37405",http://www.wholefoodsmarket.com/stores/chattanooga?utm_source=google&utm_medium=organic&utm_campaign=listings,chattanooga,no_coffee_keywords
Tri-State Coffee,"3306 Dodds Ave, Chattanooga, TN 37407",http://www.tristatecoffee.com/,chattanooga,no_shop
Red Owl Coffee Company,"7737 E Brainerd Rd, Chattanooga, TN 37421",https://www.redowlcoffee.com/locations/east-brainerd/,chattanooga,no_shop
First Bloom Coffee and Bakery,"445 Church St SE, Cleveland, TN 37311",http://firstbloomcoffee.com/,chattanooga,no_shop
Peach Coffee Roasters,"10875 Jones Bridge Rd #5, Johns Creek, GA 30022",https://www.peachcoffeeroasters.com/,chattanooga,wrong_location
Fleetwood Coffee Company,"2511 Riverside Dr, Chattanooga, TN 37406",http://fleetwoodcoffee.com/,chattanooga,wrong_location
Together Cafe,"801 S Orchard Knob Ave, Chattanooga, TN 37404",https://thetogethercafe.org/,chattanooga,no_shop
Canopy Coffee and Wine Bar,"814 Scenic Hwy, Lookout Mountain, TN 37350",http://www.canopylkt.com/,chattanooga,no_coffee_keywords
Milk & Honey,"135 N Market St, Chattanooga, TN 37405",https://www.milkandhoneychattanooga.com/,chattanooga,no_shop
Niedlov's Cafe & Bakery,"215 E Main St, Chattanooga, TN 37408",http://niedlovs.com/,chattanooga,no_coffee_keywords
Dutch Bros Coffee,"7961 E Brainerd Rd, Chattanooga, TN 37421",https://www.dutchbros.com/locations/tn/chattanooga/7961-e-brainerd-rd?y_source=1_MTA2MzgxODk2Ni03MTUtbG9jYXRpb24ud2Vic2l0ZQ%3D%3D,chattanooga,no_shop
Home,"409 Market St, Chattanooga, TN 37402",https://homebarchatt.com/,chattanooga,no_shop
Honey Seed,"1705 Market St Suite 105, Chattanooga, TN 37408",https://www.honeyseedchatt.com/,chattanooga,no_shop
MOE'S REAL BBQ SF MARKET,"1207 Dodds Ave, Chattanooga, TN 37404",http://realbbq.com/,chattanooga,scrape_failed
Zarzour's,"1627 Rossville Ave, Chattanooga, TN 37408",https://www.facebook.com/zarzourscafe/,chattanooga,scrape_failed
FarmToMed,"502 N Market St #110, Chattanooga, TN 37405",https://www.farmtomed.com/,chattanooga,no_shop
Good Kinsmen,"521 Cherokee Blvd., Chattanooga, TN 37405",http://www.goodkinsmen.com/,chattanooga,no_shop
Bread and Butter,"3955 Dayton Blvd, Chattanooga, TN 37415",http://butterthebread.com/,chattanooga,no_coffee_keywords
Starbucks Coffee Company,"635 Camp Jordan Pkwy, East Ridge, TN 37412",https://www.starbucks.com/store-locator/store/1025725,chattanooga,scrape_failed
Maple Street Biscuit Company,"407 Broad St, Chattanooga, TN 37402",https://www.maplestreetbiscuits.com/?olonwp=JjBtp_vMLk25gkYh_bnoiQ,chattanooga,no_shop
The Daily Ration,"1220 Dartmouth St, Chattanooga, TN 37405",http://thedailyrationchattanooga.com/,chattanooga,no_coffee_keywords
City Cafe Diner,"511 Broad St, Chattanooga, TN 37402",https://citycafediner.com/downtown-chattanooga/,chattanooga,no_shop
Company Chattanooga,"1409 Market St, Chattanooga, TN 37402",https://www.companychattanooga.com/,chattanooga,no_shop
Adelle's Restaurant,"400 E Main St, Chattanooga, TN 37408",https://www.adellescreperie.com/,chattanooga,no_coffee_keywords
Hello Monty,"306 W Main St, Chattanooga, TN 37408",https://www.hellomontyonmain.com/,chattanooga,no_coffee_keywords
3rd Wave Coffee Roasters,"215 W King St #3, St. Augustine, FL 32084",https://3rdwavecoffee.com/,chattanooga,wrong_location
Reve Coffee and Books,"1948 Northpoint Blvd #144, Chattanooga, TN 37415",https://www.revecoffeeandbooks.com/,chattanooga,no_shop
Plant Bar - Coffee and Tea,"202 Manufacturers Rd Suite B, Chattanooga, TN 37405",https://visitplantbar.com/,chattanooga,no_shop
Morning Brew Co,"6011 Chesterton Way Suite 111, Ooltewah, TN 37363",http://www.morningbrewco.com/,east ridge,no_shop
Doe River Roasters,"122 Armed Forces Dr Suite A, Elizabethton, TN 37643",http://doeriverroasters.com/,east ridge,no_shop
Aroma Ridge Coffee Roasters,"1831 W Oak Pkwy # C, Marietta, GA 30062",http://aromaridge.com/,east ridge,wrong_location
Mzizi Coffee Roaster,"2995 Johnson Ferry Rd #220, Marietta, GA 30062",http://mzizicoffeeroaster.com/,east ridge,wrong_location
Adieu Roasters,"1408 Appalachian Hwy, Blue Ridge, GA 30513",https://www.adieuroasters.com/,east ridge,wrong_location
Thrive Farmers International,"215 Hembree Park Dr # 100, Roswell, GA 30076",https://thrivefarmers.com/,east ridge,wrong_location
Phoenix Roasters — The Roastery,"5225 Bellewood Ct, Buford, GA 30518",https://phoenixroasters.coffee/,east ridge,no_shop
Artifex Coffee,"1815 Hembree Rd Unit 208, Alpharetta, GA 30009",https://artifexcoffees.com/,east ridge,wrong_location
Oddstory Brewing Co: Central,"1604 Central Ave, Chattanooga, TN 37408",https://www.oddstorybrewing.co/,east ridge,no_shop
Cracker Barrel Old Country Store,"1460 N Mack Smith Rd, East Ridge, TN 37412",https://www.crackerbarrel.com/Locations/States/tn/east-ridge/29/?utm_source=google&utm_medium=maps&utm_campaign=crackerbarrelurl,east ridge,no_coffee_keywords
Dunkin',"6408 Ringgold Rd Suite A, East Ridge, TN 37412",https://locations.dunkindonuts.com/en/tn/east-ridge/6408-ringgold-rd/355824?utm_source=google&utm_medium=local&utm_campaign=localmaps&utm_content=355824&y_source=1_MTIxMTIxODQtNzE1LWxvY2F0aW9uLndlYnNpdGU%3D,east ridge,no_coffee_keywords
Red Eyed Rooster,"111 E Market St, Chatsworth, GA 30705",https://redeyedroosterco.com/,east ridge,no_shop
Drip Kitchen And Coffee,"6018 Hixson Pike, Hixson, TN 37343",https://dripkitchenandcoffee.com/,east ridge,scrape_failed
BonLife Coffee Roasters,"1807 Keith St NW, Cleveland, TN 37311",http://www.bonlifecoffee.com/,east ridge,wrong_location
Garmony House,"109 W Cuyler St, Dalton, GA 30720",https://garmonyhouse.coffee/,east ridge,wrong_location
Stone Mountain Coffee Roasters,"923 Main St, Stone Mountain, GA 30083",http://www.stonemountaincoffee.com/,east ridge,scrape_failed
Bold Mountain Coffee Roasters,"1178 Evans Ln, Dandridge, TN 37725",https://www.boldmountaincoffee.com/,red bank,scrape_failed
Red Bank Coffee Roasters,"Unit 12 Boundary Bank Ln, Kendal LA9 5RR, United Kingdom",http://redbankcoffee.com/,red bank,wrong_location
Coal Creek Coffee Roasters,"777 Oliver Springs Hwy, Clinton, TN 37716",https://www.coalcreekcoffeeroasters.com/,red bank,scrape_failed
7 Brew Coffee,"5417 TN-153, Hixson, TN 37343",https://7brew.com/location/tennessee-hixson-000062,red bank,no_shop
"Moschetti Artisan Roaster (Wholesale, Retail, Cafe and Online Shop)","11 6th St, Vallejo, CA 94590",http://www.moschetti.com/,red bank,scrape_failed
Daily Grind on Signal,"440 Timberlinks Dr, Signal Mountain, TN 37377",https://dailygrindsignal.com/,signal mountain,no_shop
Blue Mountain Coffee Roasters,"2815 Lawrenceville-Suwanee Rd Suite #400, Suwanee, GA 30024",https://www.atlantacoffeeshops.com/blue-mountain-coffee-roasters,signal mountain,no_shop
Raphael's Roastery,"110 E Coffee St, Tullahoma, TN 37388",http://www.raphaelscoffee.com/,signal mountain,wrong_location
Atlanta Coffee Roasters,"2205 Lavista Rd, Atlanta, GA 30329",http://www.atlantacoffeeroasters.com/,signal mountain,wrong_location
Pruett's Market,"1210 Taft Hwy, Signal Mountain, TN 37377",https://www.pruettsmarket.com/,signal mountain,no_shop
McAlister's Deli,"541 Signal Mountain Rd #287, Chattanooga, TN 37405",https://locations.mcalistersdeli.com/tn/chattanooga/541-signal-mountain-road?utm_source=google&utm_medium=organic&utm_campaign=locations_partner,signal mountain,no_coffee_keywords
Code Brew Coffee,"1817 Taft Hwy, Signal Mountain, TN 37377",https://m.facebook.com/profile.php?id=61559914927242,signal mountain,no_coffee_keywords
Over-Mountain Coffee Roasters,"205 N 3rd Ave, Jonesborough, TN 37659",https://www.overmountaincoffee.com/,lookout mountain,wrong_location
Vantage Coffee Roasters,"129 B Neal St, Martin, TN 38237",http://vantagecoffeeroasters.com/,walden,wrong_location
Bold Wind Coffee Bar,"118 S Main St, Lobelville, TN 37097",https://boldwindcoffeebar.shopsettings.com/,walden,no_shop
Elroy Coffee Co,"400 Downs Blvd #150, Franklin, TN 37064",https://www.elroycoffeeco.com/,walden,scrape_failed
Vibez Coffee,"890 Stuart Rd NE, Cleveland, TN 37312",http://www.vibezcoffee.com/,walden,no_shop
Split Bean Roasting Co.,"1050 Hamilton Station Blvd Suite 103, Lebanon, TN 37087",https://www.splitbeanroasting.com/,walden,wrong_location
Ocoee Coffee Company,"2300 N Ocoee St, Cleveland, TN 37311",https://www.ocoeecoffee.com/,collegedale,no_shop
Ethnos Coffee Roasters,"8817 Chaffee Rd, Arlington, TN 38002",http://www.ethnos.coffee/,collegedale,wrong_location
LASATERS Coffee & Tea,"2450 Spring Creek Boulevard, Cleveland, TN 37312",https://lasaterscoffee.com/,collegedale,scrape_failed
Vienna Coffee Company,"212 College St, Maryville, TN 37804",http://www.viennacoffeecompany.com/,collegedale,wrong_location
