Name,Address,Original Website,Website,source_city
XOZIO Coffee & Provisions,"1819 Broad St #101, Chattanooga, TN 37408",http://xoziocoffeeandprovisions.com/,http://xoziocoffeeandprovisions.com/collections/all,chattanooga
Mad Priest Coffee Roasters,"1200 McCallie Ave, Chattanooga, TN 37404",http://www.madpriestcoffee.com/,http://www.madpriestcoffee.com/collections/coffee,chattanooga
New Wave Coffee Roasters,"2405 Lyndon Ave #121, Chattanooga, TN 37415",http://www.newwave-chatt.com/,http://www.newwave-chatt.com/collections/shop,chattanooga
Velo Coffee Roasters,"509 E Main St #3, Chattanooga, TN 37408",http://www.velocoffee.com/,http://www.velocoffee.com/collections/coffee,chattanooga
Grindhead Coffee Chattanooga,"7955 E Brainerd Rd s105 105, Chattanooga, TN 37421",http://www.grindheadcoffee.com/chattanooga,https://store.grindheadcoffee.com/,chattanooga
Culture Coffee Co.,"610 Georgia Ave, Chattanooga, TN 37402",https://culturecoffeecochatt.com/,https://culturecoffeecochatt.com/collections/coffee-beans,chattanooga
Rembrandt's Coffee House,"204 High St, Chattanooga, TN 37403",https://bluffviewartdistrictchattanooga.com/rembrandtscoffeehouse/,https://bluffviewartdistrictchattanooga.com/rembrandts-roasting-company,chattanooga
Brillo Beans Roasting Co.,"8270 Pruett Rd, Hixson, TN 37343",https://brillobeansroasting.com/,https://www.brillobeansroasting.com/category/all-products,chattanooga
Genuine Blue Mountain Coffee,"7669 Clinton Hwy, Powell, TN 37849",https://www.genuinebluemountaincoffee.com/,https://www.genuinebluemountaincoffee.com/products/jamaica-blue-mountain-peaberry-coffee-beans,chattanooga
Cadence Coffee Company,"11 E 7th St, Chattanooga, TN 37402",http://cadencecoffeeco.com/,https://www.mayflycoffee.com,chattanooga
Peach Coffee Roasters,"10875 Jones Bridge Rd #5, Johns Creek, GA 30022",https://www.peachcoffeeroasters.com/,https://www.peachcoffeeroasters.com/collections/coffee,chattanooga
Frothy Monkey,"1400 Market St, Chattanooga, TN 37402",http://www.frothymonkey.com/,https://frothymonkey.com/coffeeroasters/,chattanooga
Mean Mug Coffeehouse Northshore,"205 Manufacturers Rd Suite 109, Chattanooga, TN 37405",http://meanmugcoffee.com/,https://www.meanmugcoffeeroasters.com/buyourcoffee,chattanooga
Fleetwood Coffee Company,"2511 Riverside Dr, Chattanooga, TN 37406",http://fleetwoodcoffee.com/,https://viennacoffeecompany.com,chattanooga
Scooter's Coffee,"7318 Shallowford Rd, Chattanooga, TN 37421",https://scooterscoffee.com/,https://www.scooterscoffee.com/shop/at-home-coffee,chattanooga
3rd Wave Coffee Roasters,"215 W King St #3, St. Augustine, FL 32084",https://3rdwavecoffee.com/,https://3rdwavecoffee.com/collections/all,chattanooga
Aroma Ridge Coffee Roasters,"1831 W Oak Pkwy # C, Marietta, GA 30062",http://aromaridge.com/,http://aromaridge.com/collections/roasted-coffees,east ridge
Adieu Roasters,"1408 Appalachian Hwy, Blue Ridge, GA 30513",https://www.adieuroasters.com/,https://www.adieuroasters.com/category/drip,east ridge
Thrive Farmers International,"215 Hembree Park Dr # 100, Roswell, GA 30076",https://thrivefarmers.com/,https://thrivefarmers.com/thrivestore/coffee,east ridge
Phoenix Roasters — The Roastery,"5225 Bellewood Ct, Buford, GA 30518",https://phoenixroasters.coffee/,https://phoenixroasters.coffee/collections/coffee,east ridge
Artifex Coffee,"1815 Hembree Rd Unit 208, Alpharetta, GA 30009",https://artifexcoffees.com/,https://artifexcoffees.com/collections/all,east ridge
BonLife Coffee Roasters,"1807 Keith St NW, Cleveland, TN 37311",http://www.bonlifecoffee.com/,https://beanbox.com/coffee/roaster/bonlife-coffee/76?utm_source=badge,east ridge
Garmony House,"109 W Cuyler St, Dalton, GA 30720",https://garmonyhouse.coffee/,https://garmonyhousecoffee.wordpress.com/coffee-roasts/,east ridge
Bold Mountain Coffee Roasters,"1178 Evans Ln, Dandridge, TN 37725",https://www.boldmountaincoffee.com/,https://boldmountaincoffee.com/small-batch-east-tennessee-fresh-roasted-mountain-coffee-smoky-mountains/shop-coffee/,red bank
Good News Roasters Coffee,"9710 Dayton Pike, Soddy-Daisy, TN 37379",https://www.goodnewsroasters.com/,https://goodnewsroasters.com/shop/,soddy-daisy
Atlanta Coffee Roasters,"2205 Lavista Rd, Atlanta, GA 30329",http://www.atlantacoffeeroasters.com/,https://atlantacoffeeroasters.com/single-origin-c45708300,signal mountain
Vantage Coffee Roasters,"129 B Neal St, Martin, TN 38237",http://vantagecoffeeroasters.com/,http://vantagecoffeeroasters.com/collections/coffee,walden
Wired Coffee Bar,"9515 Lee Hwy E, Ooltewah, TN 37363",http://www.thewiredcoffeebar.com/,http://www.thewiredcoffeebar.com/collections/all,collegedale
Ethnos Coffee Roasters,"8817 Chaffee Rd, Arlington, TN 38002",http://www.ethnos.coffee/,http://www.ethnos.coffee/collections/all,collegedale
