Name,Address,Original Website,Website,source_city
XOZIO Coffee & Provisions,"1819 Broad St #101, Chattanooga, TN 37408",http://xoziocoffeeandprovisions.com/,http://xoziocoffeeandprovisions.com/collections/all,chattanooga
Mad Priest Coffee Roasters,"1200 McCallie Ave, Chattanooga, TN 37404",http://www.madpriestcoffee.com/,http://www.madpriestcoffee.com/collections/coffee,chattanooga
Velo Coffee Roasters,"509 E Main St #3, Chattanooga, TN 37408",http://www.velocoffee.com/,http://www.velocoffee.com/collections/coffee,chattanooga
Chattanooga Coffee Company / Chattz,"2627 Broad St, Chattanooga, TN 37408",http://chattanoogacoffeecompany.com/,https://www.chattanoogacoffeecompany.com/shop,chattanooga
Culture Coffee Co.,"610 Georgia Ave, Chattanooga, TN 37402",https://culturecoffeecochatt.com/,https://culturecoffeecochatt.com/collections/coffee-beans,chattanooga
Brillo Beans Roasting Co.,"8270 Pruett Rd, Hixson, TN 37343",https://brillobeansroasting.com/,https://www.brillobeansroasting.com/category/all-products,chattanooga
Mayfly Coffee,"708 Mississippi Ave, Signal Mountain, TN 37377",http://mayflycoffee.com/,http://mayflycoffee.com/collections/coffee,chattanooga
Mean Mug Coffeehouse Northshore,"205 Manufacturers Rd Suite 109, Chattanooga, TN 37405",http://meanmugcoffee.com/,https://www.meanmugcoffeeroasters.com/buyourcoffee,chattanooga
Frothy Monkey,"1400 Market St, Chattanooga, TN 37402",http://www.frothymonkey.com/,https://frothymonkey.com/coffeeroasters/,chattanooga
Scooter's Coffee,"7318 Shallowford Rd, Chattanooga, TN 37421",https://scooterscoffee.com/,https://www.scooterscoffee.com/shop/at-home-coffee,chattanooga
Good News Roasters Coffee,"9710 Dayton Pike, Soddy-Daisy, TN 37379",https://www.goodnewsroasters.com/,https://goodnewsroasters.com/shop/,soddy-daisy
Wired Coffee Bar,"9515 Lee Hwy E, Ooltewah, TN 37363",http://www.thewiredcoffeebar.com/,http://www.thewiredcoffeebar.com/collections/all,collegedale
