Name,Address,Original Website,Website,source_city
Magnífico Coffee Roasters & Coffee Shop,"3063 N Milwaukee Ave, Chicago, IL 60618",https://www.magnificocoffee.com/,https://www.magnificocoffee.com/collections/coffee,Chicago
Coffee Lab & Roasters,"2823 N Lincoln Ave, Chicago, IL 60657",http://coffeelablakeview.com/,https://www.bcbccoffeeroasters.com/shop,Chicago
Dark Matter Coffee - The Mothership,"738 N Western Ave, Chicago, IL 60612",http://www.darkmattercoffee.com/,http://www.darkmattercoffee.com/collections/coffee,Chicago
Hexe Coffee Co.,"2000 W Diversey Pkwy, Chicago, IL 60614",http://hexecoffee.com/,http://hexecoffee.com/store,Chicago
Sparrow Coffee Roastery,"2040 W Fulton St, Chicago, IL 60612",http://www.sparrowcoffee.com/,https://25f74f-2.myshopify.com/collections/frontpage,Chicago
Roast 808,"3350 Salt Creek Ln #115, Arlington Heights, IL 60005",https://www.roast808.com/,https://www.roast808.com/collections/frontpage,Chicago
Printer's Row Coffee Co.,"2482 N Lincoln Ave, Chicago, IL 60614",http://www.printersrowcoffeeco.com/,http://www.printersrowcoffeeco.com/shop,Chicago
Sputnik Coffee Company,"2618 W 48th St, Chicago, IL 60632",https://www.sputnikcoffeecompany.com/,https://www.sputnikcoffeecompany.com/collections/coffee,Chicago
Tugboat Coffee,"151 S Rohlwing Rd, Addison, IL 60101",http://www.tugboatcoffee.com/,https://www.tugboatcoffee.com/1shop,Chicago
Gost Coffee Roasters,"1333 S Schoolhouse Rd, New Lenox, IL 60451",http://gostcoffee.com/,https://www.gostcoffee.com/shop,Chicago
Reprise Coffee Roasters,"710 Main St, Evanston, IL 60202",http://www.repriseroasters.com/,http://www.repriseroasters.com/shop-online/coffee,Chicago
Stivers Coffee,"2215 S Union Ave, Chicago, IL 60616",https://www.stiverscoffee.biz/,https://www.stiverscoffee.biz/collections/all,Chicago
The Roasterie - Metropolis Coffee Company,"3057 N Rockwell St Building 1, Chicago, IL 60618",https://www.metropoliscoffee.com/,https://shop.metropoliscoffee.com/,Chicago
Heady Cup Coffee Roasters,"4127 W Orleans St, McHenry, IL 60050",https://headycup.com/,https://headycup.com/collections/all-coffee,Chicago
CBC Roasters,"541 W Golf Rd, Arlington Heights, IL 60005",https://www.cbcroasters.com/,https://www.cbcroasters.com/our-coffees/,Chicago
I Have a Bean,"655 Childs St, Wheaton, IL 60187",http://www.ihaveabean.com/?utm_source=google&utm_medium=organic&utm_campaign=gbp,http://www.ihaveabean.com/collections/retail,Chicago
Just Be Coffee Roasters,"400 Fisher St unit e, Munster, IN 46321",http://justbe.coffee/,https://justbe.coffee/shop/,Chicago
Veteran Roasters Cafe,"161 N Clark St suite 140 / Lobby, Chicago, IL 60601",https://www.veteranroasters.com/,https://www.veteranroasters.com/collections/all-coffee,Chicago
Ceramic Coffee Roasters,"N Bernard St, Chicago, IL 60625",https://ceramiccoffee.co/,https://ceramiccoffee.co/collections/beans,Chicago
Ixxa Coffee Roasters,"1720 Calumet Ave, Hammond, IN 46394",https://www.ixxacoffee.com/,https://www.ixxacoffee.com/collections/all,Chicago
Happy Monday Coffee Roasters,"1307 W Hollywood Ave, Chicago, IL 60660",http://www.happymondaycoffee.com/,http://www.happymondaycoffee.com/collections/all,Chicago
