Name,Address,Website,source_city,sub_city,state,reason
Selah Coffee Co. | Coffee Cart Catering in Denver,"1415 W Cedar Ave, Denver, CO 80223",http://selah.coffee/,Denver,denver,CO,no_shop
Migas Coffee,"2590 Walnut St, Denver, CO 80205",https://www.migascoffee.com/,Denver,denver,CO,no_store_page
Nowhere Coffee,"1717 E 39th Ave, Denver, CO 80205",http://nowherecoffee.co/,Denver,denver,CO,no_shop
Scr3am & Sugar Coffee Co.,"1974 S Acoma St, Denver, CO 80223",http://www.scr3amnsugar.com/,Denver,denver,CO,no_shop
Parley Coffee Roasters,"3030 E Colfax Ave, Denver, CO 80206",https://parleycoffee.com/,Denver,denver,CO,no_coffee_keywords
Metropolis Coffee,"1199 26th St, Denver, CO 80205",http://metropolisdenver.com/,Denver,denver,CO,no_shop
RoasterShare,"1900 S Quince St, Denver, CO 80231",https://www.roastershare.com/about-us-location,Denver,denver,CO,no_shop
Blue Sparrow Coffee,"1576 Sherman St, Denver, CO 80203",https://bluesparrowcoffee.com/,Denver,denver,CO,no_store_page
The DNVR Coffee Co,"Inside Main Lobby, 999 18th St, Denver, CO 80202",http://www.thednvrcoffeeco.com/,Denver,denver,CO,no_store_page
Sapor Coffee & Concepts,"2795 Speer Blvd UNIT 17, Denver, CO 80211",https://saporcoffee.com/,Denver,denver,CO,no_store_page
First Crack Coffee,"5355 E 38th Ave Unit A, Denver, CO 80207",http://firstcrack.com/,Denver,denver,CO,no_shop
Coffee Sarap,"3460 Larimer St, Denver, CO 80205",http://www.coffeesarap.com/,Denver,denver,CO,no_store_page
Bworz coffee,"5140 E 39th Ave, Denver, CO 80207",https://bworzcoffee.com/,Denver,denver,CO,no_shop
Red Silo Coffee Roasters,"1540 Platte St Suite 130, Denver, CO 80202",https://www.redsilocoffeeroasters.com/,Denver,denver,CO,no_store_page
Crema Coffee House,"2862 Larimer St, Denver, CO 80205",http://cremacoffeehouse.net/,Denver,denver,CO,no_shop
Brew Culture Coffee,"3620 W Colfax Ave, Denver, CO 80204",http://www.brewculturecoffee.com/,Denver,denver,CO,no_store_page
Vivid Minds Cafe,"1545 S Broadway, Denver, CO 80210",https://vividmindscafe.com/,Denver,denver,CO,no_store_page
Amp Artisan Coffee,"1801 Blake St, Denver, CO 80202",http://ampartisancoffee.com/,Denver,denver,CO,no_store_page
Hearth,"2500 Lawrence St #200, Denver, CO 80205",http://hearthdenver.com/,Denver,denver,CO,no_store_page
Roostercat Coffee House,"1045 Lincoln St, Denver, CO 80203",http://www.roostercatdenver.com/,Denver,denver,CO,no_shop
Mango Tree Coffee,"3498 S Broadway, Englewood, CO 80113",http://www.mangotreecoffee.org/,Denver,denver,CO,no_store_page
The Great American Coffee Company,"30 Kalamath St, Denver, CO 80223",https://gourmetofficecoffee.com/,Denver,denver,CO,no_shop
Elevation Coffee Traders,"2700 S Tejon St, Englewood, CO 80110",http://elevationcoffee.com/,Denver,denver,CO,no_store_page
Stella's Coffee Haus,"1476 S Pearl St, Denver, CO 80210",https://stellascoffee.com/,Denver,denver,CO,no_shop
Steam Espresso Bar,"1801 S Pearl St, Denver, CO 80210",http://www.steamespressobar.com/,Denver,denver,CO,no_store_page
Pigtrain Coffee Company,"1701 Wynkoop St, Denver, CO 80202",http://www.pigtraincoffee.com/,Denver,denver,CO,no_store_page
Carbon Coffee,"12230 E Colfax Ave Unit 120, Aurora, CO 80011",http://www.carboncoffeebar.com/,Denver,aurora,CO,no_store_page
Lucy Coffee House,"14048 E Mississippi Ave, Aurora, CO 80012",https://lucycoffeehouse.com/,Denver,aurora,CO,no_store_page
Endless Grind Coffee,"17070 E Quincy Ave, Aurora, CO 80015",https://www.endlessgrindcoffee.com/,Denver,aurora,CO,no_coffee_keywords
Coffee Story by Barakah Brews,"2222 S Havana St Unit A1, Aurora, CO 80014",http://coffeestoryco.com/,Denver,aurora,CO,no_shop
