Name,Address,Original Website,Website,source_city,sub_city,state
Wagon Coffee Roasters,"2122 S Lafayette St, Denver, CO 80210",https://www.wagoncoffeeroasters.com/,https://www.wagoncoffeeroasters.com/collections/all-products,Denver,denver,CO
Corvus Coffee Roasters,"1740 S Broadway, Denver, CO 80210",http://www.corvuscoffee.com/,http://www.corvuscoffee.com/pages/all-coffees,Denver,denver,CO
Coda Coffee,"1751 E 58th Ave, Denver, CO 80216",http://codacoffee.com/,http://codacoffee.com/buy-online,Denver,denver,CO
Procession Coffee,"1075 Park Ave W, Denver, CO 80205",http://www.processioncoffee.com/,http://www.processioncoffee.com/webstore,Denver,denver,CO
Moonrise Coffee Roasters,"900 W 1st Ave #180, Denver, CO 80223",https://moonrisecoffeeroasters.com/,https://moonrisecoffeeroasters.com/collections/all,Denver,denver,CO
Locus Coffee,"1900 S Quince St Unit D, Denver, CO 80231",https://www.morucoffee.com/,https://www.morucoffee.com/purchase?category=coffee,Denver,denver,CO
Novo Coffee (Roastery + Supply),"3008 Larimer St, Denver, CO 80205",http://www.novocoffee.com/,https://novocoffee.com/shop/,Denver,denver,CO
Little Owl Coffee - LoHi,"2731 17th St Ste 110, Denver, CO 80211",http://littleowlcoffee.com/,http://littleowlcoffee.com/store/ethiopia-ayla-shawantanene,Denver,denver,CO
MiddleState Coffee,"212 Santa Fe Dr, Denver, CO 80223",http://www.middlestatecoffee.com/,http://www.middlestatecoffee.com/shop?category=coffee,Denver,denver,CO
Servant Coffee,"240 Santa Fe Dr, Denver, CO 80223",https://servantcoffee.com/,https://servantcoffee.com/product-category/coffee/,Denver,denver,CO
Huckleberry Roasters,"4301 N Pecos St, Denver, CO 80211",http://huckleberryroasters.com/,http://huckleberryroasters.com/shop,Denver,denver,CO
Lavender Coffee Boutique,"1219 S Pearl St, Denver, CO 80210",http://lavendercb.com/,http://lavendercb.com/collections/lavender-coffee,Denver,denver,CO
Garden Coffee Co. Roastery,"7523 S Carr Ct, Littleton, CO 80128",https://www.gardencoffeeco.com/,https://gardencoffeeco.com/shop/finca-la-limonera/,Denver,denver,CO
Lilac Coffee,"4736 E Colfax Ave, Denver, CO 80220",https://lilaccoffee.com/,https://www.lilaccoffee.com/store,Denver,denver,CO
Kaladi Coffee Roasters,"1730 E Evans Ave, Denver, CO 80210",http://kaladicoffee.com/,https://kaladicoffee.com/shop/,Denver,denver,CO
Sweet Bloom Coffee,"1619 Reed St, Lakewood, CO 80214",http://sweetbloomcoffee.com/,http://sweetbloomcoffee.com/collections/coffee,Denver,denver,CO
Queen City Collective Coffee,"4999 W 44th Ave, Denver, CO 80212",https://queencitycollectivecoffee.com/,https://queencitycollectivecoffee.com/collections/coffee,Denver,denver,CO
Luna Gourmet Coffee & Tea Co. Headquarters,"610 E 55th Ave #300, Denver, CO 80216",http://www.lunagourmet.com/,https://www.coffeeam.com,Denver,denver,CO
Cafe Typica small batch roasters,"4340 E Kentucky Ave Ste 145, Glendale, CO 80246",https://cafetypica.com/,https://cafetypica.com/online-coffee-shop/,Denver,denver,CO
Copper Door Coffee Roasters,"2890 Fairfax St, Denver, CO 80207",https://copperdoorcoffee.com/,https://copperdoorcoffee.com/collections/coffee,Denver,denver,CO
Imack Coffee,"5140 E 39th Ave, Denver, CO 80207",http://imackcoffee.com/,https://imack-coffee.myshopify.com/,Denver,denver,CO
