Name,Address,Website,source_city,reason
Standing Wave Coffee,"2024 Sarah St, Pittsburgh, PA 15203, United States",https://www.standingwavecoffee.com/,edmonton,wrong_region
3rd Wave Coffee Roasters,"215 W King St #3, St. Augustine, FL 32084, United States",https://3rdwavecoffee.com/,edmonton,wrong_region
Kaffa Roaster and Studio,"10920 88 Ave NW, 10920 88ave nw #201, Edmonton, AB T6G 0Z1",https://www.kaffaroasterystudio.com/,edmonton,no_store_page
NXT Roasters - Freshly roasted coffee,"10352 68 Ave NW, Edmonton, AB T6H 2A7",https://nxtroasters.com/,edmonton,no_shop
The Wall Coffee Roasters,"27717 Acheson Rd, Acheson, AB T7X 6B1",https://www.thewallcoffeeroasters.com/,edmonton,no_store_page
BOXCAR COFFEESHOP,"11926 129 Ave NW, Edmonton, AB T5E 0N3",http://boxcarcoffeeshop.ca/,edmonton,no_shop
Stopgap Coffee,"9749 111 St NW, Edmonton, AB T5K 0E1",http://www.stopgapcoffee.com/,edmonton,no_shop
Jafa Coffee,"13131 35 St NW, Edmonton, AB T5A 5C6",https://jafacoffee.com/,edmonton,no_store_page
ADD Coffee,"11624 145 St NW, Edmonton, AB T5M 1V8",http://www.addcoffee.ca/,edmonton,no_shop
Tea And Coffee Company,"10561 111 St NW, Edmonton, AB T5H 3E8",http://www.teaandcoffeecompany.com/,edmonton,scrape_failed
Bar Oro Caffè & Lounge,"10550 Jasper Ave, Edmonton, AB T5J 1Z7",http://www.baroro.ca/,edmonton,no_shop
Respire Coffeehouse,"3550 76 Ave NW, Edmonton, AB T6B 2N8",https://www.respirecoffee.ca/,edmonton,no_shop
Roam Cafe,"10130 112 St NW, Edmonton, AB T5K 2K4",http://roamcafeyeg.com/,edmonton,no_shop
Coffee Bureau - Mercury Block,"12316 102 Ave NW, Edmonton, AB T5N 3S3",http://coffeebureau.square.site/,edmonton,scrape_failed
PACT Coffee,"10370 Whyte Ave NW, Edmonton, AB T6E 1Z8",http://www.pactcoffee.ca/,edmonton,no_shop
