Name,Address,Website,source_city,reason
Kaffa Roaster and Studio,"10920 88 Ave NW, 10920 88ave nw #201, Edmonton, AB T6G 0Z1, Canada",https://www.kaffaroasterystudio.com/,edmonton,no_store_page
NXT Roasters - Freshly roasted coffee,"10352 68 Ave NW, Edmonton, AB T6H 2A7, Canada",https://nxtroasters.com/,edmonton,no_shop
The Wall Coffee Roasters,"27717 Acheson Rd, Acheson, AB T7X 6B1, Canada",https://www.thewallcoffeeroasters.com/,edmonton,no_store_page
Stopgap Coffee,"9749 111 St NW, Edmonton, AB T5K 0E1, Canada",http://www.stopgapcoffee.com/,edmonton,no_shop
ADD Coffee,"11624 145 St NW, Edmonton, AB T5M 1V8, Canada",http://www.addcoffee.ca/,edmonton,no_shop
Liberta coffee lab,"6547 99 St NW, Edmonton, AB T6E 3P5, Canada",https://www.libertacoffeelab.com/,edmonton,no_shop
BOXCAR COFFEESHOP,"11926 129 Ave NW, Edmonton, AB T5E 0N3, Canada",http://boxcarcoffeeshop.ca/,edmonton,no_shop
Bar Oro Caffè & Lounge,"10550 Jasper Ave, Edmonton, AB T5J 1Z7, Canada",http://www.baroro.ca/,edmonton,no_shop
Roam Cafe,"10130 112 St NW, Edmonton, AB T5K 2K4, Canada",http://roamcafeyeg.com/,edmonton,no_shop
Mokha Coffee House,"5344 Admiral Girouard St, Edmonton, AB T5X 3N5, Canada",http://mymokhacafe.com/,edmonton,no_shop
Tea And Coffee Company,"10561 111 St NW, Edmonton, AB T5H 3E8, Canada",http://www.teaandcoffeecompany.com/,edmonton,scrape_failed
Jafa Coffee,"13131 35 St NW, Edmonton, AB T5A 5C6, Canada",https://jafacoffee.com/,edmonton,no_store_page
Coffee Bureau,"10505 Jasper Ave, Edmonton, AB T5J 1Z4, Canada",http://coffeebureau.square.site/,edmonton,scrape_failed
BE Coffee,"11015 26 Ave NW, Edmonton, AB T6J 5V3, Canada",http://www.becoffeeyeg.ca/,edmonton,no_shop
Roots of Colombia Coffee,"5203 149 Ave NW #12, Edmonton, AB T5A 1B5, Canada",https://www.rootsofcolombiacoffee.com/,edmonton,no_store_page
Common Ground Coffee,"2727 182 St S W, Edmonton, AB T6W 4V2, Canada",http://instagram.com/common_ground_yeg,edmonton,no_shop
