Name,Address,Website,source_city,sub_city,state,reason
Synaxis Coffee Co.,"10110 Montwood Dr E, El Paso, TX 79925",https://synaxiscoffee.com/,El Paso,el paso,TX,no_store_page
Casa Cafetzin Coffee Roasters,"4111 N Mesa St APT 1, El Paso, TX 79902",https://casacafetzincoffeeroasters.com/,El Paso,el paso,TX,no_shop
Viejo Coffee,"2519 N Stanton St, El Paso, TX 79902",https://viejocoffee.square.site/?fbclid=PAZXh0bgNhZW0CMTEAAabDRhs77RHCjIQkhVqdVWpKwmaabQg8HwalOtpmiXtIPZNxS2xQCTq5qEs_aem_EKWJ_76g6xpQFQ-21BQh-Q,El Paso,el paso,TX,no_store_page
District Coffee Co.,"222 Texas Ave F, El Paso, TX 79901",http://www.districtcoffee.co/,El Paso,el paso,TX,no_shop
Glia's Coffee Co.,"404 Arizona Ave STE 1, El Paso, TX 79902",http://gliascoffee.com/,El Paso,el paso,TX,no_store_page
The Dripping Cauldron @ Beautifully Sinister,"9408 McCombs St, El Paso, TX 79924",http://sinisterenterprises.com/,El Paso,el paso,TX,no_store_page
Sunset Heights Co (Coffee Co and Venue),"100 Porfirio Diaz St, El Paso, TX 79902",http://www.sunsetheightsco.com/,El Paso,el paso,TX,no_store_page
Wake and Bake,"5001 N Mesa St Building 2 Suite A, El Paso, TX 79912",http://www.wakebakeelpaso.com/,El Paso,el paso,TX,no_store_page
Rally Point Coffee,"4726 Woodrow Bean Transmountain Suite D, El Paso, TX 79924",https://rallypointcoffee.com/,El Paso,el paso,TX,scrape_failed
Mas y Menos,"1035 Belvidere St STE 300, El Paso, TX 79912",http://masymenos.biz/,El Paso,el paso,TX,no_shop
Sand Dust Coffee,"1441 N Zaragoza Rd Ste E-1, El Paso, TX 79936",http://www.sanddustcoffee.com/,El Paso,el paso,TX,no_store_page
Coffee Box,"401 N Mesa St, El Paso, TX 79901",http://www.elpasocoffeebox.com/,El Paso,el paso,TX,no_store_page
Café Con Leche: Tiny Café,"2430 Wyoming Ave, El Paso, TX 79901",https://cafeconlecheept.com/,El Paso,el paso,TX,scrape_failed
Coffee Party,"3803 Frutas Ave Suite B, El Paso, TX 79905",http://coffeeprty.square.site/,El Paso,el paso,TX,no_store_page
Caffe Fioretti,"3429 Montana Ave, El Paso, TX 79903",http://www.caffefioretti.com/,El Paso,el paso,TX,no_coffee_keywords
Santiago Coffee co.,"Av. Rafael Pérez Serna 410, Omega, 32439 Juárez, Chih., Mexico",https://order.ubereats.com/ciudad-juarez/food-delivery/Santiago%20Coffee%20Co/HTRE6y8rQLyRQlnjcpCfBw/?utm_source=web-restaurant-manager,El Paso,ciudad juárez,TX,no_store_page
Gad's Coffee,"Av prof R Rivera Lara 7040 industrial 32618, Parques Industriales, 32518 Juárez, Chih., Mexico",http://gadscoffee.com/,El Paso,ciudad juárez,TX,scrape_failed
Podium Finish Coffee & Bikes,"1400 Texas Ave, El Paso, TX 79901",http://www.podiumfinishsportcafe.com/,El Paso,ciudad juárez,TX,no_store_page
Bodega Loya,"10257 Socorro Rd, Socorro, TX 79927",http://www.gwsfarm.com/,El Paso,ciudad juárez,TX,no_store_page
Kinley's House Coffee & Tea,"2231 N Mesa St, El Paso, TX 79902",https://kinleyscoffeehouse.com/,El Paso,ciudad juárez,TX,no_store_page
Mountain Pass Coffee,"9504 Carnegie Ave, El Paso, TX 79925",http://mtnpasscoffee.com/,El Paso,sunland park,TX,no_store_page
Savage Goods,"1201 N Oregon St, El Paso, TX 79902",http://savagegoods.com/,El Paso,sunland park,TX,no_store_page
Corner Bakery Cafe,"655 Sunland Park Dr, El Paso, TX 79912",https://www.cornerbakerycafe.com/,El Paso,sunland park,TX,no_store_page
Pearland Coffee Roasters,"1315 Broadway St, Pearland, TX 77581",http://pearlandcoffeeroasters.com/,El Paso,sunland park,TX,scrape_failed
Outside agitator coffee,"203 College Ave, Socorro, NM 87801",http://coffeemicro.online/,El Paso,socorro,TX,no_store_page
Windfall Coffee Roasters LLC,"2779 W Horizon Ridge Pkwy #120, Henderson, NV 89052",http://windfallcoffeeroasters.com/,El Paso,horizon city,TX,no_store_page
FULL CITY ROOSTER,"1810 S Akard St UNIT 100, Dallas, TX 75215",http://fullcityrooster.com/,El Paso,horizon city,TX,no_coffee_keywords
"Frontera Coffee Co, Churros, and Elote","7051 S Desert Blvd E-516, Canutillo, TX 79835",https://order.spoton.com/so-frontera-coffee-co-19635/canutillo-tx/6698767491e76cf0b9c14076,El Paso,canutillo,TX,no_shop
Texas Brew,"596 Camino De La Rosa Rd suite B, San Elizario, TX 79849",https://online.skytab.com/s/texasbrew,El Paso,san elizario,TX,no_shop
