Name,Address,Original Website,Website,source_city,sub_city,state
Global Coffee Roasters,"9640 Montwood Dr a100, El Paso, TX 79925",http://www.globalcoffeeco.com/,http://www.globalcoffeeco.com/collections/coffee,El Paso,el paso,TX
BLDG 6 COFFEE ROASTERS,"11385 James Watt Dr STE B6, El Paso, TX 79936",https://www.bldg6coffee.com/,https://bldg-6-coffee-roasters.square.site/s/shop,El Paso,el paso,TX
2Ten Coffee Roasters (Sunset),"145 E Sunset Rd D-100, El Paso, TX 79922",http://www.2tencoffeeroasters.com/,http://www.2tencoffeeroasters.com/store,El Paso,el paso,TX
787 Coffee,"5038 Alameda Ave, El Paso, TX 79905",http://www.787coffee.com/,http://www.787coffee.com/787coffeeonlineshop,El Paso,el paso,TX
Picacho Coffee Roasters,"200 W Conway Ave unit a, Las Cruces, NM 88005",http://picacho.coffee/,http://picacho.coffee/collections/specialty-grade-micro-lot-coffee-beans,El Paso,el paso,TX
The Hive Java Lounge,"8100 N Loop Dr Ste A101, El Paso, TX 79907",https://www.thehivejavalounge.com/,https://www.thehivejavalounge.com/,El Paso,el paso,TX
Paso del Norte Coffee Roasting,"C. Sierra Madre Oriental 5983, La Cuesta, 32650 Juárez, Chih., Mexico",https://www.pasodelnortecoffee.com/,https://www.pasodelnortecoffee.com/shop/,El Paso,ciudad juárez,TX
The Coffee Ciudad Juárez,"Av. del Sauce, Parcelas Ejido Jesús Carranza, 32472 Juárez, Chih., Mexico",https://thecoffee.jp/,https://thecoffee.jp/ourbean/whitebag,El Paso,ciudad juárez,TX
Novel Coffee Roasters,"2800 Shamrock Ave #124, Fort Worth, TX 76107",http://www.novelcoffeeroasters.com/,http://www.novelcoffeeroasters.com/collections/coffee,El Paso,sunland park,TX
Noble Coyote Coffee Roasters,"819 Exposition Ave, Dallas, TX 75226",http://www.noblecoyotecoffee.com/,http://www.noblecoyotecoffee.com/shop,El Paso,horizon city,TX
