Name,Address,Website,source_city,reason
The Roastory Specialty Coffee and Roastery Inc.,"12 Ella Ln Unit 106, Bedford, NS B4B 2J6",https://www.theroastorycoffee.com/,halifax,no_shop
Roastery 46,"170 Joseph Zatzman Dr Unit 12, Dartmouth, NS B3B 1M3",http://roastery46.ca/,halifax,scrape_failed
Scotian Grind Coffee,"26 Windfield Crescent, Middle Sackville, NS B4E 3A1",http://www.scotiangrindcoffee.ca/,halifax,no_shop
Espresso 46,"2867 Isleville St, Halifax, NS B3K 3X4",https://www.facebook.com/Espresso46/,halifax,no_coffee_keywords
Caffè Lucca,"1625 Grafton St, Halifax, NS B3J 0B1",https://www.caffelucca.ca/,halifax,no_shop
Café Lara & Roastery,"3121 Kempt Rd, Halifax, NS B3K 5N6",http://www.cafelara.ca/,halifax,scrape_failed
Tartan Coffee Company,"Dingle Rd, Halifax, NS B3P 1A1",https://www.tartancoffee.ca/,halifax,scrape_failed
Weird Harbour Espresso Bar,"1656 Barrington St, Halifax, NS B3J 0C2",https://www.weirdharbour.com/,halifax,no_coffee_keywords
The Barn Coffee & Social House,"458 Main St, Mahone Bay, NS B0J 2E0",http://www.thebarncoffee.com/,halifax,no_shop
The Fourth Pull by Stoke Food Supply,"5687 West St, Halifax, NS B3K 4C1",http://stokefood.ca/,halifax,no_coffee_keywords
Ramblers,"5576 Nora Bernard St, Halifax, NS B3K 5K9",http://www.instagram.com/ramblers.hfx,halifax,no_shop
Beanville Coffee Roastery,"771 Bedford Hwy, Bedford, NS B4A 1A1",https://www.beanvillecoffee.com/,halifax,no_store_page
Terra Cafe,"1496 Lower Water St, Halifax, NS B3J 3R5",http://terracafe.ca/,halifax,no_shop
Uncommon Grounds,"1030 South Park St Suite # 321, Halifax, NS B3H 2W3",https://www.theuncommongroup.com/,halifax,no_coffee_keywords
Sully and Porter Cafe,"2959 Oxford St, Halifax, NS B3L 2W3",http://sullyandporter.com/,halifax,no_store_page
Creative Cup Cafe,"2792 Gottingen St, Halifax, NS B3K 3C8",http://www.creativecupcafe.ca/,halifax,no_store_page
Balancing Rock Coffeehouse,"1919 Upper Water St, Halifax, NS B3J 3J5",https://www.marriott.com/en-us/hotels/yhzmc-halifax-marriott-harbourfront-hotel/dining/?scid=feed67b0-9a2f-4de1-8df6-114544116108,halifax,no_shop
Apartment 3 Espresso Bar,"1565 South Park St Unit 2, Halifax, NS B3J 0H8",http://www.apt3coffee.com/,halifax,no_store_page
Nhà Specialty Coffee & Kitchen,"205 Bedford Hwy Ground Floor, Halifax, NS B3M 0R5",https://nhacoffee.com/,halifax,no_shop
Xena's Bread and Butter Ltd.,"1996 Brunswick St, Halifax, NS B3J 2G7",https://xenasbreadandbutter.com/,halifax,no_store_page
Steve-O-Reno's Cappuccino,"1536 Brunswick St, Halifax, NS B3J 2G2",https://www.steveorenos.com/,halifax,no_store_page
Glitter Bean Cafe Co-op,"5896 Spring Garden Rd, Halifax, NS B3H 0A6",https://www.glitterbeancafe.com/,halifax,no_store_page
Open Book Coffee,"3660 Strawberry Hill St, Halifax, NS B3K 5A9",https://openbookcoffee.ca/,halifax,no_store_page
