Name,Address,Original Website,Website,source_city
Roasted Coffee Roastery,"39 Ridgevale Dr, Bedford, NS B4A 3L8",https://roastedcoffeehfx.com/,https://roastedcoffeehfx.com/shop/,Halifax
Expedition Coffee Roasters,"1813 Nova Scotia Trunk 1 Suite A, Falmouth, NS B0P 1P0",https://expeditioncoffeeroasters.com/,https://expeditioncoffeeroasters.com/collections/all-coffee-beans,Halifax
Sunday Silence Coffee Co.,"44 Hiltz Hill Rd, Mahone Bay, NS B0J 2E0",http://www.sundaysilencecoffee.com/,https://sundaysilencecoffee.com/products/favourite-to-win-medium-roast-340g,Halifax
Java Blend Coffee Roasters,"6027 North St, Halifax, NS B3K 1N9",http://www.javablendcoffee.com/,http://www.javablendcoffee.com/collections/coffee,Halifax
Nova Coffee,"283 Pelton Mountain Rd, Lakeville, NS B4N 3V7",http://www.novacoffee.com/,http://www.novacoffee.com/collections/shop-collection,Halifax
Rescue Coffee Co.,"Inside The Coffee Pro, 961 Bedford Hwy, Bedford, NS B4A 1A9",https://rescuecoffeeco.com/,https://coffee-hounds.myshopify.com,Halifax
Meeting Waters Coffee Roastery,"271 Main St, Tatamagouche, NS B0K 1V0",http://meetingwaters.com/,https://www.meetingwaters.com/product/1818-espresso/,Halifax
East Cup Cafe,"1936 Robie St, Halifax, NS B3H 0C3",https://www.eastcupcafe.com/,https://www.eastcupcafe.com/collections/coffee-beans,Halifax
Laughing Whale Coffee Roasters,"261 Lincoln St, Lunenburg, NS B0J 2C0",https://laughingwhalecoffee.com/,https://laughingwhalecoffee.com/get-coffee-shipped/,Halifax
Anchored Coffee,"70 Ochterloney St, Dartmouth, NS B2Y 1C2",http://anchoredcoffee.com/,http://anchoredcoffee.com/collections/all-coffee,Halifax
Port City Coffee,"958 Cole Harbour Rd Unit 5, Dartmouth, NS B2V 1E6",https://portcitycoffee.ca/,https://portcitycoffee.ca/collections/online-coffee,Halifax
Coffee Street,"33 Alderney Dr Unit -150, Dartmouth, NS B2Y 2N4",http://coffeestreet.ca/,https://coffee-street.square.site,Halifax
Wheelhouse Coffee Co.,"2 Webster St, Kentville, NS B4N 1H7",https://wheelhousecoffee.ca/,https://wheelhousecoffee.ca/collections/all,Halifax
Quest Coffee Co,"65 MacCulloch Rd, Cookville, NS B4V 7P1",http://www.questcoffee.com/,https://www.questcoffee.com/shop-1,Halifax
Aroma Maya Coffee & Donuts Dartmouth,"303 Prince Albert Rd, Dartmouth, NS B2Y 1N1",https://www.aromamayastores.com/,https://www.aromamayacoffee.com/,Halifax
Second Cup Café,"660 Portland St, Dartmouth, NS B2W 2M8",https://secondcup.com/location/portland-street,https://shop.secondcup.com/,Halifax
Just Us! Grand Pré Café & Roastery,"11865 Nova Scotia Trunk 1, Hortonville, NS B4P 2R3",http://justuscoffee.com/,http://justuscoffee.com/collections/coffee,Halifax
T.A.N. Coffee - Wolfville,"378 Main St, Wolfville, NS B4P 2B8",http://www.tancoffee.com/,https://tancoffee.com/shop/,Halifax
Third Wave Coffee,"Ritz Hotel Road, near Upasi, Alwarpet, Coonoor, Tamil Nadu 643101, India",https://stores.thirdwavecoffeeroasters.com/store-pages/third-wave-coffee-bedford-coonoor-coonoor/,https://www.thirdwavecoffeeroasters.com/,Halifax
East Coast Coffee,"25 Eveleigh Dr, Sydney Mines, NS B1V 2Y5",http://easycup.com/,http://easycup.com/shop/coffee/2,Halifax
Express Yourself Café,"131 Main St, Trenton, NS B0K 1X0",https://www.expressyourselfcafe.ca/,https://expressyourselfcafe.ca/shop/,Halifax
NovelTea Coffeehouse & Bakery,"604 Prince St, Truro, NS B2N 1G3",http://www.ntbookstorecafe.ca/,http://www.ntbookstorecafe.ca/collections/coffee-beans,Halifax
