Name,Address,Website,source_city,reason
Vintage Coffee Roasters,"977 King St E, Hamilton, ON L8M 1C3",http://www.vintagecoffeeroasters.ca/,hamilton,no_shop
Thirds Roasting Collective,"119 John St N, Hamilton, ON L8R 1H7",http://thirdscoffeeco.com/,hamilton,no_shop
The Hub Coffee Roaster @ Hamilton,"191 King St E, Hamilton, ON L8N 1B3",https://www.thehubcoffee.ca/,hamilton,no_store_page
One For All Coffee,"241 King St E, Hamilton, ON L8N 1B6",http://instagram.com/oneforallcoffee,hamilton,no_shop
Durand Coffee,"142 Charlton Ave W, Hamilton, ON L8P 2C7",http://durandcoffee.ca/,hamilton,no_shop
Smalls Coffee,"8 Cannon St E, Hamilton, ON L8L 1Z5",http://smalls.coffee/,hamilton,no_shop
Coffee Run Co.,"148 James St S, Hamilton, ON L8P 3A2",http://coffeerunco.ca/,hamilton,no_shop
Rooney's,"724 Main St E, Hamilton, ON L8M 1K9",http://www.shoprooneys.ca/,hamilton,scrape_failed
House Of Java,"200 James St S #101, Hamilton, ON L8P 3A9",http://www.thehouseofjava.ca/,hamilton,no_shop
Grey Roasting Co | The Tasting Room,"401 Grey Street, Hamilton East, Hamilton 3216, New Zealand",https://greyroastingco.com/,hamilton,no_store_page
Redchurch Cafe + Gallery,"Victoria Hall, 68 King St E, Hamilton, ON L8N 1A6",http://www.redchurchcafe.com/,hamilton,no_store_page
School Specialty Coffee,"On Upper Level, across from RW&CO & Apple Store, 900 Maple Ave unit# BB37B, Burlington, ON L7T 2R8",http://schoolcoffee.ca/,hamilton,no_shop
Reunion Coffee Roasters,"2421 Royal Windsor Dr, Oakville, ON L6J 7X6",https://reunioncoffeeroasters.com/,hamilton,no_store_page
ASPECT Roaster & Cafe,"270 Bronte St N, Milton, ON L9T 2N9",http://www.aspectroaster.com/,hamilton,no_shop
Carvalho Coffee Roasters,"775 Pacific Rd #30, Oakville, ON L6L 6M4",http://www.carvalhocoffee.ca/,hamilton,no_store_page
Cherry Birch General,"219 King St E, Hamilton, ON L8N 1B6",http://www.cherrybirchgeneral.ca/,hamilton,no_store_page
El Pacho Coffee Roasters,"40 University Ave Unit 8, Toronto, ON M5J 1T1",https://www.facebook.com/profile.php?id=61561766413690,hamilton,no_coffee_keywords
Selo Cafe + Wine Bar,"13 Hess St S, Hamilton, ON L8P 3M7",http://selocafe.ca/,hamilton,no_shop
Daigyo Café Hamilton,"125 King St E, Hamilton, ON L8N 1A9",http://www.daigyo.ca/,hamilton,no_store_page
SYNONYM,"328 James St N, Hamilton, ON L8L 1H2",http://www.synonymshop.com/,hamilton,no_shop
Incline Coffee Co,"581 Concession St, Hamilton, ON L8V 1B2",https://www.townhallsocial.com/inclinecoffeeco,hamilton,no_shop
Mulberry Coffeehouse,"193 James St N, Hamilton, ON L8R 2L2",https://www.mulberrycoffeehouse.com/,hamilton,no_shop
Sought and Found Coffee Roasters,"916 Centre St N, Calgary, AB T2E 2P7",https://www.soughtxfound.coffee/,hamilton,no_store_page
416 Coffee Co. Roasting Facility,"32 Wright St, St. Catharines, ON L2P 3J4",http://www.416-coffee.com/,hamilton,no_store_page
Peach Coffee Co. Aldershot,"175 Plains Rd E, Burlington, ON L7T 2C4",http://www.peachcoffeeco.com/,hamilton,no_store_page
Westdale Cafe,"1004 King St W, Hamilton, ON L8S 1L1",https://www.westdalecafe.com/,hamilton,no_shop
Dark Horse Espresso Bar,"1783 Stone Church Rd E, Stoney Creek, ON L8W 0B4",https://darkhorseespresso.com/,hamilton,no_shop
The Cannon,"180 Ottawa St N, Hamilton, ON L8H 3Z3",http://www.thecannon.coffee/,hamilton,no_coffee_keywords
Café Oranje,"312 King St E, Hamilton, ON L8N 1C2",http://www.cafeoranje.ca/,hamilton,no_store_page
Mezza Caffe,"28 James St N Unit 104, Hamilton, ON L8R 2K1",http://mezacaffe.ca/,hamilton,no_shop
Coffee Culture Cafe & Eatery,"140 Centennial Pkwy N, Hamilton, ON L8E 1H9",https://www.coffeeculturecafe.com/,hamilton,no_shop
Saint James,"170 James St N, Hamilton, ON L8R 2L1",http://www.saint-james.ca/,hamilton,no_shop
Cafe Baffico - Sourdough Doughnuts + Pizza,"1375 King St E, Hamilton, ON L8M 1H6",http://www.cafebaffico.com/,hamilton,no_shop
Dundurn Market,"346 Dundurn St S, Hamilton, ON L8P 4L6",http://mrktbox.com/,hamilton,no_shop
Mikel Coffee,"1008 King St W, Hamilton, ON L8S 1L4",http://www.mikelcoffee.com/,hamilton,no_shop
Second Cup Café,"999 Upper Wentworth St, Hamilton, ON L9A 4X5",https://secondcup.com/location/lime-ridge-mall,hamilton,no_shop
Faema Hamilton Showroom,"265 James St N, Hamilton, ON L8R 2L2",https://www.faema.ca/,hamilton,no_shop
Cold Creek Coffee Roasters,"230 Haynes Rd, Castleton, ON K0K 1M0",http://www.coldcreekcoffeeroasters.com/,hamilton,no_shop
Summits Edge Coffee Roasters,"10270 Spartan Dr, Cincinnati, OH 45215, United States",http://www.summitsedgecoffee.com/,cincinnati,no_shop
Lookout Joe,"3181 Linwood Ave, Cincinnati, OH 45208, United States",https://www.lookoutjoe.com/,cincinnati,no_store_page
"Canadian Roasting Society, Dreamy Cafe.","3780 Saint-Patrick St., Montreal, Quebec H4E 1A2",https://www.canadianroastingsociety.ca/,cincinnati,no_shop
Snapping Turtle Coffee Roasters,"145 Queen St E, St. Marys, ON N4X 1A9",http://www.snappingturtlecoffee.com/,cincinnati,no_store_page
Hatch Coffee Roasters,"802 Cochrane Dr Unit B, Markham, ON L3R 8C9",http://www.hatchcrafted.com/,cincinnati,no_store_page
Pneuma Coffee Roasters,"2900 Jefferson Ave, Cincinnati, OH 45219, United States",https://pneumacoffee.com/,cincinnati,no_shop
Collective Espresso,"4037 Hamilton Ave, Cincinnati, OH 45223, United States",https://collectiveorders.square.site/,cincinnati,scrape_failed
Stone City Coffee Roasters,"178 MB-12 #1, Steinbach, MB R5G 1T6",https://www.stonecitycoffeeroasters.com/,cincinnati,no_shop
Structure Roasters - Structure Torréfacteurs,"460 Rue McGill, Montréal, QC H2Y 2H2",http://structureroasters.com/,cincinnati,no_store_page
