Name,Address,Original Website,Website,source_city
RELAY Coffee Roasters,"27 King William St, Hamilton, ON L8R 1A1",http://www.relaycoffee.com/,http://www.relaycoffee.com/collections/frontpage,hamilton
Coffeecology,"346 Dundurn St S, Hamilton, ON L8P 4L6",http://www.coffeecology.ca/,http://www.coffeecology.ca/collections/best-sellers,hamilton
Detour Coffee Roasters,"99 Clinton St, Hamilton, ON L8L 3K1",https://detourcoffee.com/,https://detourcoffee.com/collections/direct-trade-coffee,hamilton
Firebat Coffee Roasters,"3245 Harvester Rd Unit 12, Burlington, ON L7N 3T7",https://www.firebatcoffee.com/,https://firebatcoffee.com/products/coffee/,hamilton
Coffeed,"3420 Rebecca St, Oakville, ON L6L 6W2",http://coffeed.ca/,http://coffeed.ca/collections/frontpage,hamilton
Greenbelt Coffee,"420 Parkdale Ave N, Hamilton, ON L8H 5Y2",http://www.greenbeltcoffee.ca/,http://www.greenbeltcoffee.ca/pages/beans,hamilton
Muldoon's Craft Coffee Roasters,"5680 Timberlea Blvd, Mississauga, ON L4W 4M6",https://muldoonscoffee.com/,https://muldoonscoffee.com/collections/our-coffee,hamilton
Lost Aviator Coffee Company,"404 York Rd, Guelph, ON N1E 3H4",http://www.lostaviatorcoffee.com/,http://www.lostaviatorcoffee.com/collections/coffee,hamilton
Poets & Prose Coffee Roasters — Online Orders & Scheduled Pickup,"Not a store-front, Unit 19, 2250 Rockingham Dr, Oakville, ON L6H 6J3",https://poetsprosecoffee.com/,https://poetsprosecoffee.com/collections/coffee-beans,hamilton
Coast to Coast Coffee,"130 Cawthra Ave Unit 103, Toronto, ON M6N 3C2",http://www.coasttocoastcoffee.ca/,http://www.coasttocoastcoffee.ca/coffees.html,hamilton
Vereda Central Coffee Roasters,"1011 Upper Middle Rd E, Oakville, ON L6H 4L3",http://veredacentral.ca/,http://veredacentral.ca/collections/all-coffee,hamilton
Subtext Coffee Roasters,"130 Cawthra Ave Unit 104, Toronto, ON M6N 3C2",https://www.subtext.coffee/,https://www.subtext.coffee/collections/filter-coffee-beans,hamilton
Trebilcock Coffee Roasters,"1035 Toy Ave #19, Pickering, ON L1W 3N9",https://www.trebilcockcoffee.ca/,https://trebilcockcoffee.ca/product-category/our-coffees/,hamilton
Odin Coffee Roasters,"180 John St, Toronto, ON M5T 1X5",https://www.odincoffeeroasters.com/,https://www.odincoffeeroasters.com/collections/retail-coffee,hamilton
Back Road Coffee Roasters,"133 Queen St E, Mississauga, ON L5G 1N1",http://www.backroadcoffee.ca/,http://www.backroadcoffee.ca/collections/coffee-beans,hamilton
Ethica Coffee Roasters,"213 Sterling Rd, Toronto, ON M6R 2B2",https://ethicaroasters.com/,https://ethicaroasters.com/collections/shop-all,hamilton
Black Sheep Coffee Roasters,"64 Niagara St, Welland, ON L3C 1E3",http://blacksheepniagara.com/,http://blacksheepniagara.com/collections/best-selling-coffee,hamilton
Everyday Gourmet Coffee Roasters,"95 Front St E, Toronto, ON M5E 1C2",http://www.everydaycoffee.com/,http://www.everydaycoffee.com/collections/shop,hamilton
Pirates of Coffee,"6740 Davand Dr Unit-7, Mississauga, ON L5T 2K9",https://piratesofcoffee.com/,https://piratesofcoffee.com/collections/coffee,hamilton
Blaze Coffee Roasters,"188 Limestone Crescent, Toronto, ON M3J 2S4",http://blazecoffeeco.com/,http://blazecoffeeco.com/collections/ridiculously-fresh-coffee,hamilton
Baden Coffee Company,"1427 Gingerich Rd, Baden, ON N3A 4J3",http://badencoffee.com/,http://badencoffee.com/products/kopi-luwak,hamilton
Terminal 3 Coffee Roasters - Lake Shore,"3337 Lake Shore Blvd W, Etobicoke, ON M8W 1M9",http://www.t3roasters.com/,http://www.t3roasters.com/collections/beans,hamilton
Travesia Coffee Roasters,"ECOMMERCE ONLY (OFFICE, 25 Neighbourhood Ln., Etobicoke, ON M8Y 0C4",http://travesiaroasters.com/,http://travesiaroasters.com/collections/roasted-coffee-beans,hamilton
Stereo Coffee Roasters,"40 Cawthra Ave, Toronto, ON M6N 5B3",https://stereocoffee.com/,https://stereocoffee.com/collections/all,hamilton
Library Coffee,"281 Dundas St W, Toronto, ON M5T 1G1",http://librarycoffee.ca/,http://librarycoffee.ca/collections/frontpage,hamilton
Altitude Coffee Roasters,"174 Brant Ave, Brantford, ON N3T 3H9",https://altitudecoffee.ca/,https://www.altitudecoffee.ca/shop/,hamilton
Social Coffee & Tea Company,"77 West Beaver Creek Rd #1, Richmond Hill, ON L4B 1K4",http://www.socialcoffee.com/,http://www.socialcoffee.com/collections/single-origin-coffees,hamilton
ECS Coffee Brewology - Ancaster,"1172 Wilson St W, Ancaster, ON L9G 3K9",http://www.ecscoffee.com/,http://www.ecscoffee.com/collections/whole-beans,hamilton
Hale Coffee Company,"300 Campbell Ave Unit #103, Toronto, ON M6P 3V6",https://www.halecoffee.com/,https://www.halecoffee.com/collections/coffee,hamilton
Cavan Coffee,"1467 Gordon St S, Guelph, ON N1G 0B6",https://www.cavan.coffee/,https://www.cavan.coffee/coffee/one,hamilton
