Name,Address,Original Website,Website,source_city
RELAY Coffee Roasters,"27 King William St, Hamilton, ON L8R 1A1",http://www.relaycoffee.com/,http://www.relaycoffee.com/collections/frontpage,hamilton
Detour Coffee Roasters,"99 Clinton St, Hamilton, ON L8L 3K1",https://detourcoffee.com/,https://detourcoffee.com/collections/direct-trade-coffee,hamilton
Coffeecology,"346 Dundurn St S, Hamilton, ON L8P 4L6",http://www.coffeecology.ca/,http://www.coffeecology.ca/collections/best-sellers,hamilton
Foreword Specialty Coffee Roasters,"370 Hwy 7, Richmond Hill, ON L4B 1A7",https://forewordroasters.ca/,https://forewordroasters.ca/collections/coffee-beans,hamilton
Greenbelt Coffee,"420 Parkdale Ave N, Hamilton, ON L8H 5Y2",http://www.greenbeltcoffee.ca/,http://www.greenbeltcoffee.ca/pages/beans,hamilton
Sippy Cup Coffee Roasters,"28 Port Maitland Rd, Haldimand, ON N1A 1Y7",http://www.sippycupcoffeeroasters.ca/,http://www.sippycupcoffeeroasters.ca/collections/all,hamilton
Muldoon's Craft Coffee Roasters,"5680 Timberlea Blvd, Mississauga, ON L4W 4M6",https://muldoonscoffee.com/,https://muldoonscoffee.com/collections/our-coffee,hamilton
Firebat Coffee Roasters,"3245 Harvester Rd Unit 12, Burlington, ON L7N 3T7",https://www.firebatcoffee.com/,https://firebatcoffee.com/products/coffee/,hamilton
Subtext Coffee Roasters,"130 Cawthra Ave Unit 104, Toronto, ON M6N 3C2",https://www.subtext.coffee/,https://www.subtext.coffee/collections/filter-coffee-beans,hamilton
Vereda Central Coffee Roasters,"310 Kerr St, Oakville, ON L6K 3B5",http://www.veredacentral.ca/,http://www.veredacentral.ca/collections/all-coffee,hamilton
Coffeed,"3420 Rebecca St, Oakville, ON L6L 6W2",http://coffeed.ca/,http://coffeed.ca/collections/frontpage,hamilton
Ethica Coffee Roasters,"213 Sterling Rd, Toronto, ON M6R 2B2",https://ethicaroasters.com/,https://ethicaroasters.com/collections/shop-all,hamilton
Odin Coffee Roasters,"180 John St, Toronto, ON M5T 1X5",https://www.odincoffeeroasters.com/,https://www.odincoffeeroasters.com/collections/retail-coffee,hamilton
Pirates of Coffee,"6740 Davand Dr Unit-7, Mississauga, ON L5T 2K9",https://piratesofcoffee.com/,https://piratesofcoffee.com/collections/coffee,hamilton
Back Road Coffee Roasters,"133 Queen St E, Mississauga, ON L5G 1N1",http://www.backroadcoffee.ca/,http://www.backroadcoffee.ca/collections/coffee-beans,hamilton
Stereo Coffee Roasters,"40 Cawthra Ave, Toronto, ON M6N 5B3",https://stereocoffee.com/,https://stereocoffee.com/collections/all,hamilton
RoastAroma,"19 Millington Crescent, Ajax, ON L1T 1R2",https://roastaroma.com/,https://roastaroma.com/store,hamilton
Trebilcock Coffee Roasters,"1035 Toy Ave #19, Pickering, ON L1W 3N9",https://www.trebilcockcoffee.ca/,https://trebilcockcoffee.ca/product-category/our-coffees/,hamilton
Library Coffee,"281 Dundas St W, Toronto, ON M5T 1G1",http://librarycoffee.ca/,http://librarycoffee.ca/collections/frontpage,hamilton
Rocket Coffee Roasters,"302 Barton Street, Hamilton Central, Hamilton 3244, New Zealand",https://rocketcoffee.co.nz/,https://rocketcoffee.co.nz/collections/all,hamilton
Propeller Coffee Co.,"50 Wade Ave, Toronto, ON M6H 2Z3",http://www.propellercoffee.com/,http://www.propellercoffee.com/collections/shop,hamilton
Social Coffee & Tea Company,"77 West Beaver Creek Rd #1, Richmond Hill, ON L4B 1K4",http://www.socialcoffee.com/,http://www.socialcoffee.com/collections/single-origin-coffees,hamilton
Craft 42 Roasters,"1178 High Rd, Kelowna, BC V1Y 7B1",http://www.craft42roasters.ca/,http://www.craft42roasters.ca/collections/coffee,hamilton
Barocco Coffee Company,"1020 Meyerside Dr #4, Mississauga, ON L5T 1K7",http://www.baroccocoffee.com/,http://www.baroccocoffee.com/collections/whole-bean-coffee,hamilton
Altitude Coffee Roasters,"174 Brant Ave, Brantford, ON N3T 3H9",https://altitudecoffee.ca/,https://www.altitudecoffee.ca/shop/,hamilton
Rogue Wave Coffee,"11322 119 St NW, Edmonton, AB T5G 2X4",https://roguewavecoffee.ca/,https://roguewavecoffee.ca/collections/coffee,hamilton
Standing Wave Coffee,"2024 Sarah St, Pittsburgh, PA 15203, United States",https://www.standingwavecoffee.com/,https://www.standingwavecoffee.com/our-coffee,hamilton
3rd Wave Coffee Roasters,"215 W King St #3, St. Augustine, FL 32084, United States",https://3rdwavecoffee.com/,https://3rdwavecoffee.com/collections/all,hamilton
Buffalo Coffee Roastery,"5844 Buffalo St, Sanborn, NY 14132, United States",http://buffalocoffeeroastery.com/,https://www.buffalocoffeeroastery.com/order-coffee/,hamilton
Terminal 3 Coffee Roasters - Lake Shore,"3337 Lake Shore Blvd W, Etobicoke, ON M8W 1M9",http://www.t3roasters.com/,http://www.t3roasters.com/collections/beans,hamilton
ECS Coffee Brewology - Ancaster,"1172 Wilson St W, Ancaster, ON L9G 3K9",http://www.ecscoffee.com/,http://www.ecscoffee.com/collections/whole-beans,hamilton
Contrabean Roasting Company,"Home based business, 71 Claremont Ave, Kitchener, ON N2M 2P5",http://contrabean.ca/,http://contrabean.ca/collections/coffee-offerings,hamilton
My Indie Coffee Roasters,"17817 Leslie St #7, Newmarket, ON L3Y 8C6",http://www.myindiecoffee.com/,http://www.myindiecoffee.com/collections/roasted-beans,hamilton
St Joseph Island Coffee Roasters,"3902 A Line Rd RR #1, Richards Landing, ON P0R 1J0",https://sjicoffeeroasters.ca/,https://www.sjicoffeeroasters.ca/shop-filterable/,hamilton
The Mister Brewer,"25 Nipissing Crescent, Brampton, ON L6S 5A4",http://www.themisterbrewer.ca/,http://www.themisterbrewer.ca/collections/all-roasts,hamilton
Dark City Coffee,"3480 McNicoll Ave Unit 12, Scarborough, ON M1V 5A7",http://www.darkcitycoffee.com/,http://www.darkcitycoffee.com/collections/all,hamilton
Moonbean Coffee Company,"30 St Andrew St, Toronto, ON M5T 1K6",http://www.moonbeancoffee.com/,http://www.moonbeancoffee.com/collections/coffee/products/kenya-kii-kirinyaga-grade-aa-top-micro-lot-washed,hamilton
Javanut,"391 Main St E, Milton, ON L9T 1P7",https://javanut.ca/,https://www.javanut.ca/coffee/whole-bean/,hamilton
Smile Tiger Coffee Roasters,"100 Ahrens St W, Kitchener, ON N2H 4C3",http://smiletigercoffee.com/,http://smiletigercoffee.com/collections/roasted-coffee,hamilton
Viva Coffee Roasters,"1979 Madison Rd, Cincinnati, OH 45208, United States",https://www.vivacoffeeroasters.com/contact,https://www.vivacoffeeroasters.com/shop-viva,cincinnati
Seven Hills Coffee Roasters,"11094 Deerfield Rd, Cincinnati, OH 45242, United States",http://www.sevenhillscoffee.com/,http://www.sevenhillscoffee.com/store,cincinnati
Chance Coffee,"1012 Drouillard Rd, Windsor, ON N8Y 2P8",http://chancecoffee.ca/,http://chancecoffee.ca/collections/beans,cincinnati
Kings Arms Coffee Roasters,"1900 Baymiller St, Cincinnati, OH 45214, United States",http://kingsarmscoffee.com/,http://kingsarmscoffee.com/collections/coffee,cincinnati
Script Coffee,"535 N Broadway St, Lebanon, OH 45036, United States",https://script-coffee.com/,https://script-coffee.com/collections/coffee,cincinnati
Oakley Artisan Roasters,"2901 Robertson Ave, Cincinnati, OH 45209, United States",http://oakleyartisanroasters.com/,http://oakleyartisanroasters.com/shop,cincinnati
Everyday Gourmet Coffee Roasters,"95 Front St E, Toronto, ON M5E 1C2",http://www.everydaycoffee.com/,http://www.everydaycoffee.com/collections/shop,cincinnati
Actual Coffee Roastery & Showroom,"6943 Wales Rd Suite B, Northwood, OH 43619, United States",http://actualcoffee.com/,http://actualcoffee.com/collections/coffee,cincinnati
Chronicle Coffee Roasters,"6703 30 St SE, Calgary, AB T2C 1N6",http://www.chroniclecoffee.ca/,https://qlabcoffee.ca/product-category/chronicle/,cincinnati
Deeper Roots Coffee Offices & Roasting Facility,"2108 Colerain Ave, Cincinnati, OH 45214, United States",http://www.deeperrootscoffee.com/,https://shop.deeperrootscoffee.com/collections/whole-bean-coffees,cincinnati
La Terza Artisan Coffee Roasterie,"9176 Winton Rd, Cincinnati, OH 45231, United States",https://www.laterzacoffee.com/,https://www.laterzacoffee.com/collections/single-origin-coffee,cincinnati
Hemisphere Coffee Roasters,"275 E Sandusky St, Mechanicsburg, OH 43044, United States",https://www.hemispherecoffeeroasters.com/,https://www.hemispherecoffeeroasters.com/collections,cincinnati
Transcend Coffee and Roastery,"9570 76 Ave NW, Edmonton, AB T6C 0K2",http://www.transcendcoffee.ca/,http://www.transcendcoffee.ca/collections/coffee-beans,cincinnati
Chin Chin Coffee Roasters,"757 Rte 400, Russell, ON K1J8N9",https://www.chinchincoffee.com/,https://www.chinchincoffee.com/collections/roasts,cincinnati
Blaze Coffee Roasters,"188 Limestone Crescent, Toronto, ON M3J 2S4",http://blazecoffeeco.com/,http://blazecoffeeco.com/collections/ridiculously-fresh-coffee,cincinnati
Lighthouse Coffee Roasters,"35931 Empress Dr #1, Abbotsford, BC V3G 2M8",http://www.lighthousecoffeeroasters.ca/,http://www.lighthousecoffeeroasters.ca/collections/coffee-beans,cincinnati
Continuum Coffee Roasters,"8678 Greenall Ave #112, Burnaby, BC V5J 3M6",https://continuumcoffee.ca/,https://continuumcoffee.ca/collections/coffee,cincinnati
Archer and Company Roasters,"1720 Petersburg Rd Suite 2, Hebron, KY 41048, United States",https://archerroasters.com/,https://archerroasters.com/collections/coffee,cincinnati
De Mello Coffee,"2489 Yonge St, Toronto, ON M4P 2H6",https://hellodemello.com/,https://hellodemello.com/collections/all-coffee,cincinnati
Luminary by La Terza,"6128 Hamilton Ave, Cincinnati, OH 45224, United States",https://www.luminarybylaterza.com/,https://laterzacoffee.com,cincinnati
