Name,Address,Original Website,Website,source_city
"J.René Coffee Roasters, LLC","320 Park Rd, West Hartford, CT 06119",http://jrenecoffee.com/,https://j-rene-coffee-roasters.myshopify.com/,Hartford
Victus Coffee,"777 Main St, Hartford, CT 06103",http://victuscoffee.com/,http://victuscoffee.com/collections/victus-coffee,Hartford
Ovelle Coffee,"10 Love Ln #5-109, Hartford, CT 06112",http://www.ovellecoffee.com/,https://www.ovellecoffee.com/shop,Hartford
Those Guys Coffee Co.,"8 Wickett St, Pine Meadow, CT 06061",https://thoseguys.coffee/,https://thoseguys.coffee/collections/coffee,Hartford
Perkatory Coffee Roasters,"625 New Park Ave # H, West Hartford, CT 06110",http://www.perkatoryroasters.com/,http://www.perkatoryroasters.com/collections/all-beans,Hartford
Alvarium Roasting Company at GastroPark,"637 New Park Ave, West Hartford, CT 06110",http://alvariumbeer.com/coffee,https://coffee.alvariumbeer.com/s/shop,Hartford
Drumroll Coffee Roasters,"57 Wells Rd, Wethersfield, CT 06109",https://www.drumrollcoffeeroasters.com/,https://www.drumrollcoffeeroasters.com/s/shop,Hartford
Omar Coffee Company,"41 Commerce Ct, Newington, CT 06111",https://www.omarcoffee.com/,https://www.omarcoffee.com/shop/,Hartford
Sound Coffee Roastery,"2040 Main St, Bridgeport, CT 06604",http://soundcoffees.com/,http://soundcoffees.com/collections/coffees,Hartford
EB Coffee Roasters,"250 Willimantic Rd, Chaplin, CT 06235",http://ebcoffeeroasting.com/,https://ebcoffeeroasting.com/shop/,Hartford
Saccuzzo Coffee Company,"149 Louis St, Newington, CT 06111",https://www.saccuzzo.com/,https://icaffe.com/coffee,Hartford
Redding Roasters,"81 Greenwood Ave #1, Bethel, CT 06801",https://www.reddingroasters.com/,https://www.reddingroasters.com/shop-now-coffee,Hartford
Krafted Brew Lab,"725 Bantam Rd, Bantam, CT 06750",http://www.kraftedbrewlab.com/,http://www.kraftedbrewlab.com/shop,Hartford
Shearwater Organic Coffee Roasters,"100 Corporate Dr UNIT B106, Trumbull, CT 06611",http://www.shearwatercoffeeroasters.com/,https://www.shearwatercoffeeroasters.com/shop/,Hartford
Baronet Coffee Inc,"701 Marshall Phelps Rd, Windsor, CT 06095",https://www.baronetcoffee.com/,https://baronetcoffee.com/shop/,Hartford
Daybreak Coffee Roasters,"2377 Main St, Glastonbury, CT 06033",http://www.daybreakcoffee.com/,https://www.daybreakcoffee.com/product-category/coffee/,Hartford
Giv Coffee,"194 Albany Turnpike, Canton, CT 06019",http://givcoffee.com/,http://givcoffee.com/collections/our-coffees,Hartford
Roastmasters.com,"550 E Main St, Branford, CT 06405",https://www.roastmasters.com/,https://www.roastmasters.com/green_coffee.html,Hartford
Deep River Roasters,"159 Main St, Deep River, CT 06417",http://www.deepriverroasters.com/,http://www.deepriverroasters.com/shop.html,Hartford
Silk City Coffee,"763 Main St, Manchester, CT 06040",http://silkcitycoffee.com/,http://silkcitycoffee.com/collections/coffee,Hartford
Rebel Dog Coffee Co. EAST HARTFORD,"361 Main St, East Hartford, CT 06118",https://www.rebeldogcoffeeco.com/,https://www.rebeldogcoffeeco.com/collections/coffee,Hartford
PROOF Coffee Roasters,"200 Commons Park S, Stamford, CT 06902",http://www.proof.coffee/,https://shop.proof.coffee/collections/coffee?filter.p.product_type=coffee,Hartford
WeHa Brewing & Roasting Company,"141 Shield St, West Hartford, CT 06110",http://www.wehabrewing.com/,http://www.wehabrewing.com/collections/coffee,Hartford
Ashlawn Farm Coffee (the cafe),"455 Boston Post Rd #1, Old Saybrook, CT 06475",http://farmcoffee.com/,http://farmcoffee.com/product-category/coffee/,Hartford
Nero Kitchen by Caffè Nero,"13 S Main St, West Hartford, CT 06107",https://www.caffenero.com/us/,https://us.caffenero.shop,Hartford
