Name,Address,Website,source_city,reason
Iron Wolf Coffee Roasters,"754 Ramsey Rd, Jacksonville, NC 28546",https://www.ironwolfcoffeeroasters.com/,jacksonville,wrong_region
Magnífico Coffee Roasters & Coffee Shop,"3063 N Milwaukee Ave, Chicago, IL 60618",https://www.magnificocoffee.com/,jacksonville,wrong_region
Iron Wolf Coffee Roasters,"754 Ramsey Rd, Jacksonville, NC 28546",https://www.ironwolfcoffeeroasters.com/,jacksonville,wrong_region
JDBrews,"506 Charleston Way, St Marys, GA 31558",https://www.jdbrews.com/,jacksonville,wrong_region
Mechanism Coffee Roasters,"11526 Lake Mead Ave ste 103, Jacksonville, FL 32256",http://www.mechanismcoffee.com/,jacksonville,no_store_page
Soul Coffee,"9393 Mill Springs Dr, Jacksonville, FL 32257",https://www.instagram.com/soulcoffeefl/,jacksonville,no_shop
Grounds of Grace,"1633 University Blvd N, Jacksonville, FL 32211",https://www.groundsofgracejax.com/,jacksonville,no_shop
Atlantic Post - Premium Coffee Roasters,"828 Beach Blvd, Jacksonville Beach, FL 32250",https://atlantic-post.myshopify.com/,jacksonville,no_coffee_keywords
Tetherball Coffee,"12200 San Jose Blvd #18, Jacksonville, FL 32223",http://tetherballcoffee.com/,jacksonville,no_store_page
Roasted RINO,"7949 Atlantic Blvd, Jacksonville, FL 32211",https://roastedrino.com/,jacksonville,no_shop
Nuanz Coffee Roasters,"96571 Blackrock Rd, Yulee, FL 32097",http://www.nuanzcoffee.com/,jacksonville,no_store_page
Steady Coffee,"4070 Herschel St Suite 2, Jacksonville, FL 32210",http://steadycoffeeco.com/,jacksonville,no_store_page
Costal Coffee,"491 W Forsyth St suite 1, Jacksonville, FL 32202",https://www.mycostalcoffee.com/contact,jacksonville,no_coffee_keywords
Happy Brew,"3200 Hendricks Ave, Jacksonville, FL 32207",https://www.happybrew.org/,jacksonville,no_shop
360F Coffee Roasters,"10722 Wiles Rd, Coral Springs, FL 33076",https://360fcoffee.com/,jacksonville,no_store_page
Round Bird Coffee Shop,"Round Bird Coffee Shop, 1094 3rd St N, Jacksonville Beach, FL 32250",http://www.roundbirdcoffee.com/,jacksonville,no_store_page
Alkimia Coffee House & Roaster LLC,"3148 148th Place Rd, Ocala, FL 34473",https://www.facebook.com/Alkimia-Coffee-House-Roaster-111939647010886/,jacksonville,no_shop
Kava & Company - San Marco,"1224 Kings Ave, Jacksonville, FL 32207",http://kavaandcompany.com/,jacksonville,no_coffee_keywords
Hogg Batch Coffee Roastery,"2327 Central Ave, St. Petersburg, FL 33713",http://www.hoggbatch.com/,jacksonville,no_store_page
Sweet Peaches Coffee,"3895 Baymeadows Rd, Jacksonville, FL 32217",https://sweetpeachescoffee.com/,jacksonville,no_store_page
COCONUT KEY COFFEE AND SUNDRIES,"4607 Ocean St, Jacksonville, FL 32233",https://coconutkeycoffee.com/,jacksonville,no_shop
