Name,Address,Website,source_city,reason
Iron Wolf Coffee Roasters,"754 Ramsey Rd, Jacksonville, NC 28546",https://www.ironwolfcoffeeroasters.com/,jacksonville,wrong_region
Mosaic Coffee Roasters,"727 W Commercial St Suite B, Springfield, MO 65803",https://www.mosaicroasters.com/,jacksonville,wrong_region
Iron Wolf Coffee Roasters,"754 Ramsey Rd, Jacksonville, NC 28546",https://www.ironwolfcoffeeroasters.com/,jacksonville,wrong_region
JDBrews,"506 Charleston Way, St Marys, GA 31558",https://www.jdbrews.com/,jacksonville,wrong_region
Mechanism Coffee Roasters,"11526 Lake Mead Ave ste 103, Jacksonville, FL 32256",http://www.mechanismcoffee.com/,jacksonville,no_store_page
Setlan Coffee Co.,"333 N Laura St, Jacksonville, FL 32202",http://setlancoffee.com/,jacksonville,scrape_failed
Martin Coffee Co,"1633 Marshall St, Jacksonville, FL 32206",http://www.martincoffee.com/,jacksonville,scrape_failed
Bold Bean Coffee Roasters - Riverside,"869 Stockton St, Jacksonville, FL 32204",https://boldbeancoffee.com/,jacksonville,scrape_failed
Haymaker Coffee Co,"25 N Market St, Jacksonville, FL 32202",http://www.haymakercoffeeco.com/,jacksonville,scrape_failed
Brass Tacks Coffee Co.,"4352 Southside Blvd, Jacksonville, FL 32216",http://www.brasstackscoffee.com/,jacksonville,scrape_failed
Condaxis Coffee & Tea,"1805 W Beaver St, Jacksonville, FL 32209",http://www.condaxis.com/,jacksonville,scrape_failed
Longroad Coffee Company,"633 Myrtle Ave N, Jacksonville, FL 32204",http://www.longroad.coffee/,jacksonville,scrape_failed
Grounds of Grace,"1633 University Blvd N, Jacksonville, FL 32211",https://www.groundsofgracejax.com/,jacksonville,scrape_failed
Jacksonville Coffee Company,"8221 Southside Blvd Space 7, Jacksonville, FL 32256",https://www.jacksonvillecoffeecompany.com/,jacksonville,scrape_failed
Soul Coffee,"9393 Mill Springs Dr, Jacksonville, FL 32257",https://www.instagram.com/soulcoffeefl/,jacksonville,scrape_failed
Atlantic Post - Premium Coffee Roasters,"828 Beach Blvd, Jacksonville Beach, FL 32250",https://atlantic-post.myshopify.com/,jacksonville,scrape_failed
Nuanz Coffee Roasters,"96571 Blackrock Rd, Yulee, FL 32097",http://www.nuanzcoffee.com/,jacksonville,scrape_failed
Bitty & Beau's Coffee,"1965 San Marco Blvd, Jacksonville, FL 32207",https://www.bittyandbeauscoffee.com/location/jacksonville/?utm_source=google&utm_medium=organic&utm_campaign=businessprofile,jacksonville,scrape_failed
Red Owl Coffee Company,"5720 University Blvd W, Jacksonville, FL 32216",https://www.redowlcoffee.com/locations/jacksonville/,jacksonville,scrape_failed
Steady Coffee,"4070 Herschel St Suite 2, Jacksonville, FL 32210",http://steadycoffeeco.com/,jacksonville,scrape_failed
Lucky Goat Coffee - Deerwood Park,"10618 Deerwood Park Blvd #1, Jacksonville, FL 32256",https://luckygoatcoffee.com/pages/deerwood-park,jacksonville,scrape_failed
Happy Brew,"3200 Hendricks Ave, Jacksonville, FL 32207",https://www.happybrew.org/,jacksonville,scrape_failed
Roasted RINO,"7949 Atlantic Blvd, Jacksonville, FL 32211",https://roastedrino.com/,jacksonville,scrape_failed
Sweetwater Organic Coffee Co. (Wholesale & Online Retail),"1331 S Main St, Gainesville, FL 32601",http://www.sweetwaterorganiccoffee.com/,jacksonville,scrape_failed
Tetherball Coffee,"12200 San Jose Blvd #18, Jacksonville, FL 32223",http://tetherballcoffee.com/,jacksonville,scrape_failed
Strongtree Organic Coffee Roasters,"125 NW 23rd Ave Suite 16, Gainesville, FL 32609",http://www.strongtreecoffee.com/,jacksonville,scrape_failed
360F Coffee Roasters,"10722 Wiles Rd, Coral Springs, FL 33076",https://360fcoffee.com/,jacksonville,scrape_failed
