Name,Address,Original Website,Website,source_city
Martin Coffee Co,"1633 Marshall St, Jacksonville, FL 32206",http://www.martincoffee.com/,https://martincoffee.com/shop/,Jacksonville
Setlan Coffee Co.,"333 N Laura St, Jacksonville, FL 32202",http://setlancoffee.com/,https://setlan-coffee.square.site,Jacksonville
Solune Coffee,"2650 Rosselle St #3B, Jacksonville, FL 32204",http://www.solunecoffee.com/,http://www.solunecoffee.com/collections/all,Jacksonville
Artessence Coffee Shop,"1505 N Main St, Jacksonville, FL 32206",http://www.artessencecoffee.com/,https://artessence-cafe.square.site/s/shop,Jacksonville
Bold Bean Coffee Roasters - Riverside,"869 Stockton St, Jacksonville, FL 32204",https://boldbeancoffee.com/,https://boldbeancoffee.com/collections/shop-coffee,Jacksonville
Condaxis Coffee & Tea,"1805 W Beaver St, Jacksonville, FL 32209",http://www.condaxis.com/,https://www.condaxis.com/shop,Jacksonville
Jacksonville Coffee Company,"8221 Southside Blvd Space 7, Jacksonville, FL 32256",https://www.jacksonvillecoffeecompany.com/,https://www.jacksonvillecoffeecompany.com/shop,Jacksonville
Longroad Coffee Company,"633 Myrtle Ave N, Jacksonville, FL 32204",http://www.longroad.coffee/,https://longroad.coffee/product-category/coffee/,Jacksonville
Brass Tacks Coffee Co.,"4352 Southside Blvd, Jacksonville, FL 32216",http://www.brasstackscoffee.com/,http://www.brasstackscoffee.com/shop-online,Jacksonville
Vantage Point Coffee,"1301 Monument Rd # 21, Jacksonville, FL 32225",https://www.vantagepointcoffee.com/,https://vantagepointcoffee.com/shop/,Jacksonville
Lucky Goat Coffee - Deerwood Park,"10618 Deerwood Park Blvd #1, Jacksonville, FL 32256",https://luckygoatcoffee.com/pages/deerwood-park,https://luckygoatcoffee.com/collections/coffee,Jacksonville
Haymaker Coffee Co,"25 N Market St, Jacksonville, FL 32202",http://www.haymakercoffeeco.com/,http://www.haymakercoffeeco.com/coffee,Jacksonville
Bitty & Beau's Coffee,"1965 San Marco Blvd, Jacksonville, FL 32207",https://www.bittyandbeauscoffee.com/location/jacksonville/?utm_source=google&utm_medium=organic&utm_campaign=businessprofile,https://www.bittyandbeauscoffee.com/product-category/coffee/,Jacksonville
Orlando Coffee Roasters,"1401 W Gore St # 3, Orlando, FL 32805",http://www.orlandocoffeeroasters.com/,http://www.orlandocoffeeroasters.com/collections/single-origin-coffee,Jacksonville
Strongtree Organic Coffee Roasters,"125 NW 23rd Ave Suite 16, Gainesville, FL 32609",http://www.strongtreecoffee.com/,http://www.strongtreecoffee.com/shop,Jacksonville
Lionrush | Specialty Coffee Roasters,"13806 SW 142nd Ave STE 23, Miami, FL 33186",https://lionrushcoffee.com/,https://lionrushcoffee.com/collections/all,Jacksonville
Palm Coffee Roasters,"2238 Hayes St, Hollywood, FL 33020",https://www.palmcoffeeroasters.com/,https://www.palmcoffeeroasters.com/collections/coffee,Jacksonville
Escondido Coffee Company - Wholesale Roaster,"5748 NE 4th Ave, Miami, FL 33137",https://www.escondidospecialtycoffee.com/,https://www.escondidospecialtycoffee.com/collections/all-coffee,Jacksonville
Look Alive Coffee,"1920 1/2, 1st Ave S, St. Petersburg, FL 33712",https://lookalivecoffee.com/,https://lookalivecoffee.com/collections/all-coffee,Jacksonville
Sweetwater Organic Coffee Co. (Wholesale & Online Retail),"1331 S Main St, Gainesville, FL 32601",http://www.sweetwaterorganiccoffee.com/,http://www.sweetwaterorganiccoffee.com/coffee/,Jacksonville
flamingo coffee,"1176 Edgewood Ave S STE 1, Jacksonville, FL 32205",http://www.flamingocoffeeroasters.com/,http://www.flamingocoffeeroasters.com/store/coffee,Jacksonville
Java D'oro Gourmet Coffee Roasters,"905 SE 14th Pl, Cape Coral, FL 33990",http://www.javadoro.com/,http://www.javadoro.com/collections/coffee/products/espresso-supremo,Jacksonville
SOCIAL HOUSE COFFEE,"4204 Herschel St, Jacksonville, FL 32210",http://socialhouse.co/,https://shop.socialhouse.co/collections/all,Jacksonville
Steel Oak Coffee,"187 S Yonge St, Ormond Beach, FL 32174",http://www.steeloakcoffee.com/,http://www.steeloakcoffee.com/collections/coffee,Jacksonville
Alla Prima Coffee Roaster,"532 W Garden St, Pensacola, FL 32502",http://allaprimacoffee.com/,http://allaprimacoffee.com/shop,Jacksonville
The Roasted Record Coffee and Vinyl,"600 S Colorado Ave, Stuart, FL 34994",https://www.roastedrecord.com/,https://www.roastedrecord.com/collections/coffee,Jacksonville
Screaming Peacock Coffee,"5 Sebastian Ave, St. Augustine, FL 32084",https://screamingpeacockcoffee.com/,https://screamingpeacockcoffee.com/product-category/coffee/,Jacksonville
3rd Wave Coffee Roasters,"215 W King St #3, St. Augustine, FL 32084",https://3rdwavecoffee.com/,https://3rdwavecoffee.com/collections/all,Jacksonville
Gregorys Coffee,"10281 Mid Town Pkwy, Jacksonville, FL 32246",https://gregoryscoffee.com/,https://gregoryscoffee.com/collections/coffee,Jacksonville
WFM Coffee Bar,"10601 San Jose Blvd, Jacksonville, FL 32257",http://www.wholefoodsmarket.com/stores/jacksonville?utm_source=google&utm_medium=organic&utm_campaign=listings,http://www.wholefoodsmarket.com/products/beverages?featured=on-sale,Jacksonville
Foxtail Coffee & Kelly's Homemade Ice Cream - Jacksonville Beach,"300 Beach Blvd, Jacksonville Beach, FL 32250",https://www.foxtailcoffee.com/locations/foxtail-coffee-jacksonville-beach%2C-fl,https://shop.foxtailcoffee.com/collections/coffee,Jacksonville
Pura Bean Coffee Company,"14286 Beach Blvd #25, Jacksonville, FL 32250",http://www.purabeancoffeeco.com/,http://www.purabeancoffeeco.com/collections/coffee,Jacksonville
Refuel Coffee Co.,"35 Summerlin Ln Suite 108, St. Augustine, FL 32095",https://refuelcoffee.co/,https://order.toasttab.com/online/refuelcoffeeco,Jacksonville
First Coast Espresso,"3653 Regent Blvd STE 203, Jacksonville, FL 32224",https://firstcoastespresso.com/,https://firstcoastespresso.com/shop,Jacksonville
The Kookaburra Downtown,"18 Cathedral Pl, St. Augustine, FL 32084",http://www.thekookaburracoffee.com/,http://www.thekookaburracoffee.com/shop/bonzablend,Jacksonville
Café Nairobi,"2120 Dennis St, Jacksonville, FL 32204",https://cafenairobi.com/,https://cafenairobi.com/products/cafe-nairobi-cold-brew-coffee-beans,Jacksonville
FirePower Coffee Roasters LLC,"322 FL-100, Keystone Heights, FL 32656",http://www.firepower.coffee/,https://www.toasttab.com/firepowercoffeeroasters/v3,Jacksonville
Grumpy Goat Coffee Roastery,"Causeway Commerce Park, 28280 Old 41 Rd Suite M-11, Bonita Springs, FL 34135",https://www.grumpygoat.com/,https://grumpygoat.com/coffee/,Jacksonville
