Name,Address,Original Website,Website,source_city
Social Grounds Coffee Roasters,"1712 N Main St, Jacksonville, FL 32206",https://social-grounds-coffee.myshopify.com/,https://social-grounds-coffee.myshopify.com/collections/coffee,jacksonville
Solune Coffee,"2650 Rosselle St #3B, Jacksonville, FL 32204",http://www.solunecoffee.com/,http://www.solunecoffee.com/collections/all,jacksonville
Artessence Coffee Shop,"1505 N Main St, Jacksonville, FL 32206",http://www.artessencecoffee.com/,https://artessence-cafe.square.site/s/shop,jacksonville
Haven Coffee Roasters,"140 3rd St SW, Winter Haven, FL 33880",http://havencoffeeroaster.com/,http://havencoffeeroaster.com/collections/coffee,fernandina beach
Spring Park Coffee,"328 Ferris St, Green Cove Springs, FL 32043",http://www.springparkcoffee.com/,http://www.brasstackscoffee.com/shop-online,orange park
Scooter's Coffee,"151 Park Ave, Orange Park, FL 32073",https://scooterscoffee.com/,https://www.scooterscoffee.com/shop/at-home-coffee,orange park
Panther Coffee - Coconut Grove,"3407 Main Hwy, Miami, FL 33133",https://www.panthercoffee.com/,https://www.panthercoffee.com/collections,orange park
Trilogy Coffee Roasting Co,"136 W Georgia Ave, DeLand, FL 32720",https://trilogycoffee.com/,https://trilogycoffee.com/product-category/coffee/,orange park
Rosso Coffee Bar,"840 E State Rd 434, Longwood, FL 32750",http://rossocb.com/,http://rossocb.com/product-category/coffee-beans/,orange park
Otus Coffee - Roasting Facility,"1401 Beulah Rd Suite 118, Winter Garden, FL 34787",http://otus.coffee/,http://otus.coffee/collections/roasted-coffee,orange park
D.O.D. Coffee Roastery,"12543 Ulmerton Rd, Largo, FL 33774",http://www.dodcoffeeroastery.com/,https://dodcoffeeroastery.com/buy-coffee/,middleburg
Zeal Coffee Roasters,"1703 W State St, Tampa, FL 33603",http://zealcoffeeroasters.com/,https://thelabcoffee.com/beans,middleburg
Farmer Brothers,"3230 US-17 N, Green Cove Springs, FL 32043",https://www.farmerbros.com/blog/branches/orlando-fl/,https://www.boydscoffeestore.com/,green cove springs
Maas Coffee Roasters,"150 Miracle Strip Pkwy SE, Fort Walton Beach, FL 32548",https://www.maascoffeeroasters.com/,https://www.maascoffeeroasters.com/beans,yulee
