Name,Address,Website,source_city,sub_city,state,reason
Little Goat Coffee Roasting Co.,"16 Haines St, Newark, DE 19711",http://www.littlegoatcoffeeroasting.com/,Lancaster,lancaster,PA,wrong_region
Lancaster Coffee Co. & Cafe,"24 Central Ave, Lancaster, NY 14086",https://lancastercoffeeco.getrestaurantops.com/,Lancaster,lancaster,PA,wrong_region
Little Goat Coffee Roasting Co.,"16 Haines St, Newark, DE 19711",http://www.littlegoatcoffeeroasting.com/,Lancaster,lancaster,PA,wrong_region
Lancaster Coffee Co. & Cafe,"24 Central Ave, Lancaster, NY 14086",https://lancastercoffeeco.getrestaurantops.com/,Lancaster,lancaster,PA,wrong_region
Hopeful Brews,"2467 Old Philadelphia Pike, Lancaster, PA 17602",https://hopefulbrews.com/,Lancaster,lancaster,PA,no_store_page
Mean Cup,"398 Harrisburg Ave, Lancaster, PA 17603",http://www.meancup.com/,Lancaster,lancaster,PA,no_shop
Daily Brew Coffee Trailer,"2584 Horseshoe Rd, Lancaster, PA 17601",https://dailybrewcoffeetrailer.square.site/,Lancaster,lancaster,PA,no_store_page
Last Call Coffee,"53 McGovern Ave, Lancaster, PA 17602",http://www.lastcall.coffee.com/,Lancaster,lancaster,PA,scrape_failed
Lancaster Beignet Company,"230 N Prince St, Lancaster, PA 17603",http://www.lancasterbeignetco.com/,Lancaster,lancaster,PA,no_store_page
Endo Cafe Lancaster,"237 N Prince St, Lancaster, PA 17603",https://endotuneup.com/,Lancaster,lancaster,PA,no_coffee_keywords
Restless Coffee Co,"2495 Lincoln Hwy E, Lancaster, PA 17602",https://restlesscoffeeco.com/,Lancaster,lancaster,PA,no_store_page
Joe on the Go Coffee Co at Lampeter Cafe,"1702 Lampeter Rd, Lancaster, PA 17602",https://www.joeonthegocoffeeco.com/,Lancaster,lancaster,PA,no_store_page
Wittness Coffeehouse,"1 E Main St Suite 1, Strasburg, PA 17579",http://www.wittnesscoffeehouse.com/,Lancaster,lancaster,PA,no_shop
Edd's & Flo's Artisan Bakery Cafe,"47 N Queen St, Lancaster, PA 17603",http://www.eddsandflos.com/,Lancaster,lancaster,PA,no_store_page
Noel's Cafe,"1669 Old Philadelphia Pike, Lancaster, PA 17602",https://www.noelscafe.com/,Lancaster,lancaster,PA,no_shop
Chevere Cafe,"910 S Duke St Suite 105, Lancaster, PA 17602",https://www.cheverecafe.com/,Lancaster,lancaster,PA,no_shop
Linden Coffee,"2916 Old Philadelphia Pike, Ronks, PA 17572",https://www.drinklindencoffee.com/,Lancaster,lancaster,PA,no_store_page
Butter and Bean Cafe-Tanger Outlets,"307 Stanley K Tanger Dr Suite 307, Lancaster, PA 17602",http://www.butterandbeanpa.com/,Lancaster,lancaster,PA,no_shop
Pa Dutch Coffee Co.,"N Hollander Rd, Gordonville, PA 17529",https://www.padutchcoffee.com/,Lancaster,lancaster,PA,no_store_page
Lancaster Pie & Coffee,"136 N Prince St, Lancaster, PA 17603",https://www.lancasterpieandcoffee.com/,Lancaster,lancaster,PA,no_store_page
Wired Cup Cafe,"216 N Duke St, Lancaster, PA 17602",https://wiredcupcafe.com/,Lancaster,lancaster,PA,no_store_page
Copper Cup Lancaster,"922 Columbia Ave, Lancaster, PA 17603",http://coppercup.co/,Lancaster,lancaster,PA,no_store_page
Front Porch Baking Co.,"170 E King St, Lancaster, PA 17602",http://www.frontporchbakingco.com/,Lancaster,lancaster,PA,no_coffee_keywords
Chestnut Hill Cafe,"532 W Chestnut St, Lancaster, PA 17603",http://www.chestnuthilllancaster.com/,Lancaster,lancaster,PA,no_shop
Cafe One Eight,"18 W Orange St, Lancaster, PA 17603",http://www.cafe1eight.com/,Lancaster,lancaster,PA,no_store_page
Parlor Doughnuts,"2350 Lincoln Hwy E, Lancaster, PA 17602",https://www.parlordoughnuts.com/,Lancaster,lancaster,PA,no_store_page
Javateas Gourmet Coffee Cafe,"1 Dutchland Ave, Ephrata, PA 17522",http://www.javateas.com/,Lancaster,lancaster,PA,no_store_page
Four Monkeys Coffee Shop and Roastery,"100 Constitution Blvd, Kutztown, PA 19530",http://www.fourmonkeyscoffee.com/,Lancaster,lancaster,PA,no_store_page
Speckled Hen,"141 E Main St, Strasburg, PA 17579",http://www.speckledhencoffee.com/,Lancaster,lancaster,PA,no_store_page
Ric's Bread,"24 N Queen St, Lancaster, PA 17603",https://ricsbread.com/,Lancaster,lancaster,PA,no_store_page
La Dolce Vita Courthouse Bakery,"9 N Duke St, Lancaster, PA 17602",http://www.ladolcevitalancaster.com/,Lancaster,lancaster,PA,no_shop
Cafe Arabella,"40 E Main St #1947, Lititz, PA 17543",http://www.cafearabella.com/,Lancaster,lancaster,PA,no_store_page
DELICIAS GOURMET,"243 Green St, Lancaster, PA 17602",https://deliciasgourmetpa.com/,Lancaster,lancaster,PA,no_coffee_keywords
Aura Little Cafe - Espresso & Boba Tea,"44 N Queen St, Lancaster, PA 17603",https://www.auralittlecafe.com/,Lancaster,lancaster,PA,no_store_page
Mayhem's Bookstore & Board Game Café,"102 W King St, Lancaster, PA 17603",https://mayhemscafe.com/,Lancaster,lancaster,PA,no_store_page
Latte Luv,"214 Hartman Bridge Rd, Ronks, PA 17572",https://www.strasburgmarketplace.com/latte-luv.php,Lancaster,lancaster,PA,no_store_page
The Coffee Host,"10 E Penn Grant Rd, Willow Street, PA 17584",https://www.facebook.com/profile.php?id=61566560416275,Lancaster,lancaster,PA,no_shop
Main Street Café,"2384 New Holland Pike, Lancaster, PA 17601",http://worshipcenter.org/cafe,Lancaster,lancaster,PA,no_shop
Starbucks Coffee Company,"1581 Fruitville Pike, Lancaster, PA 17601",https://www.starbucks.com/store-locator/store/1021546,Lancaster,lancaster,PA,no_store_page
Hitch Coffee Truck -Drive through only,"346 Hershey Rd, Elizabethtown, PA 17022",http://www.hitch-coffee.com/,Lancaster,lancaster,PA,no_store_page
Indulge Lititz (within Artisan Mill),"813 Rothsville Rd, Lititz, PA 17543",http://www.indulgelititz.com/,Lancaster,lancaster,PA,no_store_page
The Roaming Roast,"116 E King St, York, PA 17401",https://roamingroastcafe.com/,Lancaster,lancaster,PA,scrape_failed
Folklore Coffee & Co.,"1 N Market St, Elizabethtown, PA 17022",http://www.folklorecoffee.com/,Lancaster,lancaster,PA,no_shop
Grounding,"252 N Franklin St Ste C, Red Lion, PA 17356",https://www.groundingcoffee.com/,Lancaster,lancaster,PA,no_store_page
Lancaster Central Market,"23 N Market St, Lancaster, PA 17603",http://www.centralmarketlancaster.com/,Lancaster,lancaster,PA,no_coffee_keywords
Morgantown Coffee House,"4997 N Twin Valley Rd, Elverson, PA 19520",http://mcoffeehouse.com/,Lancaster,lancaster,PA,no_store_page
Lancaster Sweet Shoppe,"141 N Duke St, Lancaster, PA 17602",http://lancastersweetshoppe.com/,Lancaster,lancaster,PA,no_coffee_keywords
York Coffee Roastery,"132 Blackburn St, York, SC 29745",http://www.yorkcoffeeroastery.com/,Lancaster,york,PA,wrong_region
Premium Coffee Company,"2510 Hamburg Turnpike, Buffalo, NY 14218",http://premiumcoffeeco.com/,Lancaster,york,PA,wrong_region
Royal New York,"661 Hadley Rd, South Plainfield, NJ 07080",http://www.royalny.com/,Lancaster,york,PA,wrong_region
OneDo Coffee Roasters,"913 S Lakewood Ave, Baltimore, MD 21224",http://www.onedocoffee.com/,Lancaster,york,PA,wrong_region
York Coffee Roastery,"132 Blackburn St, York, SC 29745",http://www.yorkcoffeeroastery.com/,Lancaster,york,PA,wrong_region
Belmont Bean Co,"18 S Belmont St, York, PA 17403",http://www.belmontbean.com/,Lancaster,york,PA,no_store_page
Britton Coffee Co - York,"1125 Edgar St, York, PA 17403",https://www.thebrittoncoffee.com/,Lancaster,york,PA,no_store_page
Gather 256,"256 W Philadelphia St, York, PA 17401",http://gather256.com/,Lancaster,york,PA,no_store_page
The Copper Crust Co.,"966 S George St, York, PA 17403",https://thecoppercrustcompany.com/,Lancaster,york,PA,no_coffee_keywords
Colonial Coffee Shop,"938 S George St, York, PA 17403",https://colonialcoffeeshop.com/,Lancaster,york,PA,no_store_page
Common Grounds,"109 E Main St, Dallastown, PA 17313",http://www.gotobethlehem.org/cafe,Lancaster,york,PA,no_coffee_keywords
Janina's Fine Desserts,"176 Leader Heights Rd, York, PA 17402",http://www.janinasfinedesserts.com/,Lancaster,york,PA,no_shop
7 Brew Coffee,"3140 Cape Horn Rd, Red Lion, PA 17356",https://7brew.com/location/pennsylvania-red-lion-000297,Lancaster,york,PA,no_store_page
Perrydell Farm and Dairy,"90 Indian Rock Dam Rd, York, PA 17403",http://www.perrydellfarm.com/,Lancaster,york,PA,no_coffee_keywords
Leg Up Farmers Market,"3100 N George St, York, PA 17406",http://legupfarmersmarket.com/,Lancaster,york,PA,no_coffee_keywords
Safe & Sweet,"2131 S Queen St, York, PA 17403",http://www.safensweetyork.com/,Lancaster,york,PA,no_coffee_keywords
Splitshift,"33-35 W Market St, York, PA 17401",https://splitshiftyork.com/,Lancaster,york,PA,no_coffee_keywords
Whitecomb's Farm Market,"2410 Roosevelt Ave, York, PA 17408",https://www.whitecombsfarmmarket.com/,Lancaster,york,PA,no_store_page
Stauffer's Cookie Outlet,"375 S Belmont St, York, PA 17403",https://meijiamerica.com/,Lancaster,york,PA,no_coffee_keywords
Festive Board,"2031 Springwood Rd, York, PA 17403",http://www.festiveboardonline.com/?utm_source=google&utm_medium=wix_google_business_profile&utm_campaign=2891765004905151246,Lancaster,york,PA,no_coffee_keywords
Maple Donuts,"204 St Charles Way # A, York, PA 17402",https://www.mapledonuts.com/,Lancaster,york,PA,no_coffee_keywords
The Stage Deli on George,"26 N George St, York, PA 17401",https://deliborodin.wixsite.com/stage-deli-on-george,Lancaster,york,PA,no_shop
Exotic Snaxx,"1216 Greensprings Dr, York, PA 17402",http://www.exoticsnaxx.com/,Lancaster,york,PA,no_coffee_keywords
Kung Fu Tea,"2035 Springwood Rd, York, PA 17403",https://www.kungfutea.com/,Lancaster,york,PA,no_store_page
Tucker&Co. Bakery,"148 S Baltimore St, Dillsburg, PA 17019",http://www.tuckercobakery.com/,Lancaster,york,PA,no_store_page
Cracker Barrel Old Country Store,"236 Pauline Dr, York, PA 17402",https://www.crackerbarrel.com/Locations/States/pa/york/199/?utm_source=google&utm_medium=maps&utm_campaign=crackerbarrelurl,Lancaster,york,PA,no_coffee_keywords
New Eastern Market,"201 Memory Ln, York, PA 17402",https://neweasternmarket.com/,Lancaster,york,PA,no_coffee_keywords
Sips Cafe - Downtown York,"9 W Philadelphia St, York, PA 17401",http://www.sips-cafe.com/,Lancaster,york,PA,no_store_page
Take Five Expresso Bar,"34 W Philadelphia St, York, PA 17401",https://www.centralmarketyork.com/vendorblog/2015/12/29/take-five-expresso-bar,Lancaster,york,PA,no_store_page
Common Ground / 3rd Space,"2 S Front St, York Haven, PA 17370",https://commongroundcn.org/3rd-space-1,Lancaster,york,PA,no_shop
3rd Wave Coffee Roasters,"215 W King St #3, St. Augustine, FL 32084",https://3rdwavecoffee.com/,Lancaster,harrisburg,PA,wrong_region
Black Acres Roastery - Lexington Market,"112 N Eutaw St Lexington, Market - Stall, #42, Baltimore, MD 21201",https://www.blackacrescoffee.com/,Lancaster,harrisburg,PA,wrong_region
Eagle Coffee Co Inc,"1019 Hillen St, Baltimore, MD 21202",https://eaglecoffee.com/,Lancaster,harrisburg,PA,wrong_region
Dublin Roasters Coffee,"1780 N Market St, Frederick, MD 21701",https://dublinroasterscoffee.com/,Lancaster,harrisburg,PA,wrong_region
"Gracefully Coffee Roasters, Inc.","2601 Rolling Rd. #104, Windsor Mill, MD 21244",http://www.gracefullycoffee.com/,Lancaster,harrisburg,PA,wrong_region
Vent Coffee Roasters,"Union Collective, 1700 W 41st St #480, Baltimore, MD 21211",http://ventcoffee.com/,Lancaster,harrisburg,PA,wrong_region
Consciousness Coffee,"1 Lemoyne Square Suite 108, Lemoyne, PA 17043",https://consciousness.coffee/,Lancaster,harrisburg,PA,no_shop
Yellow Bird Café,"1320 N 3rd St, Harrisburg, PA 17102",http://yellowbird.arqbox.com/,Lancaster,harrisburg,PA,no_shop
Cornerstone Coffeehouse,"2133 Market St, Camp Hill, PA 17011",http://www.thecornerstonecoffeehouse.com/,Lancaster,harrisburg,PA,no_store_page
Cafe Fresco Linglestown,"2017 Eg Dr, Harrisburg, PA 17110",https://www.cafefrescolinglestown.com/,Lancaster,harrisburg,PA,no_store_page
Brew Crumberland's Best,"1903 Bridge St, New Cumberland, PA 17070",http://www.bcbcoffee.com/,Lancaster,harrisburg,PA,no_store_page
Bagel Lovers Café,"2237 Paxton Church Rd, Harrisburg, PA 17110",http://www.bagelloverscafe.com/,Lancaster,harrisburg,PA,no_store_page
Broad Street Market,"Broad Street Market, 1233 N 3rd St, Harrisburg, PA 17102",https://broadstreetmarket.org/,Lancaster,harrisburg,PA,no_shop
Cafe Fresco Center City,"215 N 2nd St, Harrisburg, PA 17101",http://www.cafefresco.com/,Lancaster,harrisburg,PA,no_store_page
Speakeasy Coffee Company,"875 Main St, Pennsburg, PA 18073",http://www.speakeasycoffeecompany.com/,Lancaster,harrisburg,PA,no_store_page
Idea Coffee,"Market House Ln, Mechanicsburg, PA 17055",http://idea-coffeehouse.com/,Lancaster,harrisburg,PA,no_store_page
The Millworks,"340 Verbeke St, Harrisburg, PA 17102",http://www.millworksharrisburg.com/,Lancaster,harrisburg,PA,no_store_page
Profile Coffee Company,"185 S Market St, Elysburg, PA 17824",https://www.profilecoffeeandroasters.com/?srsltid=AfmBOooRDGy08YhBWoB8JcWkGwmXFfjA2kSJj8eTQwK-vuMRFC4vuMc4,Lancaster,harrisburg,PA,no_store_page
The Sturges Speakeasy,"400 Forster St, Harrisburg, PA 17102",http://sturgesspeakeasy.com/,Lancaster,harrisburg,PA,no_coffee_keywords
Appalachian Brewing Company,"50 N Cameron St, Harrisburg, PA 17101",http://www.abcbrew.com/,Lancaster,harrisburg,PA,no_store_page
Williams-Sonoma,"2571 Brindle Dr, Harrisburg, PA 17110",https://www.williams-sonoma.com/stores/us-pa-harrisburg-shops-at-susquehanna-mkpl/,Lancaster,harrisburg,PA,no_coffee_keywords
Rice & Beans Bar and Restaurant,"319 S 17th St, Harrisburg, PA 17104",https://riceandbeansbarrestaurant.com/,Lancaster,harrisburg,PA,no_store_page
Downtown Deli And Catering,"225 Market St #1, Harrisburg, PA 17101",http://downtowndeli.catering/,Lancaster,harrisburg,PA,no_store_page
Bella Sicilia,"79 Erford Rd, Camp Hill, PA 17011",https://bellasiciliapa.com/,Lancaster,harrisburg,PA,no_coffee_keywords
Front Street Diner,"4003 N Front St, Harrisburg, PA 17110",http://frontstreetdiner.com/,Lancaster,harrisburg,PA,no_coffee_keywords
Market,"3700 Market St, Camp Hill, PA 17011",http://www.3700market.com/,Lancaster,harrisburg,PA,no_store_page
Lancaster Brewing Company - Harrisburg,"469 Eisenhower Blvd, Harrisburg, PA 17111",https://www.lancasterbrewing.com/,Lancaster,harrisburg,PA,no_store_page
Ad Lib Craft Kitchen & Bar,"1 N 2nd St, Harrisburg, PA 17101",http://adlibrestaurants.com/,Lancaster,harrisburg,PA,no_shop
Harvest Seasonal Grill - Harrisburg,"2625 Brindle Dr, Harrisburg, PA 17110",https://harvestseasonal.com/,Lancaster,harrisburg,PA,no_coffee_keywords
Capital City Music Hall,"234 N 2nd St, Harrisburg, PA 17101",https://www.capcitymusichall.com/,Lancaster,harrisburg,PA,no_coffee_keywords
Stock's on 2nd,"211 N 2nd St, Harrisburg, PA 17101",http://www.stocksonsecond.com/menu/,Lancaster,harrisburg,PA,no_shop
Bass Pro Shops,"3501 Paxton St, Harrisburg, PA 17111",https://stores.basspro.com/us/pa/harrisburg/3501-paxton-st.html?y_source=1_MzAxMTUwMy03MTUtbG9jYXRpb24ud2Vic2l0ZQ%3D%3D,Lancaster,harrisburg,PA,no_coffee_keywords
Tito’s Diner,"9 N Progress Ave, Harrisburg, PA 17109",https://www.titosdinermenu.com/,Lancaster,harrisburg,PA,no_store_page
Peachtree Restaurant and Lounge,"251 N Progress Ave, Harrisburg, PA 17109",http://www.peachtree251.biz/,Lancaster,harrisburg,PA,no_coffee_keywords
Splits and Giggles Cafe,"500 W Lemon St, Lancaster, PA 17603",http://www.splitsandgiggles.com/,Lancaster,harrisburg,PA,no_coffee_keywords
Freshido,"300 Market St #157-159, Harrisburg, PA 17101",https://www.freshido.com/,Lancaster,harrisburg,PA,no_coffee_keywords
Price Rite Marketplace of Harrisburg,"3812 Union Deposit Rd, Harrisburg, PA 17109",https://www.priceritemarketplace.com/,Lancaster,harrisburg,PA,no_coffee_keywords
Mellow Minded Café,"5943 Linglestown Rd, Harrisburg, PA 17112",http://mellowmindedcafe.com/,Lancaster,harrisburg,PA,no_shop
EVO 206 Coffee Co.,"206 S Market St Ste 105, Elizabethtown, PA 17022",https://www.hubonmarket.com/evo-206,Lancaster,harrisburg,PA,no_shop
The Cracked Pot Coffee Shop,"130 Gettysburg Pike A, Mechanicsburg, PA 17055",http://thecrackedpotcoffeeshop.com/?utm_source=google&utm_medium=wix_google_business_profile&utm_campaign=16060532182778554958,Lancaster,harrisburg,PA,no_store_page
"Reading Coffee Company HQ, Birdsboro","316 W Main St, Birdsboro, PA 19508",https://www.readingcoffee.com/,Lancaster,harrisburg,PA,no_store_page
Culture Coffee,"216 St John St, Lewisburg, PA 17837",https://cfw009.wixsite.com/culturecoffee,Lancaster,harrisburg,PA,no_shop
Trackside Coffee,"75 S Vine St Suite 3, Hazleton, PA 18201",http://www.trackside-coffee-bar.square.site/,Lancaster,harrisburg,PA,scrape_failed
Fog & Flame Craft Coffee,"34 E Main St, Bloomsburg, PA 17815",http://cafe-martha.com/,Lancaster,harrisburg,PA,no_shop
Grateful Roast Cafe and Coffee Roaster,"75 N Market St, Nanticoke, PA 18634",https://www.gratefulroast.com/,Lancaster,harrisburg,PA,no_store_page
Groovy Bean Café,"153 E High St, Elizabethtown, PA 17022",http://trellis-marketplace.com/,Lancaster,harrisburg,PA,no_store_page
Quinn’s Coffee Bar LLC,"344 N Front St, Wormleysburg, PA 17043",http://quinnscoffeebar.com/,Lancaster,harrisburg,PA,no_shop
Biscotti's,"777 W Harrisburg Pike, Middletown, PA 17057",https://liveon.psu.edu/harrisburg/dining/biscottis,Lancaster,harrisburg,PA,no_shop
The Pulse Cafe,"35 N 6th St, Reading, PA 19601",http://thepulsecafe.net/,Lancaster,reading,PA,no_store_page
Rooted & Grounded Cafe,"1400 Lancaster Ave, Reading, PA 19607",https://www.rootedgroundedcafe.com/,Lancaster,reading,PA,no_shop
