Name,Address,Original Website,Website,source_city,sub_city,state
Lancaster County Coffee Roasters Ross Street Roastery & Coffee Bar,"747 E Ross St, Lancaster, PA 17602",http://www.lancastercountycoffee.com/,http://www.lancastercountycoffee.com/collections/all-coffee,Lancaster,lancaster,PA
Passenger Roastery & Coffee Bar,"131 N Plum St, Lancaster, PA 17602",http://passengercoffee.com/,http://passengercoffee.com/collections/coffee,Lancaster,lancaster,PA
Nostalgica Coffee,"308 W Grant St, Lancaster, PA 17603",https://nostalgicacoffee.com/,https://nostalgicacoffee.com/collections/all,Lancaster,lancaster,PA
Denim Coffee,"221 W King St, Lancaster, PA 17603",https://www.denimcoffeecompany.com/pages/denim-coffee-lancaster-pa,https://www.denimcoffeecompany.com/collections/specialty-coffee-single-origin-blends,Lancaster,lancaster,PA
Square One Coffee Roasters,"145 N Duke St, Lancaster, PA 17602",http://www.squareonecoffee.com/,http://www.squareonecoffee.com/store,Lancaster,lancaster,PA
Gerhart Coffee Co,"224 Wohlsen Way, Lancaster, PA 17603",http://www.gerhartcoffee.com/,http://www.gerhartcoffee.com/collections/all-auto,Lancaster,lancaster,PA
Wanderlust Coffees,"117 S West End Ave, Lancaster, PA 17603",http://wanderlustcoffees.com/,https://wanderlustcoffees.com/our-coffees/,Lancaster,lancaster,PA
Whiff Roasters,"219 E Main St, Lititz, PA 17543",http://whiffroasters.com/,http://whiffroasters.com/shop/coffee/51,Lancaster,lancaster,PA
SoulShine Roasting Company,"2994 Carlisle Rd, Dover, PA 17315",https://soulshineroasting.com/,https://soulshineroasting.com/products,Lancaster,lancaster,PA
Blind Bean Roasters,"15 W Stiegel St, Manheim, PA 17545",https://www.blindbeanroasters.com/,https://blindbeanroasters.com/shop-c/,Lancaster,lancaster,PA
SonRise Coffee Company,"145 Field Crest Ln, Gordonville, PA 17529",http://sonrisecoffeecompany.com/,http://sonrisecoffeecompany.com/collections/organic-coffee,Lancaster,lancaster,PA
Coffee Co - MillCreek,"2350 Lincoln Hwy E, Lancaster, PA 17602",https://www.coffeecocafe.com/,https://www.coffeecocafe.com/store,Lancaster,lancaster,PA
