Name,Address,Original Website,Website,source_city
Simply Colombian Coffee,"90 Highview Ave E, London, ON N6C 5Y9",https://www.simplycolombiancoffee.com/,https://simplycolombiancoffee.com/coffee/,London
The Wild Goat Coffee Company,"22360 Pioneer Line, Rodney, ON N0L 2C0",https://www.thewildgoatcoffeecompany.com/,https://www.thewildgoatcoffeecompany.com/collections/coffee,London
Hutsul Coffee Space,"247 Adelaide St S, London, ON N5Z 3K7",https://hutsulcoffee.ca/,https://hutsulcoffee.ca/collections/coffee,London
Asmara Coffee House,"700 York St, London, ON N5W 2S8",https://asmaracoffeehouse.com/,https://asmaracoffeehouse.com/product/ethiopian-yirgacheffe-coffee-beans/1?cs=true&cst=custom,London
Patricks Beans,"79 Bessemer Rd Unit 17, London, ON N6E 1P9",http://patricksbeans.com/,http://patricksbeans.com/collections/coffee,London
Snapping Turtle Coffee Roasters,"145 Queen St E, St. Marys, ON N4X 1A9",http://www.snappingturtlecoffee.com/,http://snappingturtlecoffee.square.site,London
Lost Aviator Coffee Company,"404 York Rd, Guelph, ON N1E 3H4",http://www.lostaviatorcoffee.com/,http://www.lostaviatorcoffee.com/collections/coffee,London
To Bean or Not to Bean - Stratford's Coffee Roasting Company,"285 Lorne Ave E #8, Stratford, ON N5A 7R5",https://stratfordcoffee.com/,https://to-bean-or-not-to-bean.myshopify.com/#markets,London
Commonwealth Coffee,"478 Richmond St, London, ON N6A 3E6",http://www.commonwealthcoffee.ca/,https://478.commonwealthcoffee.ca/product/americano,London
O-Joe Coffee,"9 Front St W, Strathroy, ON N7G 1X5",http://ojoecoffee.com/,http://ojoecoffee.com/collections/natural-organic-coffee,London
Caffeine Plus,"395 Wellington Rd, London, ON N6C 5Z6",https://www.caffeinepluscanada.ca/?utm_source=google&utm_medium=wix_google_business_profile&utm_campaign=2993219765162035046,https://www.caffeinepluscanada.ca/coffee-pods-bags-k-cups,London
Altitude Coffee London,"Unit 2, 190 Hornchurch Rd, Hornchurch RM11 1QL, United Kingdom",https://altitudecoffeelondon.com/,https://altitudecoffeelondon.com/collections/coffee,London
Artisan Bakery,"864 Dundas St, London, ON N5W 2Z8",http://artisanbakerylondon.com/,https://laschicasdelcafe.com/,London
Cavan Coffee,"1467 Gordon St S, Guelph, ON N1G 0B6",https://www.cavan.coffee/,https://www.cavan.coffee/coffee/one,London
Balzac's Guelph,"5 Gordon St #100, Guelph, ON N1H 4G8",https://shop.balzacs.com/pages/guelph,https://shop.balzacs.com/collections/all-coffee,London
