Name,Address,Website,source_city,reason
3rd Wave Coffee Roasters,"215 W King St #3, St. Augustine, FL 32084",https://3rdwavecoffee.com/,louisville,wrong_region
Artisan Coffee,"662 Canton Rd, Akron, OH 44312",http://www.artisancoffee.us/,louisville,wrong_region
Hinterhof Coffee Rösteri,"1008 E Oak St B, Louisville, KY 40204",http://www.hinterhofcoffee.com/,louisville,no_shop
Brew & Sip Express,"1405 W Broadway Suite 105, Louisville, KY 40202",https://www.brewandsipcoffeebar.com/,louisville,no_store_page
Phalcha Coffee,"1001 Mary St, Louisville, KY 40204",https://www.instagram.com/phalcha_coffee/?utm_term=loutoday&utm_campaign=daily-newsletter&utm_medium=newsletter&utm_source=loutoday&utm_content=loutoday,louisville,no_shop
Bean Roastery and Cafe,"1138 Goss Ave, Louisville, KY 40217",http://beangtown.com/,louisville,no_store_page
Barista Parlor 500W,"500 W Jefferson St, Louisville, KY 40202",http://www.baristaparlor.com/,louisville,no_coffee_keywords
Blak Koffee,"1219 W Jefferson St, Louisville, KY 40203",https://www.blakkoffee.com/,louisville,no_shop
Billion Cup Coffee Louisville,"1812 Brownsboro Rd, Louisville, KY 40206",https://www.billioncup.com/,louisville,no_coffee_keywords
Abol Coffee & Bistro (a.k.a. Abol Cafe),"102 1/2 Cannons Ln, Louisville, KY 40206",https://www.abollouisville.com/,louisville,no_coffee_keywords
Bamboo Coffee & Donuts,"2400 Lime Kiln Ln a1, Louisville, KY 40222",https://www.bamboosweets.com/,louisville,no_store_page
The Local Press Coffee,"435 N Bardstown Rd Suite 4, Mt Washington, KY 40047",https://www.facebook.com/TheLocalPressCoffee?mibextid=LQQJ4d,louisville,no_shop
Ntaba Coffee Haus on Brownsboro,"2407 Brownsboro Rd, Louisville, KY 40206",http://www.ntabacoffee.haus/,louisville,no_shop
Prima Coffee Equipment,"4603 Poplar Level Rd #2, Louisville, KY 40213",https://prima-coffee.com/,louisville,no_store_page
Cedar Grove Coffee House,"142 Buffalo Run Rd, Shepherdsville, KY 40165",http://www.cedargrovecoffeehouse.com/,louisville,no_store_page
The Hotel Marty,"1737 Frankfort Ave, Louisville, KY 40206",http://www.thehotelmarty.com/,louisville,no_shop
Arnold's Coffee,"1822 Dressage Cir, Louisville, KY 40245",http://www.arnoldscoffee.com/,louisville,no_store_page
Grounds for Hope Cafe,"11605 Hazelwood Rd, Anchorage, KY 40223",http://groundsforhope.cafe/,louisville,no_shop
7 Brew Coffee,"7609 Bardstown Rd, Louisville, KY 40291",https://7brew.com/location/kentucky-louisville-000322,louisville,no_store_page
The Breeze Wine & Coffee,"1247 S Shelby St, Louisville, KY 40203",http://www.thebreezewine.com/,louisville,no_coffee_keywords
"Please & Thank You ""MARK""","800 E Market St, Louisville, KY 40206",http://www.wearepleaseandthankyou.com/,louisville,no_store_page
KIWA Teahouse Coffee shop,"2235 Frankfort Ave Suite #104, Louisville, KY 40206",https://www.kiwausa.com/,louisville,no_coffee_keywords
Whirling Tiger Coffee,"1335 Story Ave, Louisville, KY 40206",https://www.whirlingtigercoffee.com/,louisville,no_shop
Full Stop Station,"1132 E St Catherine St, Louisville, KY 40204",http://www.fullstopstation.com/,louisville,no_store_page
Crescent Hill Coffee,"2714 Frankfort Ave, Louisville, KY 40206",http://eggsoverfrankfortcrescenthillcoffee.com/,louisville,no_store_page
Garage Coffee Roastery & Cafe,"107 Lincoln Way, Bardstown, KY 40004",http://www.garagecoffeeroastery.com/,louisville,no_shop
Monet's,"2204 Dundee Rd, Louisville, KY 40205",https://www.monetsmarketlou.com/,louisville,no_shop
Colonel Roosters - Scones n' Bean Haus,"220 Mt Mercy Dr, Pewee Valley, KY 40056",https://colonelroosterssconesnbeanhaus.com/,louisville,no_shop
Blue Dog Bakery & Cafe,"2868 Frankfort Ave, Louisville, KY 40206",http://www.bluedogbakeryandcafe.com/,louisville,no_store_page
Coffee Crossing,"228 Spring St Ste 105, Jeffersonville, IN 47130",http://coffeecrossing.com/,jeffersonville,wrong_region
