Name,Address,Original Website,Website,source_city
Good Folks Coffee,"1151 S Shelby St, Louisville, KY 40203",http://goodfolkscoffee.com/,http://goodfolkscoffee.com/products/fast-track-12oz,Louisville
Ithmah Coffee Roaster,"2425 Portland Ave Unit 2, Louisville, KY 40212",https://ithmahcoffee.com/,https://ithmahcoffee.com/shop/,Louisville
Sunergos Coffee,"1647 Norris Pl, Louisville, KY 40205",http://www.sunergoscoffee.com/,http://www.sunergoscoffee.com/collections/coffee,Louisville
West Lou Coffee,"1821R W Broadway, Louisville, KY 40203",http://westloucoffee.com/,http://westloucoffee.com/new-products,Louisville
Every Tribe Coffee,"11700 Commonwealth Dr #100, Louisville, KY 40299",https://www.everytribecoffee.com/,https://www.everytribecoffee.com/collections/retail,Louisville
Fante's Coffeehouse And Private Label Coffee Roasters,"2501 Grinstead Dr, Louisville, KY 40206",http://www.fantescoffee.com/,http://www.fantescoffee.com/collections,Louisville
Goldie's,"829 E Market St Suite A, Louisville, KY 40206",https://www.goldieslouisville.com/,https://www.deeperrootscoffee.com,Louisville
Quills Coffee,"10501 Watterson Trail, Louisville, KY 40299",http://www.quillscoffee.com/,http://www.quillscoffee.com/collections/coffee,Louisville
Red Hot Roasters,"1399 Lexington Rd, Louisville, KY 40206",http://www.redhotroasters.com/,https://redhotroasters.com/shop/,Louisville
La Grange Coffee Roasters,"110 E Main St, La Grange, KY 40031",http://lagrangecoffeeroasters.com/,http://lagrangecoffeeroasters.com/collections/all,Louisville
Blackbeard Espresso,"718 W Main St, Louisville, KY 40202",http://www.blackbeardespresso.com/,http://www.blackbeardespresso.com/online-store,Louisville
Safai Coffee Shop,"1707 Bardstown Rd, Louisville, KY 40205",https://www.safaicoffee.shop/,https://www.safaicoffee.com/shop,Louisville
Heine Brothers Coffee - MidCity Mall/The Highlands,"1250 Bardstown Rd, Louisville, KY 40204",http://www.heinebroscoffee.com/,http://www.heinebroscoffee.com/collections/coffee,Louisville
Bayt Al mocha Mocha House,"327 W Cardinal Blvd, Louisville, KY 40208",https://baytalmocha.com/,https://baytalmocha.com/menu/retail-items,Louisville
Third Wave Coffee,"220, 9th Main Rd, 5th Block, Jayanagar, Bengaluru, Karnataka 560041, India",https://stores.thirdwavecoffeeroasters.com/store-pages/third-wave-coffee-jayanagar-bengaluru/,https://www.thirdwavecoffeeroasters.com/,Louisville
Dutch Bros Coffee,"9101 Taylorsville Rd, Louisville, KY 40299",https://www.dutchbros.com/locations/ky/louisville/9101-taylorsville-rd?y_source=1_MTA4NjY1NzQ5MC03MTUtbG9jYXRpb24ud2Vic2l0ZQ%3D%3D,https://www.dutchbros.com/at-home/,Louisville
Royal Cup Coffee,"1118 Quality Choice Pl, Louisville, KY 40210",https://www.royalcupcoffee.com/,https://store.royalcupcoffee.com/home,Louisville
Under the Oak Tree Coffee Roasters,"324 Jake Dr, Rineyville, KY 40162",http://undertheoaktreecoffee.com/,http://undertheoaktreecoffee.com/shop/coffee/2,Louisville
4th Level Roasters,"381 United Ct #2, Lexington, KY 40509",http://4thlevelroasters.com/,http://4thlevelroasters.com/collections/all,Louisville
Dry Stack Coffee Roastery + Coffee Bar,"219 W Main St, Danville, KY 40422",http://www.drystackcoffee.com/,http://www.drystackcoffee.com/purchase,Louisville
Archer and Company Roasters,"1720 Petersburg Rd Suite 2, Hebron, KY 41048",https://archerroasters.com/,https://archerroasters.com/collections/coffee,Louisville
Creative Coffees Roastery,"2000 Fortune Dr, Winchester, KY 40391",http://www.creativecoffees.com/,https://www.creativecoffees.com/shop/,Louisville
Big Turkey Foot Coffee,"1738 Moseley St Suite A, Owensboro, KY 42303",http://www.bigturkeyfoot.com/,http://www.bigturkeyfoot.com/store,Louisville
Campfire Roasters: Express,"1060 Margaret Ct, Madisonville, KY 42431",https://www.campfireroasters.net/,https://www.campfireroasters.net/collections/all-coffees,Louisville
Gene's Beans Coffee Co.,"1738 Moseley St, Owensboro, KY 42303",https://genesbeanscoffee.com/,https://genesbeanscoffee.com/store,Louisville
Yokefellow Coffee Roasters,"614 E Dixie Ave, Elizabethtown, KY 42701",https://www.yokefellowcoffeeroasters.com/,https://www.yokefellowcoffeeroasters.com/whole-bean-coffee,Louisville
Tuscan Hills Coffee Company,"111 Roberts Rd, Campbellsville, KY 42718",https://www.tuscanhillscoffee.com/,https://www.tuscanhillscoffee.com/shop,Louisville
Strata Coffee Roasting,No address provided,https://stratacoffeeroasting.com/contactus,https://stratacoffeeroasting.com/shop,Louisville
Nate's Coffee Wholesale,"949 National Ave Suite 104, Lexington, KY 40502",http://natescoffee.com/,https://natescoffee.com/shop,Louisville
South Fork Coffee Company,"975 KY-910, Liberty, KY 42539",https://www.southforkcoffeeco.com/contact,https://www.southforkcoffeeco.com/shop,Louisville
Magic Beans Coffee Roasters,"501 W 6th St, Lexington, KY 40508",http://magicbeanscoffee.com/,http://magicbeanscoffee.com/shop,Louisville
Hos Coffee,"1207 Highland Ave, Carrollton, KY 41008",https://hoscoffee.com/,https://hosroastingco.com/store,Louisville
Artisan Roast Broughton street,"57 Broughton St, Edinburgh EH1 3RJ, United Kingdom",http://www.artisanroast.co.uk/,http://www.artisanroast.co.uk/collections/coffee,Louisville
Respawn Coffee Company,"208 Segler Dr, Oak Grove, KY 42262",https://www.respawncoffeecompany.com/,https://www.respawncoffeecompany.com/respawn-store,Louisville
Ridley Roasthouse,"400 E Main Ave #110, Bowling Green, KY 42101",http://ridleyroasthouse.com/,http://ridleyroasthouse.com/collections/all,Louisville
