Name,Address,Website,source_city,sub_city,state,reason
Midpoint Coffee Brewers,"248 Crown St, New Haven, CT 06511",http://midpointcoffeebrewers.com/,New haven,new haven,CT,no_store_page
The Jitter Bus,"Jitter Bus Cafe, 847 Grand Ave, New Haven, CT 06511",https://thejitterbus.com/,New haven,new haven,CT,no_shop
Fepo Cafe,"195 Church St, New Haven, CT 06510",https://www.fepocafe.com/,New haven,new haven,CT,no_store_page
Koffee?,"104 Audubon St, New Haven, CT 06511",http://koffeefamily.com/,New haven,new haven,CT,no_store_page
East Rock Coffee,"49 Cottage St, New Haven, CT 06511",http://eastrock.coffee/,New haven,new haven,CT,no_store_page
Poindexter Coffee,"1151 Chapel St, New Haven, CT 06511",https://www.hilton.com/en/hotels/hvngngu-graduate-new-haven/dining/?y_source=1_MTA2Njc4ODcyNy03MTUtbG9jYXRpb24ud2Vic2l0ZQ%3D%3D,New haven,new haven,CT,no_store_page
Havenroast,"715 Boston Post Rd, West Haven, CT 06516",https://havenroast.com/,New haven,new haven,CT,no_shop
The Silliman Acorn,"505 College St, New Haven, CT 06520",https://silliman.yalecollege.yale.edu/spaces/acorn-cafe,New haven,new haven,CT,no_shop
Atticus Market,"771 Orange St, New Haven, CT 06511",https://atticusnhv.com/,New haven,new haven,CT,no_store_page
Book Trader Cafe,"1140 Chapel St #4843, New Haven, CT 06511",http://www.booktradercafe.net/,New haven,new haven,CT,no_store_page
Cantean,"1660 Whitney Ave, Hamden, CT 06517",https://www.canteancoffee.com/,New haven,new haven,CT,no_store_page
The Loaded Goat Coffee Company,"64 Church St, Naugatuck, CT 06770",https://www.theloadedgoatcoffeeco.com/,New haven,new haven,CT,no_shop
Pistachio Cafe,"911 Whalley Ave, New Haven, CT 06515",https://pistachiocafe.com/pistachiocafe?utm_source=google,New haven,new haven,CT,no_store_page
Guilford Roasting Company,"4 Hart Landing, Guilford, CT 06437",https://guilfordroastingcompany.com/pages/about-us,New haven,new haven,CT,no_store_page
Common Grounds Hamden,"2460 Dixwell Ave, Hamden, CT 06514",http://commongrounds.com/,New haven,new haven,CT,no_store_page
La Fenice,"630 Chapel St, New Haven, CT 06510",http://lafenice.live/,New haven,new haven,CT,no_coffee_keywords
Ursa,"245 Fairfield Ave, Bridgeport, CT 06604",http://ursabpt.com/,New haven,bridgeport,CT,no_store_page
The Purple Knights Coffee Company,"230 Park Ave, Bridgeport, CT 06604",https://ubcoffee.store/,New haven,bridgeport,CT,no_store_page
Artisan Stack Cafe,"281 Fairfield Ave, Bridgeport, CT 06604",https://artisanstackcafe.com/,New haven,bridgeport,CT,no_store_page
Black Rock Coffee House & Kitchen,"2480 Black Rock Tpke, Fairfield, CT 06825",http://www.blackrockcoffeeandkitchen.com/,New haven,bridgeport,CT,no_shop
Harborview Market,"218 Harborview Ave, Bridgeport, CT 06605",http://harborviewmarket.com/,New haven,bridgeport,CT,no_store_page
Humbled Coffeehouse,"575 Hope St, Stamford, CT 06907",http://www.humbledcoffeehouse.com/,New haven,stamford,CT,no_shop
Lorca Coffee Bar,"125 Bedford St, Stamford, CT 06901",http://www.lorcacoffeebar.com/,New haven,stamford,CT,no_store_page
"Caffè Bon, LLC","652 Glenbrook Rd Building 10-102, Stamford, CT 06906",http://caffebon.com/,New haven,stamford,CT,no_store_page
CoBrew,"47 John St, Stamford, CT 06902",https://www.stamfordcocreate.com/cobrew/,New haven,stamford,CT,no_store_page
Canard Café Bar Stamford,"1 Greyrock Pl, Stamford, CT 06901",https://www.canardcafebar.com/,New haven,stamford,CT,no_store_page
RISE Brewing Co.,"425 Fairfield Ave, Stamford, CT 06902",https://risebrewingco.com/,New haven,stamford,CT,no_store_page
Mandy Bean Specialty Coffee,"2361c Central Park Ave, Yonkers, NY 10710",http://www.mandybean.com/,New haven,stamford,CT,no_store_page
Love You a Latte of Greenwich,"160 Hamilton Ave #6113, Greenwich, CT 06830",https://www.loveyoualattegreenwich.com/,New haven,stamford,CT,no_store_page
Honey Joe's Family Coffeehouse,"5 Broad St # 2b, Stamford, CT 06901",http://www.honeyjoescoffee.com/,New haven,stamford,CT,no_store_page
Ninja Coffee Espresso,"225 Summer St, Stamford, CT 06901",https://ninjacoffeeusa.com/contact-us,New haven,stamford,CT,no_store_page
The Producer Coffee Studio,"201 Willett Ave, Port Chester, NY 10573",http://theproducercoffee.com/,New haven,stamford,CT,scrape_failed
Quincy Coffee,"50 Waterbury Rd, Prospect, CT 06712",https://www.quincycoffeeco.com/,New haven,waterbury,CT,no_store_page
Spirit Cafe,"118 E Main St, Waterbury, CT 06706",https://www.ctspiritcafe.com/,New haven,waterbury,CT,no_store_page
