Name,Address,Original Website,Website,source_city,sub_city,state
Willoughby's Coffee & Tea,"Corner Grove, 258 Church St, New Haven, CT 06510",https://www.willoughbyscoffee.com/,https://www.willoughbyscoffee.com/all.html,New haven,new haven,CT
Zumbach's Gourmet Coffee,"77 Pine St, New Canaan, CT 06840",https://www.zumbachsgourmetcoffee.com/,https://www.zumbachsgourmetcoffee.com/s/shop,New haven,new haven,CT
Soul Cafe Coffee Roasters [ LAB & Wholesale ],"158 27th St, Brooklyn, NY 11232",http://www.soulcafecoffee.com/,http://www.soulcafecoffee.com/our-coffees,New haven,bridgeport,CT
Frenchies Coffee Bar,"2420 Main St, Stratford, CT 06615",http://www.frenchiescoffeebar.com/,https://frenchiescoffeebar.com/product-category/coffee/,New haven,bridgeport,CT
The Wicked Press,"948 Sullivan Ave, South Windsor, CT 06074",https://www.thewickedpress.com/,https://www.thewickedpress.com/collections/coffee,New haven,hartford,CT
Winfield Street Coffee,"96 Broad St, Stamford, CT 06901",https://www.winfieldcoffee.com/,https://winfieldcoffee.myshopify.com/,New haven,stamford,CT
Rippin Coffee Roasters,"68 Schraalenburgh Rd, Harrington Park, NJ 07640",https://rippinroasters.com/,https://rippinroasters.com/collections/coffee,New haven,stamford,CT
Brave Coffee & Tea,"136 Demeritt Pl, Waterbury, VT 05676",http://bravecoffeeco.com/,http://bravecoffeeco.com/collections/coffee,New haven,waterbury,CT
Vermont Artisan Coffee & Tea,"11 Cabin Ln, Waterbury Center, VT 05677",http://www.vtartisan.com/,http://www.vtartisan.com/collections/all-coffees,New haven,waterbury,CT
Zero Prophet Coffee LLC,"No retail at this location, 273 Sabbaday Ln, WASHINGTON DT, CT 06794",http://www.zeroprophetcoffee.com/,http://www.zeroprophetcoffee.com/coffee,New haven,waterbury,CT
little seed COFFEE ROASTERS,"24 Merchants Row, Middlebury, VT 05753",http://littleseed.coffee/,https://www.littleseed.coffee/shop,New haven,waterbury,CT
Ayla's Bagels & Coffee,"787 Main St S, Woodbury, CT 06798",http://www.aylasbagels.com/,http://paperfrog.coffee,New haven,waterbury,CT
New Hampshire Coffee Roasting Co.,"7 Sumner Dr, Dover, NH 03820",https://www.nhcoffee.com/,https://www.nhcoffee.com/shop/bagged-coffee/2,New haven,waterbury,CT
Vivid Coffee Roasters,"150 Cherry St, Burlington, VT 05401",http://vividcoffee.com/shop,http://vividcoffee.com/shop?category=coffee,New haven,waterbury,CT
Boot Camp Brew,"683 Meriden Ave, Southington, CT 06489",http://bootcampbrew.com/,http://bootcampbrew.com/collections/blends,New haven,meriden,CT
Cilantro Specialty Foods,"85 Whitfield St, Guilford, CT 06437",http://cilantro.coffee/,http://cilantro.coffee/collections/all,New haven,milford,CT
Union Coffee Company,"42 South St, Milford, NH 03055",https://www.unioncoffee.co/,https://unioncoffeeco.myshopify.com/collections/beans-blends-1,New haven,milford,CT
