Name,Address,Website,source_city,sub_city,state,reason
Flat Iron Coffee Bar,"594 Congress St, Portland, ME 04101",https://www.flatironcoffeebar.com/,Portland,portland,ME,no_store_page
Moonday Coffee,"93 Washington Ave Unit 1, Portland, ME 04101",http://moondaycoffee.com/,Portland,portland,ME,no_store_page
Double Great Coffee,"100 Congress St, Portland, ME 04101",http://www.doublegreatcoffee.com/,Portland,portland,ME,no_shop
Speckled Ax,"567 Congress St, Portland, ME 04101",https://speckledax.com/,Portland,portland,ME,no_store_page
The Proper Cup,"500 Forest Ave, Portland, ME 04101",http://thepropercupcoffeehouse.com/,Portland,portland,ME,no_coffee_keywords
Rwanda Bean Company: ROASTERY,"290 Thompsons Point Suite B, Portland, ME 04102",http://www.rwandabean.com/,Portland,portland,ME,no_store_page
Coveside Coffee,"28 Vannah Ave, Portland, ME 04103",https://coveside-coffee.square.site/,Portland,portland,ME,no_store_page
Another Round,"549 Congress St, Portland, ME 04101",http://www.anotherroundmaine.com/,Portland,portland,ME,no_store_page
Matchamood,"654 Congress St, Portland, ME 04101",http://matchamoodmaine.com/,Portland,portland,ME,no_coffee_keywords
Yordprom Coffee Co,"722 Congress St, Portland, ME 04102",https://o.spoton.com/BL-A944-9A79-E99E,Portland,portland,ME,no_shop
Onggi Market & Cafe,"131 Washington Ave, Portland, ME 04101",http://onggi.com/,Portland,portland,ME,no_store_page
Smalls,"28 Brackett St, Portland, ME 04102",http://www.smallsisgood.com/,Portland,portland,ME,no_shop
Salt Yard Cafe & Bar,"285 Commercial St, Portland, ME 04101",https://saltyardrestaurantandbar.com/?SEO_id=GMB--R-PWMOPPY-1&y_source=1_MTAxOTc5OTkyNi03MTUtbG9jYXRpb24ud2Vic2l0ZQ%3D%3D,Portland,portland,ME,no_shop
Novel,"643 Congress St, Portland, ME 04101",http://www.novelmaine.com/,Portland,portland,ME,no_store_page
Coffee ME Up,"221 Cumberland Ave, Portland, ME 04101",https://coffeemeupportland.com/,Portland,portland,ME,no_store_page
Higher Grounds of Maine,"45 Wharf St, Portland, ME 04101",https://www.highergrounds.me/,Portland,portland,ME,no_store_page
Rambler Cafe,"463 Stevens Ave, Portland, ME 04103",http://www.ramblermaine.com/,Portland,portland,ME,no_store_page
Ugly Duckling Maine,"246 Danforth St, Portland, ME 04102",https://www.uglyducklingmaine.com/,Portland,portland,ME,no_shop
Black Point Coffee,"238 Black Point Rd, Scarborough, ME 04074",https://blackpoint.coffee/,Portland,portland,ME,no_store_page
Navis Cafe,"56 Thames St, Portland, ME 04101",https://www.naviscafe.com/,Portland,portland,ME,no_store_page
Burke's Perks Cafe and Grill,"23 Monument Sq, Portland, ME 04101",http://www.burkesperks.com/,Portland,portland,ME,no_shop
Rigby Yard,"50 Wharf St, Portland, ME 04101",http://www.rigbyyard.com/,Portland,portland,ME,no_store_page
Bread & Friends,"505 Fore St, Portland, ME 04101",http://breadandfriendsmaine.com/,Portland,portland,ME,no_coffee_keywords
Cote’s Portland Café,"1 Portland Sq, Portland, ME 04101",http://cotescafe.com/,Portland,portland,ME,no_store_page
The Local Press,"276 Woodford St, Portland, ME 04103",http://localpressme.com/,Portland,portland,ME,no_shop
Cia Cafe,"72 Ocean St STE 103, South Portland, ME 04106",http://ciacafe.com/,Portland,portland,ME,no_shop
Rose Foods,"428 Forest Ave, Portland, ME 04101",http://www.rosefoods.me/,Portland,portland,ME,no_coffee_keywords
Terrarium,"98 Cross St N Suite A, Portland, ME 04101",http://www.terrariumportlandme.com/,Portland,portland,ME,no_store_page
Quiero Cafe,"3 Deering Ave, Portland, ME 04101",https://www.quierocafe.online/,Portland,portland,ME,no_store_page
Belleville,"1 North St, Portland, ME 04101",https://blvl.me/,Portland,portland,ME,no_coffee_keywords
Après,"148 Anderson St, Portland, ME 04101",https://apresmaine.com/,Portland,portland,ME,no_coffee_keywords
Root Wild Kombucha,"135 Washington Ave, Portland, ME 04101",http://rootwildkombucha.com/,Portland,portland,ME,no_coffee_keywords
Eighty 8 Donuts,"202 Federal St, Portland, ME 04101",http://www.eighty8donuts.com/,Portland,portland,ME,no_shop
Forage Market,"123 Washington Ave, Portland, ME 04101",https://www.foragemarket.com/,Portland,portland,ME,no_store_page
Hot Suppa,"703 Congress St, Portland, ME 04102",http://www.hotsuppa.com/,Portland,portland,ME,no_coffee_keywords
Katie Made Bakery,"181 Congress St, Portland, ME 04101",http://www.katiemadebakery.com,Portland,portland,ME,no_shop
Sissle & Daughters Cheesemongers and Grocers,"107 Washington Ave #1, Portland, ME 04101",http://www.sissleanddaughters.com/,Portland,portland,ME,no_coffee_keywords
Batson River Brewing & Distilling,"82 Hanover St, Portland, ME 04101",https://batsonriver.com/,Portland,portland,ME,no_store_page
The Gelato Fiasco Old Port,"425 Fore St, Portland, ME 04101",https://www.gelatofiasco.com/locations/portland/,Portland,portland,ME,no_store_page
Bayside American Cafe,"98 Portland St, Portland, ME 04101",http://baysideamericancafe.com/,Portland,portland,ME,no_shop
Belleflower Brewing Company,"66 Cove St, Portland, ME 04101",https://belleflowerbeer.com/,Portland,portland,ME,no_store_page
LeRoux Kitchen,"161 Commercial St, Portland, ME 04101",http://www.lerouxkitchen.com/,Portland,portland,ME,no_store_page
CERA,"1 Monument Sq Ste 103, Portland, ME 04101",http://www.eatcera.com/,Portland,portland,ME,no_coffee_keywords
Maps,"64A Market St, Portland, ME 04101",http://mapsbarportland.com/,Portland,portland,ME,no_coffee_keywords
Second Rodeo Coffee Shop,"124 Sawyer St, South Portland, ME 04106",https://www.secondrodeocoffeeshop.com/,Portland,south portland,ME,no_store_page
Shaghf cafe,"645 Forest Ave, Portland, ME 04101",https://www.shaghfcoffee.com/,Portland,south portland,ME,no_shop
Joe Muggs Cafe,"430 Gorham Rd, South Portland, ME 04106",http://www.booksamillion.com/,Portland,south portland,ME,no_coffee_keywords
Scratch Baking Co,"416 Preble St, South Portland, ME 04106",http://scratchbakingco.com/,Portland,south portland,ME,no_store_page
The Send Brewing Co.,"15 Ocean St, South Portland, ME 04106",https://www.thesendbrewing.com/,Portland,south portland,ME,no_store_page
Mainely Coffee,"47 Katahdin Ave, Millinocket, ME 04462",https://mainelycoffee.com/,Portland,south portland,ME,no_shop
The Garden Bar,"173 Ocean St, South Portland, ME 04106",http://www.thegardenbarmaine.com/,Portland,south portland,ME,no_coffee_keywords
Roots Cafe,"20 School St Unit C, Westbrook, ME 04092",https://rootscafemaine.com/,Portland,westbrook,ME,no_shop
Cuppa Jo's,"305 US-1, Yarmouth, ME 04096",https://www.cuppajos.com/,Portland,westbrook,ME,no_shop
The Sinful Kitchen,"952 Brighton Ave, Portland, ME 04102",http://www.thesinfulkitchen.com/?utm_source=google&utm_medium=wix_google_business_profile&utm_campaign=17313828670961116165,Portland,westbrook,ME,no_coffee_keywords
Market Basket,"90 Rock Row Suite 110, Westbrook, ME 04092",https://www.shopmarketbasket.com/,Portland,westbrook,ME,no_coffee_keywords
Sullivan House Bakery,"102 Main St, Gorham, ME 04038",https://www.sullivanhousegorham.com/,Portland,westbrook,ME,no_coffee_keywords
Honeycomb Cafe,"132 Pleasant Hill Rd, Scarborough, ME 04074",http://honeycombcafe.me/,Portland,westbrook,ME,no_store_page
St. Joe's Cafe,"220 Gorham Rd, Scarborough, ME 04074",http://www.stjoescafe.com/,Portland,westbrook,ME,no_shop
Discover Downtown Westbrook,"816 Main St, Westbrook, ME 04092",http://downtownwestbrook.com/,Portland,westbrook,ME,no_shop
Bamboo Bistro,"1 Cumberland St, Westbrook, ME 04092",https://www.clover.com/online-ordering/bamboo-bistro-westbrook,Portland,westbrook,ME,no_coffee_keywords
Casa Novello,"694 Main St, Westbrook, ME 04092",https://www.casanovello.com/,Portland,westbrook,ME,no_coffee_keywords
Walter's Cafe,"149 Main St Ste 4, Brunswick, ME 04011",https://www.originalwalterscafe.com/,Portland,westbrook,ME,no_shop
Woodford Food & Beverage,"660 Forest Ave, Portland, ME 04103",http://www.woodfordfb.com/,Portland,westbrook,ME,no_coffee_keywords
Cafe Luna,"370 US-1, Scarborough, ME 04074",http://cafelunamaine.com/,Portland,scarborough,ME,no_store_page
The Holy Donut,"398 US-1, Scarborough, ME 04074",https://theholydonut.com/,Portland,scarborough,ME,no_store_page
Coffee Roasters of the Kennebunks,"163 Port Rd, Kennebunk, ME 04043",https://coffeeroastersofmaine.com/,Portland,scarborough,ME,scrape_failed
Swell Nitro Coffee,"200 Main St, Saco, ME 04072",https://www.swellnitrocoffee.com/,Portland,scarborough,ME,no_store_page
Len Libby Candies,"419 US-1, Scarborough, ME 04074",http://www.lenlibby.com/,Portland,scarborough,ME,no_store_page
Nonesuch River Brewing,"201 Gorham Rd, Scarborough, ME 04074",https://nonesuchriverbrewing.com/,Portland,scarborough,ME,no_store_page
Sebago Brewing Company Brewpub,"201 Southborough Dr, Scarborough, ME 04074",http://www.sebagobrewing.com/,Portland,scarborough,ME,no_store_page
Spinning Jenny's Coffee Bar,"17 Lincoln St, Biddeford, ME 04005",https://lincolnhotelmaine.com/amenities-activities/,Portland,scarborough,ME,no_store_page
Pine Tree Seafood & Produce Co.,"655 US-1, Scarborough, ME 04074",https://pinetreeseafood.com/,Portland,scarborough,ME,no_coffee_keywords
Cabela's,"100 Cabela Blvd, Scarborough, ME 04074",https://stores.cabelas.com/us/me/scarborough/100-cabelas-blvd.html?y_source=1_Mzk4NjczMS03MTUtbG9jYXRpb24ud2Vic2l0ZQ%3D%3D,Portland,scarborough,ME,no_coffee_keywords
