Name,Address,Original Website,Website,source_city,sub_city,state
Coffee By Design,"1 Diamond St, Portland, ME 04101",http://www.coffeebydesign.com/,http://www.coffeebydesign.com/collections/coffee,Portland,portland,ME
Tandem Coffee Roasters,"122 Anderson St, Portland, ME 04101",http://tandemcoffee.com/,http://tandemcoffee.com/collections/coffees,Portland,portland,ME
Bard Coffee,"185 Middle St, Portland, ME 04101",http://www.bardcoffee.com/,http://www.bardcoffee.com/collections/coffee,Portland,portland,ME
Lay Day Roasters,"150 Preble St, Portland, ME 04101",https://layday.me/,https://layday.me/shop,Portland,portland,ME
Arabica Coffee Company,"2 Free St, Portland, ME 04101",http://www.arabicacoffee.me/,http://www.arabicacoffee.me/products/new-espresso-blend,Portland,portland,ME
Claw Coffee Roasters,"695 US-1, Scarborough, ME 04074",http://www.clawcoffeeroasters.com/,http://www.clawcoffeeroasters.com/collections/all,Portland,portland,ME
Burundi Star Coffee,"261 St John St, Portland, ME 04102",https://www.burundistarcoffee.com/,https://burundi-star-coffee.square.site/s/order,Portland,portland,ME
Bom Dia Cafe,"47 India St, Portland, ME 04101",http://www.bomdiame.com/,https://frontsidecoffee.com/,Portland,portland,ME
Giuseppe Roasters Coffee,"26 Ocean Ave, Scarborough, ME 04074",https://giusepperoasters.com/,https://www.giusepperoasters.com/shop-all,Portland,south portland,ME
Swift River Coffee Roasters,"1289 Roosevelt Trail, Raymond, ME 04071",https://www.swiftrivercoffee.com/,https://www.swiftrivercoffee.com/online-store-1,Portland,south portland,ME
Sterling Coffee Roasters,"518 NW 21st Ave, Portland, OR 97209",http://sterling.coffee/,http://sterling.coffee/collections/all,Portland,south portland,ME
Tern Coffee & Tea,"141 Maine St, Brunswick, ME 04011",http://www.terncoffee.com/,http://www.terncoffee.com/collections/retail-coffee,Portland,westbrook,ME
Carpe Diem Coffee Roasting Co,"150 Wells St, North Berwick, ME 03906",http://www.carpediemcoffee.com/,https://www.carpediemcoffee.com/coffees/,Portland,scarborough,ME
Greenwood Bean,"286 Howe Hill Rd, Greenwood, ME 04255",http://greenwoodbean.com/,https://www.greenwoodbean.com/shop,Portland,scarborough,ME
Mornings in Paris,"240 US-1, Falmouth, ME 04105",https://www.morningsinparis.com/,https://www.morningsinparis.com/coffee-and-tea,Portland,falmouth,ME
Carrabassett Coffee Company,"93 Main St, Kingfield, ME 04947",http://www.carrabassettcoffee.com/,https://shop.carrabassettcoffee.com/product-category/coffee,Portland,falmouth,ME
Speedwell Coffee Company,"208 S Meadow Rd, Plymouth, MA 02360",http://speedwellcoffee.com/,http://speedwellcoffee.com/collections/coffee,Portland,falmouth,ME
Coffee Hound Coffee Co. Roastery,"55 Baker Blvd Suite 137, Brewer, ME 04412",https://www.coffeehoundcoffeeco.com/,https://www.coffeehoundcoffeeco.com/shop/,Portland,falmouth,ME
Crouse House Coffee Roasters,"25 Landry Rd, Lewiston, ME 04240",https://www.crousehousecoffee.com/,https://www.crousehousecoffee.com/order-online,Portland,cape elizabeth,ME
Color Field Coffee Co.,"30 Van Horn Rd, East Boothbay, ME 04544",https://www.colorfieldcoffee.com/,https://www.colorfieldcoffee.com/shop,Portland,cape elizabeth,ME
Time & Tide Coffee,"Time & Tide Coffee, 35 Main St Ste 102, Biddeford, ME 04005",http://timeandtidecoffee.com/,https://www.timeandtidecoffee.com/buy/,Portland,biddeford,ME
Elements Books Coffee Beer,"265 Main St, Biddeford, ME 04005",http://www.elementsbookscoffeebeer.com/,http://www.elementsbookscoffeebeer.com/product/wholebeancoffee/2,Portland,biddeford,ME
