Name,Address,Original Website,Website,source_city
Union Place Coffee Roasters,"900 Jefferson Rd Building 9, Suite 903, Rochester, NY 14623",https://unionplacecoffeeroasters.com/,https://unionplacecoffeeroasters.com/shop-coffee/,Rochester
Albunn Coffee House,"333 East Ave, Rochester, NY 14604",https://albunncoffee.com/,https://albunncoffeehouse.cloveronline.com/,Rochester
Joe Bean Roasters,"565 Blossom Rd e1, Rochester, NY 14610",http://www.joebeanroasters.com/,http://www.joebeanroasters.com/collections/coffee-by-the-bag-1,Rochester
Evening Star Coffee Roasters- Coffee Service & Coffee Roastery,"5700 Tec Dr, Avon, NY 14414",http://www.eveningstarcoffeeroasters.com/,https://www.eveningstarcoffeeroasters.com/shop/,Rochester
Ink Wtr Coffee Roasters,"1150 University Ave, Rochester, NY 14607",http://inkwtr.com/,http://inkwtr.com/coffee_c_34.html,Rochester
Java's Coffee Roasters,"65 Pennsylvania Ave, Rochester, NY 14609",http://javascafe.com/,http://javascafe.com/shop,Rochester
Fuego Coffee Roasters,"1 Woodbury Blvd, Rochester, NY 14604",http://www.fuegocoffee.com/,https://fuego-coffee-roasters.myshopify.com/collections/frontpage,Rochester
Layali Coffee House,"942 Jefferson Rd, Rochester, NY 14623",http://layalicoffeehouse.com/,https://www.toasttab.com/local/order/layali-coffee-house-942-jefferson-road/r-0245dabe-5aa0-4d6e-ae93-dcc370918f5f#,Rochester
Finger Lakes Coffee Roasters,"6081 NY-96, Farmington, NY 14425",https://fingerlakescoffee.com/,https://finger-lakes-coffee.myshopify.com/collections/all,Rochester
Elvio's Coffee,"1350 Empire Blvd, Rochester, NY 14609",https://www.elvioscoffee.com/,https://www.elvioscoffee.com/category/coffee,Rochester
New City Cafe & Roastery,"441 Parsells Ave, Rochester, NY 14609",https://www.newcityroc.com/,https://www.newcityroc.com/store,Rochester
Buffalo Coffee Roastery,"5844 Buffalo St, Sanborn, NY 14132",http://buffalocoffeeroastery.com/,https://www.buffalocoffeeroastery.com/shop/category/dark-roasts-and-blends/,Rochester
Copper Horse Coffee Roasters,"2027 Slaterville Rd #1, Ithaca, NY 14850",http://www.copperhorsecoffee.com/,http://www.copperhorsecoffee.com/coffee-subscription,Rochester
Great Lakes Coffee Roasters,"123 Stutzman Rd, Bowmansville, NY 14026",http://www.greatlakescoffeeroasters.com/,https://www.greatlakescoffeeroasters.com/shop,Rochester
Equal Grounds Community Cafe,"750 South Ave, Rochester, NY 14620",http://www.equalgroundscafe.com/,https://www.equalgroundscafe.com/category/all-products,Rochester
Simple Roast Coffee - East,"360 Grant Ave, Auburn, NY 13021",http://www.simpleroastcoffee.com/,http://www.simpleroastcoffee.com/collections/simple-roast-coffee,Rochester
Leaf & Bean Coffee Co,"3240 Chili Ave B1, Rochester, NY 14624",https://www.leafandbeancoffeeco.com/,https://www.leafandbeancoffeeco.com/shop,Rochester
"Java Junction Coffee Roasters, Bakery & Restaurant","56 Main St S, Brockport, NY 14420",https://javajunction.cafe/,https://javajunction.cafe/shop/,Rochester
Amity Coffee Co.,"3 Main St, Penn Yan, NY 14527",http://amitycoffee.co/,http://amitycoffee.co/collections/all,Rochester
TiA Coffee LLC,"300 Village Square Blvd, Honeoye Falls, NY 14472",https://www.tiacoffee.us/,https://tiacoffee.us/shop/,Rochester
Third Wave Coffee,"220, 9th Main Rd, 5th Block, Jayanagar, Bengaluru, Karnataka 560041, India",https://stores.thirdwavecoffeeroasters.com/store-pages/third-wave-coffee-jayanagar-bengaluru/,https://www.thirdwavecoffeeroasters.com/,Rochester
Crow City Roasters Coffee,"145 State St, Auburn, NY 13021",http://www.crowcityroasters.com/,http://www.crowcityroasters.com/store,Rochester
Canopy Coffee Roasters,"3173 NY-14A, Penn Yan, NY 14527",http://canopycoffeeroasters.com/,https://canopycoffeeroasters.com/shop-2/,Rochester
Forty Weight Coffee Roasters,"770 Cascadilla St, Ithaca, NY 14850",http://fortyweightcoffee.cafe/,http://fortyweightcoffee.cafe/s/shop,Rochester
"JAVA-GOURMET Company Store, Black Cat Bistro, Keuka Lake Coffee Roasters, and Seneca Salt Company","2808 NY-54A, Penn Yan, NY 14527",https://java-gourmet.com/,https://java-gourmet.com/collections/coffee,Rochester
Off the Trail Coffee Company,"4545 Witherden Rd, Marion, NY 14505",https://www.offthetrailcoffeeco.com/,https://www.offthetrailcoffeeco.com/store,Rochester
New Day Coffee Roasters,"3046 Niagara Falls Blvd, North Tonawanda, NY 14120",http://newdaycoffeeroasters.com/,http://newdaycoffeeroasters.com/shop/coffee/2,Rochester
Adirondack Coffee Roasters,"373 State Rte 3 Suite 1, Plattsburgh, NY 12901",http://www.adkcoffeeroasters.com/,http://www.adkcoffeeroasters.com/shop,Rochester
Georgio's Coffee Roasters,"1965 New Hwy, Farmingdale, NY 11735",http://www.georgioscoffee.com/,http://www.georgioscoffee.com/collections/frontpage,Rochester
Unique Coffee Roasters,"3075 Richmond Ter, Staten Island, NY 10303",http://www.uniquecoffeeroasters.com/,http://www.uniquecoffeeroasters.com/collections/blends,Rochester
Gloria Jean's Coffees,"420 Greece Ridge Center Dr, Rochester, NY 14626",https://www.gloriajeans.com/,https://www.gloriajeanscoffees.com.au/,Rochester
Stedman Corners Coffee Roasters,"169 W Fairmount Ave, Lakewood, NY 14750",https://www.stedmancoffee.com/,https://www.stedmancoffee.com/coffee.html,Rochester
Milk House Roastery,"4654 NW Townline Rd, Marcellus, NY 13108",https://milkhouseroastery.com/,https://milkhouseroastery.com/collections/frontpage,Rochester
Recess Coffee Westcott,"110 Harvard Pl, Syracuse, NY 13210",http://recesscoffee.com/,https://recess-online-store.square.site/,Rochester
Stack Street Coffee Roasters,"55 W Railroad Ave building 5, Garnerville, NY 10923",http://stackstcoffee.com/,http://stackstcoffee.com/collections/bulk-coffee-beans,Rochester
"Oak Hill Bulk Foods, Inc.","3173 NY-14A, Penn Yan, NY 14527",http://oakhillbulkfoods.com/,https://canopycoffeeroasters.com/shop/,Rochester
Panera Bread,"800 Greece Ridge Center Dr, Greece, NY 14626",https://www.panerabread.com/en-us/cafe/locations/ny/greece/800-greece-ridge-center-drive?utm_medium=local&utm_source=google&utm_campaign=dpm-dist&utm_term=601095&utm_content=main,https://www.paneraathome.com/,Rochester
Whole Latte Love,"2200 Brighton Henrietta Town Line Rd, Rochester, NY 14623",http://www.wholelattelove.com/,http://www.wholelattelove.com/collections/coffee,Rochester
McCullagh Coffee,"245 Swan St, Buffalo, NY 14204",http://www.mccullaghcoffee.com/,http://www.mccullaghcoffee.com/collections,Rochester
Goodrich Coffee & Tea,"9450 Main St, Clarence, NY 14031",http://www.goodrichcoffee.com/,https://goodrichcoffee.com/coffee/,Rochester
"Origin Coffee Co. | Saranac Lake, NY","77 Main St, Saranac Lake, NY 12983",http://www.origincoffeeadk.com/,http://www.origincoffeeadk.com/shop-our-coffee/coffee,Rochester
Partners Coffee - North 6 Street Williamsburg,"125 N 6th St, Brooklyn, NY 11249",http://www.partnerscoffee.com/,http://www.partnerscoffee.com/collections/all-coffees,Rochester
Old Mountain Coffee Company,"1767 NY-73, Keene Valley, NY 12943",http://oldmountaincoffee.com/,http://oldmountaincoffee.com/collections/all,Rochester
Coffee Project New York | Fort Greene,"78 Rockwell Pl, Brooklyn, NY 11217",https://coffeeprojectny.com/?utm_source=google&utm_medium=organic&utm_campaign=gmb_bk,https://coffeeprojectnyshop.square.site/shop-coffee,Rochester
Dear Mama,"611 W 129th St, New York, NY 10027",http://www.dearmamacoffee.com/,http://www.dearmamacoffee.com/store,Rochester
Dunkin',"136 W Main St, Batavia, NY 14020",https://locations.dunkindonuts.com/en/ny/batavia/136-w-main-st/300924?utm_source=google&utm_medium=local&utm_campaign=localmaps&utm_content=300924&y_source=1_MTIxMDY4MDUtNzE1LWxvY2F0aW9uLndlYnNpdGU%3D,https://www.dunkinathome.com/,Rochester
Premium Coffee Company,"2510 Hamburg Turnpike, Buffalo, NY 14218",http://premiumcoffeeco.com/,https://www.premiumcoffeeco.com/category/all-products,Rochester
Untold Coffee Lab,"2200 Brighton Henrietta Town Line Rd, Rochester, NY 14623",https://untoldcoffeelab.com/,https://untoldcoffeelab.com/collections/all-coffee,Rochester
Greater Things Roasters,"10 Hope Plaza, West Coxsackie, NY 12192",http://www.greaterthingsroasters.com/,http://www.greaterthingsroasters.com/shop,Rochester
:3Coffee | Flatiron,"29 W 21st St, New York, NY 10010",https://www.3coffeeroasters.com/shop/,https://www.3coffeeroasters.com/product/12oz/,Rochester
Coffee & Stone,"54 Webster St, North Tonawanda, NY 14120",https://www.coffeeandstone.com/,https://www.toasttab.com/coffee-and-stone-54-webster-street,Rochester
Bear Mountain Coffee Roasters,"100 Bucks Hollow Rd, Mahopac, NY 10541",https://www.bearmountaincoffeeroasters.com/,https://www.bearmountaincoffeeroasters.com/shop-all,Rochester
Path Coffee Roasters,"106 Purdy Ave, Port Chester, NY 10573",https://pathcoffees.com/,https://pathcoffees.com/shop-coffee/,Rochester
Double Barrel Roasters,"1025 Saw Mill River Rd, Yonkers, NY 10710",https://www.doublebarrelroasters.com/contact/,https://www.doublebarrelroasters.com/shop/,Rochester
"Jockey Street Coffee Roasters, LLC","9703 NY-19, Houghton, NY 14744",http://www.jockeystreetcoffee.com/,http://www.jockeystreetcoffee.com/coffee,Rochester
St. Drogo's Coffee & Bake House,"7514 S State St, Lowville, NY 13367",https://www.saintdrogoscoffee.com/?utm_source=google&utm_medium=wix_google_business_profile&utm_campaign=11233566835924521391,https://www.tughillartisanroasters.com,Rochester
Craft Coffee House,"6612 Campbell Blvd, Lockport, NY 14094",https://www.craftcoffeehousewny.com/,https://www.craftcoffeehousewny.com/shop-now,Rochester
North Star Cafe,"92 S Main St, Canandaigua, NY 14424",https://www.northstarcafe.org/,http://www.fingerlakescoffee.com/,Rochester
Upstate Coffee,"50 Elmwood Ave, Gloversville, NY 12078",http://www.upstatecoffee.com/,http://www.upstatecoffee.com/collections/all,Rochester
Stride Coffee Roasters,"2 Campion Rd #6, New Hartford, NY 13413",http://stridecoffeeroasters.com/,http://stridecoffeeroasters.com/collections/all,Rochester
Pintail Coffee,"1776 New Hwy, Farmingdale, NY 11735",https://www.pintailcoffee.com/,https://www.pintailcoffee.com/shop/,Rochester
Felix Roasting Co.,"525 Greenwich St, New York, NY 10013",http://www.felixroastingco.com/,http://www.felixroastingco.com/collections/retail,Rochester
Kings Coast Coffee Company,"55 Carlough Rd, Bohemia, NY 11716",http://kingscoastcoffee.com/,http://kingscoastcoffee.com/collections/coffee,Rochester
St Kilda Coffee,"328 W 44th St, New York, NY 10036",http://stkildacoffee.com/,https://www.stkildacoffee.com/shop-3,Rochester
Pelicano Coffee Co.,"15 Lewes Rd, Brighton and Hove, Brighton BN2 3HP, United Kingdom",http://www.pelicanocoffee.com/,http://www.pelicanocoffee.com/onlineshop,Rochester
The Roastery by Trading Post,"13-14 Sydney St, Brighton and Hove, Brighton BN1 4EN, United Kingdom",http://www.tradingpostcoffee.co.uk/,http://www.tradingpostcoffee.co.uk/collections/coffee,Rochester
Small Batch Coffee Roasters - Roastery & Cafe,"Unit 7, Wellington House, Camden St, Brighton and Hove, Brighton BN41 1DU, United Kingdom",https://smallbatchcoffeeroasters.co.uk/,https://smallbatchcoffeeroasters.co.uk/collections/all-coffee,Rochester
Whole Foods Market,"2740 Monroe Ave, Rochester, NY 14618",https://www.wholefoodsmarket.com/stores/rochester?utm_source=google&utm_medium=organic&utm_campaign=listings,https://www.wholefoodsmarket.com/products/beverages?featured=on-sale,Rochester
Undergrounds Coffee House and Roastery,"580 South Park Ave, Buffalo, NY 14210",http://www.undergroundscoffeebuffalo.com/,https://www.undergroundscoffeebuffalo.com/retail,Rochester
