Name,Address,Website,source_city,sub_city,state,reason
Zummo's Cafe,"916 Marion St, Scranton, PA 18509",https://www.zummoscafescranton.com/,Scranton,scranton,PA,no_store_page
Moon & Hollow,"902 Prospect Ave, Scranton, PA 18505",https://moonandhollow.com/,Scranton,scranton,PA,no_shop
Retro Cafe,"1139 Capouse Ave, Scranton, PA 18509",http://www.theretroscranton.com/,Scranton,scranton,PA,no_store_page
Northern Light Espresso Bar and Cafe,"536 Biden St, Scranton, PA 18503",http://www.northernlightespresso.com/,Scranton,scranton,PA,no_shop
Blackwatch Cafe,"239 Arthur Ave, Scranton, PA 18510",https://theblackwatchcafe.com/,Scranton,scranton,PA,no_store_page
Coffee Inclusive,"350 Kennedy Blvd suite 12, Pittston, PA 18640",http://www.coffeeinclusive.org/,Scranton,scranton,PA,no_shop
Heaven & Earth Gift Shop,"400 Wyoming Ave #100, Scranton, PA 18503",https://heavenandearthgiftshop.com/,Scranton,scranton,PA,no_store_page
Crafty Beans,"294 Main St, Dupont, PA 18641",https://craftybeans.co/,Scranton,scranton,PA,no_shop
The Brew,"417 Hamlin Hwy SUITE 1, Lake Ariel, PA 18436",https://www.thebrewpa.com/,Scranton,scranton,PA,no_store_page
Mansour's Market,"969 Prescott Ave, Scranton, PA 18510",http://mansoursmarketcafe.com/,Scranton,scranton,PA,no_shop
Old Man John's Coffee + Honey House,"63 Main St, Luzerne, PA 18709",http://www.oldmanjohnsapiary.com/,Scranton,scranton,PA,no_store_page
Milestone Coffee Roasting,"503 S Main St, Montrose, PA 18801",https://milestonecoffeeroasting.com/,Scranton,scranton,PA,no_store_page
Gary's Coffee Service,"85 S Main St, Carbondale, PA 18407",https://www.garyscoffee.com/,Scranton,scranton,PA,no_shop
Drip Coffee Company,"168 N Main St, Shavertown, PA 18708",http://www.dripcoffee570.com/,Scranton,scranton,PA,no_shop
Cocoon Coffee House,"8 Silk Mill Drive, Hawley, PA 18428",http://www.cocooncoffeehouse.com/,Scranton,scranton,PA,no_shop
Bailey's Cafe and Events,"111 W Main St, Dalton, PA 18414",http://www.constantinoscatering.com/baileys,Scranton,scranton,PA,no_shop
Pour,"53 N Main St, Wilkes-Barre, PA 18701",http://pourcoffeehouse.com/,Scranton,wilkes-barre,PA,no_shop
Electric City Roasting Company,"1280 PA-315, Wilkes-Barre, PA 18702",https://moheganpa.com/poi/dining/electric-city-roasting-company.html,Scranton,wilkes-barre,PA,no_shop
