Name,Address,Original Website,Website,source_city,sub_city,state
Electric City Roasting Corners,"101 North Blakely Street, Dunmore, PA 18512",https://electriccityroasting.com/ecr-corners/,https://electriccityroasting.com/product-category/specialty-coffee/,Scranton,scranton,PA
Black and Brass Coffee,"101 Penn Ave, Scranton, PA 18503",https://blackandbrasscoffee.com/,https://blackandbrasscoffee.com/product/the-brick/,Scranton,scranton,PA
Sa Coffees,"6 Hunts Ct, Clarks Summit, PA 18411",http://www.sacoffees.com/,http://www.sacoffees.com/our-coffees-1,Scranton,scranton,PA
Morghan Rake Coffee Roasters,"2628 PA-115, Effort, PA 18330",http://morghanrakecoffee.com/,https://www.morghanrakecoffee.com/shop-coffees,Scranton,scranton,PA
Abide Coffeehouse,"23 W Market St, Wilkes-Barre, PA 18701",https://www.abidecoffeehouse.com/,http://www.abidegrounds.com,Scranton,scranton,PA
Damiani Coffee Roasters,"1679 US-6, Factoryville, PA 18419",http://www.damianicoffee.com/,https://www.damianicoffee.com/store/,Scranton,scranton,PA
"Scipio Farms, LLC","6030 Decker Rd, Lehman Township, PA 18324",https://scipiofarms.com/,https://scipiofarms.com/shop/,Scranton,scranton,PA
2 Queens Coffee,"90 Main St, Narrowsburg, NY 12764",http://www.2queenscoffee.com/,http://www.2queenscoffee.com/products/cabin-fever-1,Scranton,scranton,PA
Santa Mama Coffee Co.,"48 Main St, Delaware Water Gap, PA 18327",http://santamama.coffee/,http://santamama.coffee/shop,Scranton,wilkes-barre,PA
Pressed Coffee & Books,"123 Mahantongo St, Pottsville, PA 17901",http://www.pressedpottsville.com/,https://order.toasttab.com/online/pressedcoffeeandbooks,Scranton,wilkes-barre,PA
Five Eight Coffee Company,"3210 Cherry Rd, Kunkletown, PA 18058",https://fiveeight.coffee/,https://fiveeight.coffee/product/organic-honduran-coffee/,Scranton,hazleton,PA
Covered Bridge Coffee Roasters & Loose Leaf Tea,"220 Elmwood Ave, Feasterville, PA 19053",http://www.coveredbridgecoffeeroasters.com/,https://www.coveredbridgecoffeeroasters.com/shop/coffee/,Scranton,hazleton,PA
Mad Catter Coffee Roasters,"905 Harrison St Suite 127, Allentown, PA 18103",http://madcattercoffee.com/,http://madcattercoffee.com/collections/all-coffee,Scranton,hazleton,PA
Northernness Coffee,"111 E Spring St suite c, Zelienople, PA 16063",https://www.northernnesscoffee.com/,https://www.northernnesscoffee.com/store-2,Scranton,hazleton,PA
Brave Bean Coffee Company - Pitcairn,"550 Broadway Blvd, Pitcairn, PA 15140",http://www.bravebeancoffee.com/,http://www.bravebeancoffee.com/collections/coffee,Scranton,hazleton,PA
Pilgrim Roasters,"4120 Main St, Philadelphia, PA 19127",http://www.pilgrimroasters.com/,http://www.pilgrimroasters.com/collections/whole-bean-coffee,Scranton,hazleton,PA
Bella Bean Coffee Shop,"6 S Broad St Ste 101, Nazareth, PA 18064",https://www.bellabeanbaraboom.com/,https://mylightspeed.app/wdjthita/c-ordering/menu,Scranton,hazleton,PA
Old Village Roastery,"5812b Lower York Rd, Lahaska, PA 18931",http://www.oldvillageroastery.com/,http://www.oldvillageroastery.com/collections/coffee-products/products/asia-sumatra,Scranton,hazleton,PA
