Name,Address,Original Website,Website,source_city,sub_city,state
The Good Coffee Company,"818 Post Ave, Seattle, WA 98104",http://thegoodcoffee.company/,http://thegoodcoffee.company/collections/single-origin-coffees,Seattle,seattle,WA
Seven Coffee Roasters,"11846 Des Moines Memorial Dr S, Seattle, WA 98168",https://www.sevencoffeeroasters.com/?UTM_source=GMB_listing&UTM_medium=organic,https://www.sevencoffeeroasters.com/collections/coffee,Seattle,seattle,WA
Fulcrum Coffee Roasters,"Box 9, 4660 Ohio Ave S Suite A, Seattle, WA 98134",http://fulcrumcoffee.com/,http://fulcrumcoffee.com/collections/retail-coffee,Seattle,seattle,WA
Lighthouse Roasters Fine Coffees and Tea,"400 N 43rd St, Seattle, WA 98103",http://www.lighthouseroasters.com/,http://www.lighthouseroasters.com/collections/all-coffees,Seattle,seattle,WA
Hello Em Việt Coffee & Roastery,"1227 S Weller St, Seattle, WA 98144",https://www.helloem.coffee/,https://www.helloem.coffee/,Seattle,seattle,WA
Kuma Coffee,"3401 Thorndyke Ave W #100, Seattle, WA 98119",https://www.kumacoffee.com/,https://www.kumacoffee.com/collections/frontpage,Seattle,seattle,WA
Black Arrows Coffee,"At the corner of 5th Avenue and Battery, 521 Wall St suite 110, Seattle, WA 98121",http://www.blackarrowscoffee.com/,http://www.blackarrowscoffee.com/shopcoffee,Seattle,seattle,WA
Middle Fork Roasters,"420 S 96th St #6, Seattle, WA 98108",http://www.middleforkroasters.com/,https://middle-fork-roasters.myshopify.com/collections/buy-online,Seattle,seattle,WA
Zanarkand Coffee Roasters,"326 N 138th St C, Seattle, WA 98133",https://www.zanarkandcoffeeroasters.com/,https://www.zanarkandcoffeeroasters.com/coffee,Seattle,seattle,WA
Santo Coffee Co,"1325 NE 65th St, Seattle, WA 98115",https://www.santocoffee.co/,https://www.santocoffee.co/collections/all,Seattle,seattle,WA
