Name,Address,Original Website,Website,source_city,sub_city,state
Pitotti Coffee Roasters,"733 W Garland Ave, Spokane, WA 99205",http://pitotticoffee.com/,http://pitotticoffee.com/collections/all-coffee,Spokane,spokane,WA
Roast House Coffee,"423 E Cleveland Ave, Spokane, WA 99207",http://www.roasthousecoffee.com/,http://www.roasthousecoffee.com/collections/coffees,Spokane,spokane,WA
4 Seasons Coffee Roasters,"12410 E Indiana Ave A, Spokane Valley, WA 99216",http://4seasonscoffee.com/,https://4-seasons-coffee.myshopify.com/collections/coffee-blends,Spokane,spokane,WA
Anvil Coffee,"304 W Pacific Ave, Spokane, WA 99201",https://anvilcoffee.com/,https://anvilcoffee.com/collections/coffee,Spokane,spokane,WA
Arctos Coffee and Roasting Co.,"1923 N Hamilton St, Spokane, WA 99207",http://arctoscoffee.com/,http://arctoscoffee.com/collections/coffee,Spokane,spokane,WA
Ladder Coffee Roasters-Downtown,"1516 W Riverside Ave Suite #206, Spokane, WA 99201",https://www.laddercoffee.com/,https://www.laddercoffee.com/collections/whole-bean-single-origins,Spokane,spokane,WA
Indaba Coffee Roasters,"2020 N Monroe St, Spokane, WA 99205",https://www.indabacoffee.com/,https://indabacoffeeroasters.com,Spokane,spokane,WA
Thomas Hammer Coffee Roaster,"210 W Pacific Ave, Spokane, WA 99201",http://www.hammercoffee.com/,http://www.hammercoffee.com/collections/coffee,Spokane,spokane,WA
Cravens Coffee,"115 N Magnolia St, Spokane, WA 99202",http://cravenscoffee.com/,http://cravenscoffee.com/collections/coffee,Spokane,spokane,WA
Cedar Coffee,"701 N Monroe St, Spokane, WA 99201",https://cedar.coffee/,https://cedar.coffee/collections/all-coffee,Spokane,spokane,WA
Revel 77 Coffee Roasting,"3223 E 57th Ave K, Spokane, WA 99223",http://www.revel77coffee.com/,http://www.revel77coffee.com/collections/frontpage,Spokane,spokane,WA
LaShaw Ranch Roasters,"18805 WA-27, Rockford, WA 99030",https://lashawranchroasters.com/,https://lashawranchroasters.com/collections/coffee,Spokane,spokane,WA
Bloom Coffee Co.,"4020 E 57th Ave, Spokane, WA 99223",http://thegarden509.com/,https://indabacoffeeroasters.com,Spokane,spokane,WA
