Name,Address,Website,source_city,reason
CRACKED BEAN ROASTERY & CAFE,"2384 James St a, Syracuse, NY 13206",http://www.thecrackedbeanroastery.com/,syracuse,scrape_failed
The Kind Coffee Co.,"715 W Fayette St #2, Syracuse, NY 13204",https://www.facebook.com/TheKindCoffeeCompany,syracuse,scrape_failed
Zaman Coffee House,"3911 Brewerton Rd, Syracuse, NY 13212",https://zaman-coffee.com/,syracuse,no_shop
Finger Lakes Coffee Roasters at Destiny USA,"9090 Destiny USA Dr, Syracuse, NY 13290",https://fingerlakescoffee.com/,syracuse,no_shop
Recess Coffee Westcott,"110 Harvard Pl, Syracuse, NY 13210",http://recesscoffee.com/,syracuse,no_store_page
Kairos Cafe,"115 Green St Apt 1, Syracuse, NY 13203",http://kairoscafeny.com/,syracuse,no_shop
SkyTop Coffee,"119 W Seneca St, Manlius, NY 13104",http://www.skytop2go.com/,syracuse,scrape_failed
Salt City Coffee and Bar,"484 S Salina St, Syracuse, NY 13202",http://www.saltcitybar.co/,syracuse,no_shop
Peaks Coffee Co,"1200 E Genesee St, Syracuse, NY 13210",https://www.peakscoffeeco.com/contact-us,syracuse,scrape_failed
Kelsey's Coffee and Friends,"1200 E Genesee St, Syracuse, NY 13210",http://kelseysmobileorder.square.site/,syracuse,scrape_failed
Utica Coffee Roasting Company,"92 Genesee St, Utica, NY 13502",https://uticacoffeeroasting.com/,syracuse,wrong_location
Milano Bean Cafe SYR,"105 W Fayette St, Syracuse, NY 13202",https://milanobeancafe.net/,syracuse,no_shop
Sunshine's Coffee Shop,"6760 Thompson Rd, Syracuse, NY 13211",https://www.sunshinescoffeeshop.com/,syracuse,no_shop
7 Brew Coffee,"3906 Brewerton Rd, Syracuse, NY 13212",https://7brew.com/location/new-york-north-syracuse-000476,syracuse,no_shop
Salt City Market,"484 S Salina St, Syracuse, NY 13202",http://www.saltcitymarket.com/,syracuse,no_coffee_keywords
H. Grey Supply Co. LLC,"217 S Salina St, Syracuse, NY 13202",http://hgreysupplyco.com/,syracuse,scrape_failed
Glazed & Confused,"211 N Clinton St, Syracuse, NY 13202",https://glazedsyr.com/,syracuse,no_coffee_keywords
Biscotti Cafe & Pastry Shop,"741 N Salina St, Syracuse, NY 13208",http://www.biscotticafe.com/,syracuse,no_shop
Vince's Gourmet Imports,"440 S Main St, North Syracuse, NY 13212",http://www.vincesgourmet.com/,syracuse,no_shop
Hi Tea,"167 Marshall St, Syracuse, NY 13210",https://www.hiteasyracuse.com/,syracuse,scrape_failed
Smith Housewares & Restaurant Supply,"3140 Erie Blvd E, De Witt, NY 13214",http://www.smithrestaurantsupply.com/,syracuse,no_shop
Phoebe's Restaurant & Coffee Lounge,"900 E Genesee St, Syracuse, NY 13244",http://www.phoebessyracuse.com/,syracuse,no_shop
Water Street Bagel Co.,"239 E Water St, Syracuse, NY 13202",http://waterstreetbagelco.com/,syracuse,scrape_failed
Eva's European Sweets,"1305 Milton Ave, Syracuse, NY 13204",https://www.evaspolish.com/,syracuse,no_coffee_keywords
Darwin On Clinton,"110 W Fayette St, Syracuse, NY 13202",http://www.darwinonclinton.com/,syracuse,no_shop
Mello Velo Bicycle Shop,"790 Canal St, Syracuse, NY 13210",https://www.mellovelobicycles.com/,syracuse,no_coffee_keywords
Catering by SKY Armory,"330 S Salina St, Syracuse, NY 13202",https://www.cateringbysky.com/,syracuse,no_coffee_keywords
BOULANGERIE,"526 Plum St, Syracuse, NY 13204",http://www.boulangeriecafe.com/,syracuse,no_shop
