Name,Address,Original Website,Website,source_city
Finger Lakes Coffee Roasters at Destiny USA,"9090 Destiny USA Dr, Syracuse, NY 13290",https://fingerlakescoffee.com/,https://finger-lakes-coffee.myshopify.com/collections/all,syracuse
Milk House Roastery,"4654 NW Townline Rd, Marcellus, NY 13108",https://milkhouseroastery.com/,https://milkhouseroastery.com/collections/frontpage,syracuse
Salt City Coffee,"509 W Onondaga St, Syracuse, NY 13204",https://saltcitycoffee.com/?y_source=1_MTYxMDkyMDctNzE1LWxvY2F0aW9uLndlYnNpdGU%3D,https://saltcitycoffee.com/products/kenya-machakos,syracuse
Cafe Kubal,"401 S Salina St, Syracuse, NY 13202",https://www.cafekubal.com/,https://www.cafekubal.com/collections/shop-freshly-roasted-beans,syracuse
Haraz Coffee House,"125 Marshall St, Syracuse, NY 13210",https://harazcoffeehouse.com/,https://haraz-coffee.myshopify.com/collections/all,syracuse
3rd Wave Coffee Roasters,"215 W King St #3, St. Augustine, FL 32084",https://3rdwavecoffee.com/,https://3rdwavecoffee.com/collections/all,syracuse
Crow City Roasters Coffee,"145 State St, Auburn, NY 13021",http://www.crowcityroasters.com/,http://www.crowcityroasters.com/store,syracuse
Roast & Toast - Cafe & Cocktail Bar (Simple Roast Downtown),"99 Genesee St, Auburn, NY 13021",https://simpleroastcoffee.com/,https://simpleroastcoffee.com/collections/simple-roast-coffee,syracuse
Buffalo Coffee Roastery,"5844 Buffalo St, Sanborn, NY 14132",http://buffalocoffeeroastery.com/,https://www.buffalocoffeeroastery.com/order-coffee/,syracuse
Copper Horse Coffee Roasters,"2027 Slaterville Rd #1, Ithaca, NY 14850",http://www.copperhorsecoffee.com/,http://www.copperhorsecoffee.com/coffee-subscription,syracuse
Union Place Coffee Roasters,"900 Jefferson Rd Building 9, Suite 903, Rochester, NY 14623",https://unionplacecoffeeroasters.com/,https://unionplacecoffeeroasters.com/shop-coffee/,syracuse
Great Lakes Coffee Roasters,"123 Stutzman Rd, Bowmansville, NY 14026",http://www.greatlakescoffeeroasters.com/,https://www.greatlakescoffeeroasters.com/shop,syracuse
Stride Coffee Roasters,"2 Campion Rd #6, New Hartford, NY 13413",http://stridecoffeeroasters.com/,http://stridecoffeeroasters.com/collections/all,syracuse
Stack Street Coffee Roasters,"55 W Railroad Ave building 5, Garnerville, NY 10923",http://stackstcoffee.com/,http://stackstcoffee.com/collections/bulk-coffee-beans,liverpool
Canopy Coffee Roasters,"3173 NY-14A, Penn Yan, NY 14527",http://canopycoffeeroasters.com/,https://canopycoffeeroasters.com/shop-2/,liverpool
Path Coffee Roasters,"106 Purdy Ave, Port Chester, NY 10573",https://pathcoffees.com/,https://pathcoffees.com/shop-coffee/,liverpool
Gillies Coffee Company,"150 19th St, Brooklyn, NY 11232",http://www.gilliescoffee.com/,http://www.gilliescoffee.com/collections/all-coffee,liverpool
Fresh Roasted Coffee LLC,"1136 Walnut St, Sunbury, PA 17801",https://freshroastedcoffee.com/,https://freshroastedcoffee.com/collections/all,liverpool
Eldorado Coffee Roasters,"56-75 49th St, Flushing, NY 11378",http://eldoradocoffee.com/,http://eldoradocoffee.com/collections/coffee,liverpool
Beanstock Coffee Roasters,"165 Holmes Rd, Eastham, MA 02642",http://beanstockcoffee.com/,http://beanstockcoffee.com/collections/coffee,liverpool
Barrington Coffee Roasting Company,"165 Quarry Hill Rd, Lee, MA 01238",http://www.barringtoncoffee.com/,https://barringtoncoffee.com/product-category/all-coffees/,liverpool
Public House by WeRoast Coffee,"210 Front St, Lincoln, RI 02865",https://publichouseri.com/,https://weroast.coffee/,liverpool
Downeast Coffee Roasters,"259 East Ave, Pawtucket, RI 02860",https://www.downeastcoffee.com/,https://www.downeastcoffee.com/collections/shop-reserve,liverpool
Rare Breed Coffee Headquarters,"2 Pittsburgh Ave, Nashua, NH 03062",http://www.rarebreedcoffee.com/,http://www.rarebreedcoffee.com/collections/coffee,east syracuse
TiA Coffee LLC,"300 Village Square Blvd, Honeoye Falls, NY 14472",https://www.tiacoffee.us/,https://tiacoffee.us/shop/,solvay
The Wakeman Coffee Co.,"66 E Main St, Sidney, NY 13838",https://www.wakemancoffee.com/,https://www.wakemancoffee.com/collections/wakeman-coffee-beans,solvay
Foundry Roasters at Stovehouse,"3414 Governors Dr SW, Huntsville, AL 35805",https://www.foundryroasters.com/,https://www.foundryroasters.com/category/coffee,solvay
Driftaway Coffee,"85 Debevoise Ave, Brooklyn, NY 11222",https://driftaway.coffee/,https://driftaway.coffee/shop-coffee,solvay
Irving Farm Roastery,"6044 NY-22, Millerton, NY 12546",https://irvingfarm.com/pages/the-roastery,https://irvingfarm.com/collections/coffee,solvay
Old Pine Coffee Roasters,"3775 Mall Ave #1, Fayetteville, AR 72703",https://www.oldpinecoffeeroasters.com/,https://www.oldpinecoffeeroasters.com/collections/coffee,fayetteville
Pintail Coffee,"1776 New Hwy, Farmingdale, NY 11735",https://www.pintailcoffee.com/,https://www.pintailcoffee.com/shop/,fayetteville
Ethnos Coffee Roasters,"8817 Chaffee Rd, Arlington, TN 38002",http://www.ethnos.coffee/,http://www.ethnos.coffee/collections/all,fayetteville
North River Roasters,"188 Washington St, Poughkeepsie, NY 12601",http://northriverroasters.com/,http://northriverroasters.com/collections/all,north syracuse
