Name,Address,Original Website,Website,source_city,sub_city,state
Tucson Coffee Roasters,"250 S Craycroft Rd, Tucson, AZ 85711",https://www.tcroasters.com/,https://www.tcroasters.com/online-shop,Tucson,tucson,AZ
Presta Coffee Roaster,"4700 E Sunrise Dr, Tucson, AZ 85718",https://prestacoffee.com/,https://prestacoffee.com/collections/all-products,Tucson,tucson,AZ
Adventure Coffee Roasting,"1117 S Sherwood Village Dr, Tucson, AZ 85710",http://www.adventurecoffeeroasting.com/,http://www.adventurecoffeeroasting.com/collections/shop-all,Tucson,tucson,AZ
Decibel Coffee Works,"2631 E Broadway Blvd, Tucson, AZ 85716",https://decibelcoffeeworks.com/,https://decibelcoffeeworks.com/collections/frontpage,Tucson,tucson,AZ
Blessed Grounds,"902 W Grant Rd, Tucson, AZ 85705",https://blessedgrounds.com/,https://blessedgrounds.com/shop,Tucson,tucson,AZ
Yellow Brick Coffee,"800 N Country Club Rd Ste 3180, Tucson, AZ 85716",http://yellowbrickcoffee.com/,http://yellowbrickcoffee.com/collections/coffee,Tucson,tucson,AZ
Cartel Roasting Co,"2516 N Campbell Ave, Tucson, AZ 85719",http://cartelroasting.co/,https://cartelroasting.co/shop_online/,Tucson,tucson,AZ
Arbuckle Coffee,"3550 E Corporate Dr, Tucson, AZ 85706",http://www.arbucklecoffee.com/,http://www.arbucklecoffee.com/collections/coffee,Tucson,tucson,AZ
Sonoran House,"1610 N Tucson Blvd, Tucson, AZ 85716",https://www.sonoranhouse.com/,https://www.sonoranhouse.com/shop,Tucson,tucson,AZ
Savaya Coffee at the Flin,"108 S Church Ave, Tucson, AZ 85701",http://www.savayacoffee.com/,http://www.savayacoffee.com/,Tucson,tucson,AZ
Oro Valley Coffee Roasting Co.,"15631 N Oracle Rd Suite 179, Catalina, AZ 85739",https://www.ovcoffeeroasters.com/,https://www.ovcoffeeroasters.com/shop,Tucson,tucson,AZ
Exo Roast Co,"403 N 6th Ave #107, Tucson, AZ 85705",http://www.exocoffee.com/,http://www.exocoffee.com/collections/featured,Tucson,tucson,AZ
Ombre Coffee,"2936 E Broadway Blvd, Tucson, AZ 85716",http://www.ombrecoffee.com/,http://www.ombrecoffee.com/shop-1/buttercup,Tucson,tucson,AZ
Ren Coffeehouse,"4300 N Campbell Ave #24, Tucson, AZ 85718",http://rencoffeehouse.com/,https://prestacoffee.com/,Tucson,tucson,AZ
Crave Coffee Bar,"4530 E Broadway Blvd, Tucson, AZ 85711",https://www.cravecoffeebar.com/,https://www.cravecoffeebar.com/shop/coffee,Tucson,tucson,AZ
Cortez Coffee - The Roastery,"1030 E Vista Del Cerro Dr, Tempe, AZ 85281",http://www.cortezcoffee.com/,http://www.cortezcoffee.com/collections/coffee,Tucson,tucson,AZ
The Brew Keeni Coffee Co.,"6401 Marana Center Blvd, Tucson, AZ 85742",https://apps.apple.com/us/app/the-brew-keeni-coffee-co/id6504633092,https://www.crimsoncup.com/,Tucson,marana,AZ
Mai Thai Coffee,"6890 N Camino Martin #130, Tucson, AZ 85741",http://www.maithaicoffee.com/?utm_source=GBP&utm_medium=organic&utm_campaign=primary,http://www.maithaicoffee.com/collections/premium-coffee,Tucson,marana,AZ
Captain Davy's Coffee Roasters,"105 N Litchfield Rd, Goodyear, AZ 85338",https://captaindavyscoffeeroasters.com/contact/,https://captaindavyscoffeeroasters.com/shop/,Tucson,marana,AZ
Southern Bean Coffee Roasters,"1451 South La Cañada Drive, Green Valley, AZ 85622",https://www.southernbeancoffeeroasters.com/contact/,https://www.southernbeancoffeeroasters.com/shop/,Tucson,sahuarita,AZ
Coffee X Change Bistro,"6841 E Camino Principal, Tucson, AZ 85715",http://www.coffee-x-change.com/,https://online.skytab.com/9a49a25d845a483fae4be7e341368e36,Tucson,south tucson,AZ
Vail Mountain Coffee & Tea - Roastery cafe,"23698 US-24, Minturn, CO 81645",http://www.vailcoffee.com/,http://www.vailcoffee.com/collections/all-coffee,Tucson,vail,AZ
WeBe Coffee Roasters,"15244 N Cave Creek Rd, Phoenix, AZ 85032",https://webe.coffee/pages/cave-creek-center-coffee-shop,https://webe.coffee/collections/coffee,Tucson,vail,AZ
Serafina Coffee Roasters,"15414 N 7th St, Phoenix, AZ 85022",https://serafinacoffeeroasters.com/,https://serafinacoffeeroasters.com/,Tucson,vail,AZ
Village Coffee Roastery,"8120 Hayden Rd, Scottsdale, AZ 85258",http://www.villagecoffee.com/,https://villagecoffeeroastery.myshopify.com/,Tucson,vail,AZ
Colorado River Valley Roasters,"1276 Main St Suite F, San Luis, AZ 85349",http://www.crvroasters.com/,http://www.crvroasters.com/,Tucson,vail,AZ
FairyTale Coffee Company,"36128 US-60, Vernon, AZ 85940",https://www.fairytalecoffeeco.com/,https://www.fairytalecoffeeco.com/shop/coffee,Tucson,vail,AZ
Peregrine Coffee Roasters,"102 S 7th St, Westcliffe, CO 81252",https://peregrineroasters.com/,https://peregrineroasters.com/collections/coffee,Tucson,vail,AZ
Peixoto Coffee Roasters,"3150 E Ray Rd suite 100, Gilbert, AZ 85296",https://peixotocoffee.square.site/,https://peixotocoffee.square.site/shop/bagged-coffee/8,Tucson,vail,AZ
Sagebrush Coffee Shop & Roastery,"393 W Warner Rd Suite 121, Chandler, AZ 85225",https://www.sagebrushcoffee.com/,https://www.sagebrushcoffee.com/collections/coffee-beans,Tucson,vail,AZ
The Pinetop Coffee House & Roasting Company,"1684 E White Mountain Blvd Suite 1, Pinetop, AZ 85935",http://www.pinetopcoffeehouse.com/,https://www.pinetopcoffeehouse.com/shop-online,Tucson,catalina foothills,AZ
Espressions Coffee Roastery,"5017 E Washington St STE 103, Phoenix, AZ 85034",http://www.espressions.com/,https://retail.espressions.com/shop,Tucson,drexel heights,AZ
