Name,Address,Website,source_city,sub_city,state,reason
Origin Coffee Company,"210 W Latimer St, Tulsa, OK 74106",https://www.origincoffeeok.com/,Tulsa,tulsa,OK,no_store_page
PonyCoffee,"1623 S Main St, Tulsa, OK 74119",http://ponycoffee.com/,Tulsa,tulsa,OK,no_store_page
Collab Coffee,"4532 E 51st St Suite E, Tulsa, OK 74135",http://www.collaborativeok.com/,Tulsa,tulsa,OK,no_store_page
Foolish Things Coffee Company,"1001 S Main St, Tulsa, OK 74119",http://www.foolishthingscoffee.com/,Tulsa,tulsa,OK,no_shop
Nordaggios Coffee,"8156 S Lewis Ave, Tulsa, OK 74137",http://www.nordaggios.com/,Tulsa,tulsa,OK,no_store_page
Jones Co. Coffee,"2446 E 11th St, Tulsa, OK 74104",http://jonescompanycoffee.org/,Tulsa,tulsa,OK,no_shop
Coffee House on Cherry Street,"1502 E 15th St, Tulsa, OK 74120",https://chocstulsa.com/,Tulsa,tulsa,OK,no_store_page
Paréa Coffee,"10111 E 81st St Suite A, Tulsa, OK 74133",https://www.pareacoffeecompany.com/,Tulsa,tulsa,OK,no_shop
Shades of Brown Coffee & Art,"3302 S Peoria Ave, Tulsa, OK 74105",http://www.shadescoffee.com/,Tulsa,tulsa,OK,no_store_page
Gypsy Coffee House,"303 M.L.K. Jr Blvd, Tulsa, OK 74103",http://www.gypsycoffee.com/,Tulsa,tulsa,OK,no_shop
Sona Coffee,"306 E 1st St, Tulsa, OK 74120",http://www.sonacoffee.net/,Tulsa,tulsa,OK,no_store_page
Brice's Coffee & Bake House,"8929 S Memorial Dr #280, Tulsa, OK 74133",https://bricescoffeeandbake.com/,Tulsa,tulsa,OK,no_shop
Dulce Vida Cafe,"8038 S Yale Ave, Tulsa, OK 74136",https://dulcevidacafe918.square.site/,Tulsa,tulsa,OK,no_store_page
Rocket Brothers,"9705 E 61st St, Tulsa, OK 74133",https://rocketbrothers.com/,Tulsa,tulsa,OK,no_coffee_keywords
Mojo's Mercantile & Coffee House,"407 W A St, Jenks, OK 74037",http://mojosmerc.com/,Tulsa,tulsa,OK,no_store_page
Chimera Cafe,"212 N Main St, Tulsa, OK 74103",http://www.chimeratulsa.com/,Tulsa,tulsa,OK,scrape_failed
Bison Grounds Coffee,"30847 S 4200 Rd, Inola, OK 74036",https://www.bisongroundscoffee.com/,Tulsa,tulsa,OK,no_shop
Matties Coffee Company,"9235 N Pennsylvania Pl, The Village, OK 73120",http://www.mattiescoffee.com/,Tulsa,tulsa,OK,no_store_page
Heirloom Rustic Ales,"2113 E Admiral Blvd, Tulsa, OK 74110",http://www.heirloomrusticales.com/,Tulsa,tulsa,OK,scrape_failed
Arbuckle Craft Coffee & Bagels,"230 W 12th St, Ada, OK 74820",http://arbucklecraftcoffee.com/,Tulsa,tulsa,OK,no_coffee_keywords
Rise Grind & Ride Espresso Cafe/ Wanderlust Roastery,"521 N Main St, Broken Arrow, OK 74012",http://wanderlustroastery.com/,Tulsa,broken arrow,OK,no_store_page
