Name,Address,Original Website,Website,source_city,sub_city,state
Topeca Coffee Roastery,"1229 E Admiral Blvd, Tulsa, OK 74120",http://www.topecacoffee.com/,http://www.topecacoffee.com/collections/coffee,Tulsa,tulsa,OK
DoubleShot Coffee Co,"1633 S Boulder Ave, Tulsa, OK 74119",http://www.doubleshotcoffee.com/,http://www.doubleshotcoffee.com/collections/coffee-beans,Tulsa,tulsa,OK
She Brews Coffee Roasters,"1 N Lewis Ave, Tulsa, OK 74110",https://www.shebrews.org/,https://shebrews.org/product-category/coffee/,Tulsa,tulsa,OK
Coracle Coffee,"314 S Cincinnati Ave, Tulsa, OK 74103",https://www.coracle.coffee/,https://www.coracle.coffee/products/10oz-africa-wholebean,Tulsa,tulsa,OK
Drip City Coffee,"8931 S Yale Ave Suite-P, Tulsa, OK 74137",https://www.dripcitycoffeeco.com/,https://www.dripcitycoffeeco.com/collections/all,Tulsa,tulsa,OK
T3 Coffee Co.,"113 S 11th St, Collinsville, OK 74021",http://t3coffee.com/,http://t3coffee.com/shop,Tulsa,tulsa,OK
Cirque Coffee,"1404 S Utica Ave, Tulsa, OK 74104",http://cirquecoffee.com/,http://cirquecoffee.com/collections/coffee,Tulsa,tulsa,OK
Bru Coffee House,"712 W Main St, Collinsville, OK 74021",http://bruoklahoma.com/,https://order.toasttab.com/online/brucoffeehouse,Tulsa,tulsa,OK
Roots Java,"4870 S Lewis Ave #203, Tulsa, OK 74105",https://www.rootsjava.com/,https://www.rootsjava.com/retail,Tulsa,tulsa,OK
Fulfilled Coffee Lab,"105 S Main St, Owasso, OK 74055",http://www.fulfilledcoffee.com/,http://www.fulfilledcoffee.com/collections/coffee,Tulsa,tulsa,OK
"Rose Rock Coffee, Oklahoma's Coffee","2199 W Choctaw St, Tahlequah, OK 74464",https://www.roserockcoffee.com/,https://www.roserockcoffee.com/,Tulsa,tulsa,OK
Outpost Coffee,"200 E 4th St, Bartlesville, OK 74003",https://outpostcoffeeco.com/,https://outpostcoffeeco.com/collections/all,Tulsa,tulsa,OK
"The Yellow Dog Coffee Company, LLC","222 S Porter Ave, Norman, OK 73071",http://www.yellowdogcoffeecompany.com/,http://www.yellowdogcoffeecompany.com/,Tulsa,tulsa,OK
Kirchen Häus Coffee,"13333 S 193rd E Ave, Broken Arrow, OK 74014",https://www.kirchenhauscoffee.com/,https://www.kirchenhauscoffee.com/collections/all,Tulsa,broken arrow,OK
"Plaid Rooster Coffee Roaster,LLC","Production location only, 919 W Britton Rd Suite B, Oklahoma City, OK 73114",http://plaidroostercoffee.com/,http://plaidroostercoffee.com/shop,Tulsa,broken arrow,OK
Hoboken Coffee Roasters,"224 S Division St, Guthrie, OK 73044",http://www.hoboken.coffee/,http://www.hoboken.coffee/collections/coffee,Tulsa,broken arrow,OK
The Roast Haus Coffee co,"66301 US-60, Wyandotte, OK 74370",https://www.theroasthauscoffeeco.com/,https://shop.app/m/u52cp8frx0,Tulsa,owasso,OK
Gregs Rocking Goat Coffee,"109 US-70, Kingston, OK 73439",http://gregsrockingoat.com/,http://gregsrockingoat.com/,Tulsa,owasso,OK
Ekowah Coffee,"1225 Virginia Short St Bay D, Pawhuska, OK 74056",http://ekowahcoffee.com/,http://ekowahcoffee.com/shop,Tulsa,owasso,OK
Open Flame Coffee Company + Roastery,"307 S Air Depot Blvd, Midwest City, OK 73110",http://www.openflamecoffee.com/,https://ccd3b9-86.myshopify.com/,Tulsa,bixby,OK
Frontier Coffee Roasters,"19037 N Javine Hill Rd, Skiatook, OK 74070",https://www.frontiercoffeeroasters.com/,https://www.frontiercoffeeroasters.com/collections/all,Tulsa,sand springs,OK
Vitruvian Coffee Roasters,"911 W Broadway Ave, Enid, OK 73701",https://www.vitruviancoffeeroastery.com/,https://www.vitruviancoffeeroastery.com/shop,Tulsa,sand springs,OK
Hard Times Coffee Roasters LLC,"8333 S Shields Blvd #A700, Oklahoma City, OK 73149",http://hardtimescoffeeco.com/,https://www.hardtimescoffeeco.com/shop-hard-times-coffe,Tulsa,sand springs,OK
Clarity Coffee,"1801 Wheeler St Suite 170, Oklahoma City, OK 73108",http://www.claritycoffee.com/,http://www.claritycoffee.com/wholebean,Tulsa,claremore,OK
Leap Coffee Roasters,"44 NE 51st St, Oklahoma City, OK 73105",http://leapcoffeeroasters.com/,http://leapcoffeeroasters.com/collections/coffees,Tulsa,claremore,OK
