Name,Address,Website,source_city,sub_city,state,reason
Más Coffee Co,"70 Arthur St suite 100, Winnipeg, MB R3B 1G7",https://www.mascoffee.ca/,Winnipeg,winnipeg,MB,no_store_page
Railway Roasters,"690 Rue St Joseph #305, Winnipeg, MB R2H 3E2",http://www.railwayroasters.com/,Winnipeg,winnipeg,MB,no_store_page
Parlour Coffee,"468 Main St, Winnipeg, MB R3B 1B6",http://www.parlourcoffee.ca/,Winnipeg,winnipeg,MB,no_store_page
Fools & Horses Coffee Company,"1 Forks Market Rd, Winnipeg, MB R3C 4L9",http://foolsandhorses.ca/,Winnipeg,winnipeg,MB,no_shop
Knapsack Coffee,"We’re Mobile Baby! See Instagram for Boler Schedule. Boler currently in hibernation till May 2026. Permanent residency pop-up also at, 116 Sherbrook St, Winnipeg, MB R3C 2B4",https://knapsackcoffee.ca/,Winnipeg,winnipeg,MB,no_store_page
Sunstone Coffee Roastery,"9 Froese Cres, Headingley, MB R4H 1B8",https://www.sunstonecoffee.com/,Winnipeg,winnipeg,MB,no_shop
Seven Café,"745 Wall St, Winnipeg, MB R3G 2T6",http://sevencafe.ca/,Winnipeg,winnipeg,MB,no_shop
Empty Cup,"535 Panet Rd #2, Winnipeg, MB R2C 2Z1",https://www.emptycup.co/,Winnipeg,winnipeg,MB,no_coffee_keywords
Sheepdog Brew Co,"70 S Landing Dr #8, Oak Bluff, MB R4G 0C4",https://sheepdogbrewco.com/,Winnipeg,winnipeg,MB,no_store_page
Sho coffee & bar,"290 William Ave, Winnipeg, MB R3B 0R1",http://www.shocoffeebar.ca/,Winnipeg,winnipeg,MB,no_shop
Mountain Bean Coffee Co,"2001 Henderson Hwy, Winnipeg, MB R2G 1B3",https://www.mountainbeancoffee.com/,Winnipeg,winnipeg,MB,no_store_page
Lavanda,"185 Smith St #3, Winnipeg, MB R3B 2H1",http://www.lavandawpg.com/,Winnipeg,winnipeg,MB,no_store_page
Yellow Derny Café,"433 St Mary's Rd, Winnipeg, MB R2M 3K7",http://yellowdernycafe.ca/,Winnipeg,winnipeg,MB,no_store_page
MAKE Coffee + Stuff,"751 Corydon Ave, Winnipeg, MB R3M 0W5",http://makecoffee.ca/,Winnipeg,winnipeg,MB,no_coffee_keywords
Sam's Place Coffee,"140 Bannatyne Ave #100, Winnipeg, MB R3B 3C5",https://www.samsplacecoffee.com/,Winnipeg,winnipeg,MB,no_store_page
Saintuary Bar & Cafe,"123 James Ave #100, Winnipeg, MB R3B 0N8",https://saintuary.com/,Winnipeg,winnipeg,MB,no_coffee_keywords
Daily Grind Coffee Ltd,"3043 Portage Ave, Winnipeg, MB R3K 0W4",http://www.dailygrindcoffee.ca/,Winnipeg,winnipeg,MB,no_shop
Scout: Coffee + Community,"1199 Rothesay St, Winnipeg, MB R2G 0J7",http://scoutwinnipeg.com/,Winnipeg,winnipeg,MB,no_store_page
San Vito Coffee House,"2293 Portage Ave, Winnipeg, MB R3J 2M9",http://www.sanvitocoffeehouse.com,Winnipeg,winnipeg,MB,no_shop
Beans 2 You,"1, 1596 Regent Ave W SUITE # 125, Winnipeg, MB R2C 3B4",https://www.beans2you.ca/,Winnipeg,winnipeg,MB,no_shop
Destiny Road Coffee Roasters,"8121E 90 Rd N, Gunton, MB R0C 1H0",https://www.destinyroadcoffeeroasters.com/,Winnipeg,winnipeg,MB,no_store_page
Roasted Nomad,"393 Marion St, Winnipeg, MB R2H 0V4",https://theroastednomad.com/,Winnipeg,winnipeg,MB,no_shop
Coffee 24 - Office Coffee Service Winnipeg,"200 Loggerhead Rd, Winnipeg, MB R2V 5H8",http://coffee24.ca/,Winnipeg,winnipeg,MB,no_shop
Forbidden Flavours on 18th,"1060 18th St, Brandon, MB R7A 5C1",http://forbiddenflavourson18th.ca/,Winnipeg,brandon,MB,no_store_page
Cafe Do Good | The Refillery by RENU,"1502 Rosser Ave #5, Brandon, MB R7A 0M6",https://cafedogood.square.site/,Winnipeg,brandon,MB,no_coffee_keywords
O & O Coffee,"130 10th St, Brandon, MB R7A 4E7",http://www.oandods.j2mgt.com/,Winnipeg,brandon,MB,scrape_failed
Hitch + Boler Coffee Roasters & Cafe,"178 Provincial Trunk Hwy 12 Unit 31, Steinbach, MB R5G 1T6",http://www.hitchandboler.com/,Winnipeg,brandon,MB,no_shop
Chez Angela Bakery and Café,"29C 10th St, Brandon, MB R7A 0L3",https://chezangela.ca/,Winnipeg,brandon,MB,no_store_page
Lady of the Lake,"135-B 17th St N, Brandon, MB R7A 1G6",https://www.ladyofthelake.ca/,Winnipeg,brandon,MB,no_store_page
Timber-House Coffee,"279 Main St, Roblin, MB R0L 1P0",http://timber-house-coffee.square.site/,Winnipeg,brandon,MB,scrape_failed
