Name,Address,Original Website,Website,source_city,sub_city,state
Colosimo Coffee Roasters Cafe,"145 Pacific Ave, Winnipeg, MB R3B 1G6",http://www.colosimocoffee.com/,https://www.colosimocoffee.com/category/coffee-beans,Winnipeg,winnipeg,MB
Thom Bargen Coffee Roasters,"64 Sherbrook St, Winnipeg, MB R3C 2B2",http://www.thombargen.com/,http://www.thombargen.com/products/coffee-subscription,Winnipeg,winnipeg,MB
Thousand Hills Coffee Canada,"54 Millfield Dr, Winnipeg, MB R2M 2P1",https://thousandhillscoffee.com/,https://thousandhillscoffee.com/shop,Winnipeg,winnipeg,MB
Espresso Vibe Coffee,"113 St Anne's Rd Unit 102, Winnipeg, MB R3M 2A4",https://www.espressovibe.ca/,https://www.espressovibe.ca/collections/coffee/coffee-beans,Winnipeg,winnipeg,MB
Harrisons Coffee Co,"25 Forks Market Rd, Winnipeg, MB R3C 4Y3",http://www.harrisonscoffeeco.com/,https://www.harrisonscoffeeco.com/shop-1,Winnipeg,winnipeg,MB
Little Sister Coffee Maker,"A, 470 River Ave, Winnipeg, MB R3L 2R4",http://www.littlesistercoffeemaker.ca/,http://www.littlesistercoffeemaker.ca/collections/coffee-beans,Winnipeg,winnipeg,MB
Cornelia Bean,"417 Academy Rd, Winnipeg, MB R3N 0C1",https://www.corneliabean.com/,https://www.corneliabean.com/collections/all-coffee,Winnipeg,winnipeg,MB
Café Postal,"202 Provencher Blvd, Winnipeg, MB R2H 0G3",http://www.cafepostal.ca/,http://www.cafepostal.ca/shop,Winnipeg,winnipeg,MB
Negash Coffee,"40 Drovers Run #2b, Niverville, MB R0A 0A1",http://www.negashcoffee.com/,http://www.negashcoffee.com/collections/ethiopian-coffee-beans,Winnipeg,winnipeg,MB
Flatland Coffee Roasters,"41 Centre St, Gimli, MB R0C 1B0",http://www.flatlandcoffee.com/,http://www.flatlandcoffee.com/collections/coffee,Winnipeg,winnipeg,MB
Forbidden Flavours Roastery,"9 Southview Industrial Park, Brandon, MB R7A 5Y1",http://www.forbiddenflavoursroastery.com/,http://www.forbiddenflavoursroastery.com/,Winnipeg,brandon,MB
Other Brother Coffee Roasters Ltd.,"191 Kimberly Rd, Winkler, MB R6W 4A9",http://www.otherbrotherroasters.com/,http://www.otherbrotherroasters.com/collections/all,Winnipeg,brandon,MB
Van Houtte Coffee Services,"389 Park Ave E Unit 3G, Brandon, MB R7A 7A5",https://www.vhcoffeeservices.com/,https://www.vhcoffeeservices.com/,Winnipeg,brandon,MB
Trail's End Coffee,"5 3rd St W, Elma, MB R0E 0Z0",https://trailsendcoffee.com/,https://trailsendcoffee.com/collections/coffee,Winnipeg,brandon,MB
Waypoint Coffee,"24149 MB-3 #2, Stanley, MB R6P 0H1",https://www.waypointcoffee.ca/,https://waypointroasters.ca,Winnipeg,steinbach,MB
scott creek coffee,"box 322, 2 MB-248, Elie, MB R0H 0H0",https://www.scottcreekroastery.com/?utm_source=google&utm_medium=wix_google_business_profile&utm_campaign=9679696488344519461,https://www.scottcreekroastery.com/shop,Winnipeg,selkirk,MB
Nowhere Craft Chocolate & Coffee Roastery,"166 ON-17, Vermilion Bay, ON P0V 2V0",http://nowherechocolateandcoffee.ca/,http://nowherechocolateandcoffee.ca/,Winnipeg,portage la prairie,MB
