Name,Address,Website,source_city,sub_city,state,reason
New Tradition Co,"5 Harris Ct, Worcester, MA 01608",https://newtraditioncoffee.square.site/,Worcester,worcester,MA,no_store_page
August Coffee,"548 Main St, Worcester, MA 01608",https://august-coffee.com/,Worcester,worcester,MA,no_shop
"Root and Press, LLC","156 Shrewsbury St, Worcester, MA 01604",https://rootandpress.com/,Worcester,worcester,MA,no_store_page
Fuel America Grove Street,"100 Grove St, Worcester, MA 01605",https://www.cafeneelu.com/fuel-grove-st-coffee,Worcester,worcester,MA,no_store_page
Espress Yourself Coffee,"2 Richmond Ave #3, Worcester, MA 01602",http://espress-coffee.keeq.io/,Worcester,worcester,MA,no_shop
InHouse Coffee,"225 Shrewsbury St # C, Worcester, MA 01604",http://www.inhousecoffeema.com/,Worcester,worcester,MA,no_store_page
Sure Shot Coffee Service,"49 Canterbury St Suite 300, Worcester, MA 01610",https://www.sureshotcoffeeservice.com/,Worcester,worcester,MA,no_shop
Bean Counter Bakery Cafe,"270 Grove St, Worcester, MA 01605",http://beancounterbakery.com/,Worcester,worcester,MA,no_store_page
Sweets N' Java,"1059 Main St, Holden, MA 01520",https://sweetsandjava.square.site/,Worcester,worcester,MA,no_store_page
BirchTree Bread Company,"138 Green St #5, Worcester, MA 01604",http://www.birchtreebreadcompany.com/,Worcester,worcester,MA,no_store_page
Garden Fresh Courthouse Cafe,"204 Main St, Worcester, MA 01604",https://www.gfcourthousecafe.com/,Worcester,worcester,MA,no_store_page
The Coffee Loft,"406 Lincoln St # 2, Marlborough, MA 01752",http://www.coffee-loft.com/,Worcester,worcester,MA,no_store_page
Cafe Reyes,"421 Shrewsbury St, Worcester, MA 01609",http://www.cafereyes.org/,Worcester,worcester,MA,no_store_page
Sturbridge Coffee House,"407B Main St, Sturbridge, MA 01566",https://sturbridgecoffeehouse.com/,Worcester,worcester,MA,no_store_page
Crust Artisan Bakeshop,"118 Main Street, 1 West Boylston Street, Worcester, MA 01608",http://www.crustbakeshop.com/,Worcester,worcester,MA,no_store_page
Sudbury Coffee Works,"15 Union Ave, Sudbury, MA 01776",https://www.sudburycoffeeworks.com/,Worcester,worcester,MA,no_store_page
Iron & Fire Coffee Shop in Shrewsbury,"Station Approach, Shrewsbury SY1 2AA, UK",https://ironandfire.co.uk/,Worcester,shrewsbury,MA,no_coffee_keywords
Red Barn Coffee At Angel's Cafe,"285 W Main St, Hopkinton, MA 01748",http://angelsgardenandcafe.com/,Worcester,shrewsbury,MA,no_shop
Old Mill House Coffee,"24 Central Square, Chelmsford, MA 01824",http://oldmillhousecoffee.com/,Worcester,shrewsbury,MA,no_store_page
Cha Cha N Beans,"25 W Main St #2, Westborough, MA 01581",http://www.chachanbeans.com/,Worcester,shrewsbury,MA,no_store_page
Hebert Candies & Gifts,"574 Hartford Tpke, Shrewsbury, MA 01545",http://www.hebertcandies.com/,Worcester,shrewsbury,MA,no_store_page
Odd Meter Coffee Co,"60 Washington St, Salem, MA 01970",https://www.oddmetercoffee.com/,Worcester,shrewsbury,MA,no_store_page
Acton Coffee,"525 Massachusetts Ave #103, Acton, MA 01720",http://www.actoncoffee.com/,Worcester,shrewsbury,MA,no_store_page
Honeysuckle Roastery and Cafe,"21 N Main St, Uxbridge, MA 01569",https://www.honeysuckleroasterycafe.com/,Worcester,auburn,MA,no_store_page
Heritage Coffee Shoppe,"567 Southbridge St # 9, Auburn, MA 01501",https://heritagecoffeeshoppe.com/,Worcester,auburn,MA,no_store_page
Arcade Snacks Fine Nuts & Dried Fruits,"205 Southbridge St, Auburn, MA 01501",http://www.arcadesnacks.com/,Worcester,auburn,MA,no_store_page
fogbustercoffee.com,"47 Silvio O Conte Dr, Greenfield, MA 01301",https://fogbustercoffee.com/,Worcester,auburn,MA,no_store_page
Cake Shop Cafe,"22 A West St, Millbury, MA 01527",http://www.cakeshopcafe.com/,Worcester,auburn,MA,no_store_page
Farmhouse Roasters,"163 Main St Suite 101, Salem, NH 03079",http://www.farmhouseroasters.com/,Worcester,auburn,MA,no_store_page
Half Baked and Fully Roasted,"578 Main St, Oxford, MA 01540",http://halfbakedfullyroasted.com/,Worcester,auburn,MA,no_shop
Wise House Coffee,"15 Friend St, Amesbury, MA 01913",http://wisehousema.com/,Worcester,auburn,MA,scrape_failed
Major League Roast Beef & Wings,"503 Washington St, Auburn, MA 01501",https://www.majorleagueroastbeef.com/,Worcester,auburn,MA,no_store_page
Shake Up,"179 W Boylston St, West Boylston, MA 01583",https://www.shakeup.cafe/,Worcester,west boylston,MA,no_store_page
Gourmet Donuts,"231 W Boylston St, West Boylston, MA 01583",http://www.gourmetdonuts.com,Worcester,west boylston,MA,no_shop
Darby's Bakery,"76 Central St D, West Boylston, MA 01583",https://darbysbakery.com/,Worcester,west boylston,MA,no_shop
Gerardo's Italian Bakery,"339 W Boylston St, West Boylston, MA 01583",http://www.gerardositalianbakery.com/,Worcester,west boylston,MA,no_shop
Golden Grain Artisanal Bread,"238 Sterling Rd, Princeton, MA 01541",http://goldengrainbread.com/,Worcester,holden,MA,no_store_page
Specialty Sandwich Co,"624 Main St, Holden, MA 01520",https://www.specialtysandwich.com/,Worcester,holden,MA,no_coffee_keywords
The Little Coffee Bean,"160 Worcester-Providence Turnpike, Sutton, MA 01590",https://order-sutton.littlecoffeebean.co/,Worcester,grafton,MA,no_shop
Val's Corner Cafe,"79 Worcester St #1R, North Grafton, MA 01536",https://www.valscornercafe.com/,Worcester,grafton,MA,no_store_page
Elms Café & Catering,"5 Jumbo's Path, North Grafton, MA 01536",https://elms-cafe.square.site/,Worcester,grafton,MA,no_shop
Noted Coffee Roasters,"37174 OH-57, Grafton, OH 44044",http://www.notedcoffee.com/,Worcester,grafton,MA,no_shop
Bread Guy Breads LLC,"204 Worcester St, Grafton, MA 01536",https://breadguybreads.com/,Worcester,grafton,MA,no_shop
Soul Fuel Cafe at The United Parish of Upton,"1 Church St, Upton, MA 01568",http://www.soulfuel.org/,Worcester,grafton,MA,no_shop
Saw Dust Coffee House & Dessert Bar,"371 Main St, Sturbridge, MA 01566",http://www.sawdustcoffeehouse.com/,Worcester,grafton,MA,no_shop
The Rose Room Cafe,"4 E Main St, Webster, MA 01570",https://www.theroseroomcafe.com/,Worcester,grafton,MA,no_shop
Lost Shoe Brewing and Roasting Company,"19 Weed St, Marlborough, MA 01752",https://lostshoebrews.com/,Worcester,grafton,MA,no_store_page
Barnes & Noble Cafe,"70 Worcester-Providence Turnpike #531, Millbury, MA 01527",https://www.barnesandnoble.com/h/cafe,Worcester,millbury,MA,scrape_failed
Mykonos Cafe & Bakery,"49 Elm St, Millbury, MA 01527",http://www.mykonosbakery.com/,Worcester,millbury,MA,no_shop
Roccos Doughnut Company,"238 Millbury Ave, Millbury, MA 01527",https://roccosdonuts.square.site/,Worcester,millbury,MA,no_store_page
Kai Mook,"3 Howe Ave, Millbury, MA 01527",http://kaimookmillbury.com/,Worcester,millbury,MA,no_coffee_keywords
Wooden Bakery,"4 Knowlton Ave, Worcester, MA 01603",https://www.wooden.coop/,Worcester,millbury,MA,no_store_page
Emporium Brazil Coffee Shop,"274 Main St, Marlborough, MA 01752",http://www.emporiumbrazilusa.com/,Worcester,millbury,MA,no_store_page
Caffe Artisan Espresso Bar & Coffee Co,"15 Via Toscana Suite 1050, Salem, NH 03079",http://www.thecaffeartisan.com/,Worcester,millbury,MA,no_store_page
Tunic Coffee,"186 Main St, Northampton, MA 01060",https://www.tuniccoffee.com/,Worcester,millbury,MA,no_store_page
L'Artisan Cafe & Bakery,"9 Wayland Ave, Providence, RI 02906",http://www.lartisan-cafe.com/,Worcester,millbury,MA,no_shop
