Name,Address,Original Website,Website,source_city,sub_city,state
Acoustic Java Roastery & Tasting Room,"3 Brussels St, Worcester, MA 01610",https://acousticjava.com/,https://acousticjava.com/,Worcester,worcester,MA
Good As Gold Coffee,"115 Green St, Worcester, MA 01604",http://www.goodasgold.com/,http://www.goodasgold.com/,Worcester,worcester,MA
Armeno Coffee Roasters Ltd,"75 Otis St, Northborough, MA 01532",https://www.armeno.com/,https://www.armeno.com/,Worcester,worcester,MA
Red Barn Coffee Roasters,"7 Walker Dr, Upton, MA 01568",http://www.redbarncoffee.com/,http://www.redbarncoffee.com/,Worcester,worcester,MA
Fuel America,"6 Mercantile St, Worcester, MA 01608",https://www.fuelamericacoffee.com/,https://fuel-america-coffee.myshopify.com,Worcester,worcester,MA
Brilla Coffee - Holden,"1104 Main St, Holden, MA 01520",http://www.brillacoffee.com/,http://www.brillacoffee.com/,Worcester,worcester,MA
Aero Coffee Roasters,"318 Main St, Northborough, MA 01532",https://www.aerocoffeeroasters.com/,https://www.aerocoffeeroasters.com/,Worcester,worcester,MA
Smokestack Roasters,"39 Massachusetts Ave, Lunenburg, MA 01462",http://www.smokestackroasters.com/,http://www.smokestackroasters.com/,Worcester,worcester,MA
Rao's Coffee Roasting Co.,"217-B Russell St, Hadley, MA 01035",http://www.raoscoffee.com/,http://www.raoscoffee.com/,Worcester,worcester,MA
Method Coffee Roasters - Coffee Bar and Roastery,"Method Coffee Roasters, Arch 51 Cherry Tree Walk, Worcester WR1 3BH, UK",https://methodroastery.com/,https://methodroastery.com/,Worcester,worcester,MA
Recreo Coffee & Roasterie,"1876 Centre St, West Roxbury, MA 02132",http://www.recreocoffee.com/,http://www.recreocoffee.com/,Worcester,worcester,MA
Lalajava LLC,"290 W Main St, Northborough, MA 01532",http://www.lalajava.com/,http://www.lalajava.com/,Worcester,worcester,MA
George Howell Coffee Co,"312 School St, Acton, MA 01720",http://www.georgehowellcoffee.com/,http://www.georgehowellcoffee.com/,Worcester,worcester,MA
