Name,Address,Original Website,Website,source_city,sub_city,state
:3Coffee | Flatiron,"29 W 21st St, New York, NY 10010",https://www.3coffeeroasters.com/shop/,https://www.3coffeeroasters.com/product/12oz/,Rochester,Rochester,NY
107 Roasters & Cafe,"512 SW 47th Ave, Amarillo, TX 79110",http://107roasters.com/,https://www.107roasters.com/shop,Austin,pflugerville,TX
14th Coffee Co.,"14451 Concession Rd 14, Essex, ON N8M 2X6",https://linktr.ee/14thCoffeeCo,https://t9amew-k0.myshopify.com/collections/all,Hamilton,grimsby,ON
3rd Wave Coffee Roasters,"215 W King St #3, St. Augustine, FL 32084",https://3rdwavecoffee.com/,https://3rdwavecoffee.com/collections/all,Chicago,Chicago,IL
4th Level Roasters,"381 United Ct #2, Lexington, KY 40509",http://4thlevelroasters.com/,http://4thlevelroasters.com/collections/all,Louisville,Louisville,KY
A Cup of Joy Coffee,"600 Anastasia Blvd, St. Augustine, FL 32080",https://www.acupofjoycoffee.com/,https://www.acupofjoycoffee.com/shop,Jacksonville,Jacksonville,FL
Absolute Bearing Coffee Company,"500 Noank Rd, Mystic, CT 06355",https://www.absolutebearing.coffee/?utm_source=google&utm_medium=wix_google_business_profile&utm_campaign=447864435235872101,https://www.absolutebearing.coffee/shop,Hartford,Hartford,CT
Academy Coffee,"1019 Virginia Ave NE, Atlanta, GA 30306",http://academycoffeeatl.com/,http://academycoffeeatl.com/new-products,Chicago,Oak Park,IL
Ace Coffee Co,"203 Broadway St, Cave City, KY 42127",http://www.acecoffeecafe.com/,http://www.acecoffeecafe.com/store,Louisville,Louisville,KY
ACE Coffee Roasters - West Ritchie,"10055 80 Ave NW, Edmonton, AB T6E 1T4",https://acecoffeeroasters.com/pages/west-ritchie-roastery,https://acecoffeeroasters.com/collections/espresso,Edmonton,edmonton,AB
Addison Coffee Roasters,"15012 Beltway Dr, Addison, TX 75001",http://www.addisoncoffee.com/,https://www.addisoncoffee.com/roasted-coffee/,Austin,round rock,TX
Adieu Roasters,"1408 Appalachian Hwy, Blue Ridge, GA 30513",https://www.adieuroasters.com/,https://www.adieuroasters.com/category/drip,Chattanooga,east ridge,TN
Adirondack Coffee Roasters,"373 State Rte 3 Suite 1, Plattsburgh, NY 12901",http://www.adkcoffeeroasters.com/,http://www.adkcoffeeroasters.com/shop,Rochester,Rochester,NY
Alamo Coffee Company,"1021 Sendero Springs Dr, Round Rock, TX 78681",http://alamocoffee.com/,http://alamocoffee.com/collections/our-roasts,Austin,round rock,TX
Alaska Artisan Coffee,"4576 Glenn Hwy, Palmer, AK 99645",http://www.alaskaartisancoffee.com/,http://www.alaskaartisancoffee.com/products/arctic-wolf-roast,Chicago,Schaumburg,IL
Albunn Coffee House,"333 East Ave, Rochester, NY 14604",https://albunncoffee.com/,https://albunncoffeehouse.cloveronline.com/,Rochester,Rochester,NY
Alchemy Coffee & Bake House,"416 Linden Ave #2845, Wilmette, IL 60091",https://www.alchemycoffeehouse.com/,https://www.alchemycoffeehouse.com/shop,Chicago,Evanston,IL
AlHamawi Roastery & Coffee (Bridgeview),"8417 S Harlem Ave, Bridgeview, IL 60455",https://alhamawiusa.com/pages/order-drinks-pickup,https://alhamawiusa.com/collections/coffee,Chicago,Naperville,IL
Alla Prima Coffee Roaster,"532 W Garden St, Pensacola, FL 32502",http://allaprimacoffee.com/,http://allaprimacoffee.com/shop,Jacksonville,Jacksonville,FL
Allcoffee,"12815 NW 45th Ave #6b, Opa-locka, FL 33054",http://www.allcoffee.com/,http://www.allcoffee.com/collections/products,Jacksonville,Jacksonville,FL
Alta Coffee Roasters,"805 Massachusetts Ave, Arlington, MA 02476",https://altaroasters.com/,https://altaroasters.com/collections/bagged-coffee-beans,Chicago,Arlington Heights,IL
Alternate Route Coffee Co. - Coffee Roasters,"3655 44 Ave E, Edmonton International Airport, AB T9E 0V4",https://alternateroutecoffeeco.ca/,https://alternateroutecoffeeco.ca/category/coffee/,Edmonton,edmonton,AB
Altitude Coffee London,"Unit 2, 190 Hornchurch Rd, Hornchurch RM11 1QL, United Kingdom",https://altitudecoffeelondon.com/,https://altitudecoffeelondon.com/collections/coffee,London,London,ON
Altitude Coffee Roasters,"174 Brant Ave, Brantford, ON N3T 3H9",https://altitudecoffee.ca/,https://www.altitudecoffee.ca/shop/,Hamilton,hamilton,ON
Alvarium Roasting Company at GastroPark,"637 New Park Ave, West Hartford, CT 06110",http://alvariumbeer.com/coffee,https://coffee.alvariumbeer.com/s/shop,Hartford,Hartford,CT
Amity Coffee Co.,"3 Main St, Penn Yan, NY 14527",http://amitycoffee.co/,http://amitycoffee.co/collections/all,Rochester,Rochester,NY
Analog Coffee Bar,"107 E 9th St, Newport, KY 41071",https://www.carabellocoffee.com/pages/analog,https://www.carabellocoffee.com/collections/freshly-roasted-craft-coffee,Louisville,Louisville,KY
Anchored Coffee,"70 Ochterloney St, Dartmouth, NS B2Y 1C2",http://anchoredcoffee.com/,http://anchoredcoffee.com/collections/all-coffee,Halifax,Halifax,NS
Anderson's Coffee Co,"1601 W 38th St, Austin, TX 78731",https://andersonscoffee.com/,https://andersonscoffee.com/product-category/coffee/,Austin,austin,TX
Anecdote Coffee Roasters,"9807 62 Ave NW, Edmonton, AB T6E 0E4",https://www.anecdotecoffee.ca/,https://www.anecdotecoffee.ca/collections/all-coffee,Edmonton,edmonton,AB
Anytime Coffee,"471 Sessions St NW, Marietta, GA 30060",http://anytimecoffee.com/,http://anytimecoffee.com/cat-starbucks-serenade-whole-bean.cfm,Atlanta,Marietta,GA
Apocalypse Coffee Roasters,"454 N Harbor City Blvd, Melbourne, FL 32935",https://apocalypsecoffee.com/,https://apocalypsecoffee.com/collections/coffee,Jacksonville,Jacksonville,FL
Apotheos Roastery,"2871 Cherokee St NW, Kennesaw, GA 30144",https://www.apotheosroastery.com/,https://www.apotheosroastery.com/store,Atlanta,Atlanta,GA
Arcedium Coffeehouse,"60 Indiana St, St. Charles, IL 60174",http://www.arcedium.com/,http://www.arcedium.com/shop,Chicago,Naperville,IL
Archer and Company Roasters,"1720 Petersburg Rd Suite 2, Hebron, KY 41048",https://archerroasters.com/,https://archerroasters.com/collections/coffee,Louisville,Louisville,KY
Archies Coffee Lounge,"301 N LBJ Dr #119, San Marcos, TX 78666",https://archiescoffee.com/,https://shop.archiescoffee.com/,Austin,san marcos,TX
Armadillo Coffee Roasters,"2711 Daisy Dr, Austin, TX 78727",https://www.armadilloroasters.com/,https://armadilloroasters.com/product-category/coffees/,Austin,austin,TX
Aroma Maya Coffee & Donuts Dartmouth,"303 Prince Albert Rd, Dartmouth, NS B2Y 1N1",https://www.aromamayastores.com/,https://www.aromamayacoffee.com/,Halifax,Halifax,NS
Aroma Ridge Coffee Roasters,"1831 W Oak Pkwy # C, Marietta, GA 30062",http://aromaridge.com/,http://aromaridge.com/collections/roasted-coffees,Atlanta,Atlanta,GA
Artessence Coffee Shop,"1505 N Main St, Jacksonville, FL 32206",http://www.artessencecoffee.com/,https://artessence-cafe.square.site/s/shop,Jacksonville,Jacksonville,FL
Artifex Coffee,"1815 Hembree Rd Unit 208, Alpharetta, GA 30009",https://artifexcoffees.com/,https://artifexcoffees.com/collections/all,Atlanta,Atlanta,GA
Artisan Bakery,"864 Dundas St, London, ON N5W 2Z8",http://artisanbakerylondon.com/,https://laschicasdelcafe.com/,London,London,ON
Artisan Coffee,"662 Canton Rd, Akron, OH 44312",http://www.artisancoffee.us/,http://shop.artisancoffee.us,Chicago,Naperville,IL
Artisan Roast Broughton street,"57 Broughton St, Edinburgh EH1 3RJ, United Kingdom",http://www.artisanroast.co.uk/,http://www.artisanroast.co.uk/collections/coffee,Louisville,Louisville,KY
Artisan Roast Coffee Roasters,"4, Peffermill Parc, 25 King's Haugh, Edinburgh EH16 5UY, United Kingdom",http://www.artisanroast.co.uk/,http://www.artisanroast.co.uk/collections/coffee,Chicago,Schaumburg,IL
Artizan Coffee Roasters,"4350 Oakes Rd Suite 518, Davie, FL 33314",https://www.artizancoffee.com/,https://www.artizancoffee.com/collections/beans-ground,Jacksonville,Jacksonville,FL
