Name,domain,Address,Website,source_city,sub_city,state,status,reason
Atlanta Coffee Roasters,atlantacoffeeroasters.com,"2205 Lavista Rd, Atlanta, GA 30329",http://www.atlantacoffeeroasters.com/,Atlanta,Atlanta,GA,accepted,
Belux Coffee Roasters,beluxcoffee.com,"5430 McGinnis Ferry Rd #101B, Alpharetta, GA 30005",http://www.beluxcoffee.com/,Atlanta,Atlanta,GA,accepted,
Coffee That Matters by Phoenix Roasters,phoenixroasters.coffee,"2640 Old Peachtree Rd NW C, Duluth, GA 30097",https://phoenixroasters.coffee/pages/where-to-find-us,Atlanta,Atlanta,GA,accepted,
Postern Coffee,posterncoffee.com,"2421 Van Fleet Cir Suite 124, Doraville, GA 30360",http://posterncoffee.com/,Atlanta,Atlanta,GA,accepted,
Peach Coffee Roasters,peachcoffeeroasters.com,"10875 Jones Bridge Rd #5, Johns Creek, GA 30022",https://www.peachcoffeeroasters.com/,Atlanta,Atlanta,GA,accepted,
Portrait Coffee,portrait.coffee,"1065 Ralph David Abernathy Blvd SW # A, Atlanta, GA 30310",http://portrait.coffee/,Atlanta,Atlanta,GA,accepted,
Elite Roasters of Atlanta,eliteroastersofatlanta.com,"1592 Atlanta Rd SE ste 130A, Marietta, GA 30060",https://eliteroastersofatlanta.com/,Atlanta,Atlanta,GA,accepted,
"Boarding Pass Coffee - Roastery (Milton, GA)",boardingpasscoffee.com,"13695 GA-9 Suite 102, Alpharetta, GA 30004",http://www.boardingpasscoffee.com/,Atlanta,Atlanta,GA,accepted,
East Pole Coffee Co.,eastpole.coffee,"255 Ottley Dr NE #105, Atlanta, GA 30324",http://eastpole.coffee/,Atlanta,Atlanta,GA,accepted,
Flow Coffee Roasters,flowcoffeeatl.com,"3172 E Ponce de Leon Ave, Scottdale, GA 30079",https://www.flowcoffeeatl.com/,Atlanta,Atlanta,GA,accepted,
Con Leche Coffee,conleche.com,"181 Flat Shoals Ave SE Unit 1, Atlanta, GA 30316",https://www.conleche.com/,Atlanta,Atlanta,GA,accepted,
Prevail Union | ATL,prevailcoffee.com,"1050 Howell Mill Rd NW, Atlanta, GA 30318",http://www.prevailcoffee.com/,Atlanta,Atlanta,GA,accepted,
Bellwood Coffee - East Atlanta Village,bellwoodcoffee.com,"1336 Glenwood Ave SE, Atlanta, GA 30316",http://bellwoodcoffee.com/,Atlanta,Atlanta,GA,accepted,
Valor Coffee,valor.coffee,"44 Milton Ave, Alpharetta, GA 30009",http://valor.coffee/,Atlanta,Atlanta,GA,accepted,
Aroma Ridge Coffee Roasters,aromaridge.com,"1831 W Oak Pkwy # C, Marietta, GA 30062",http://aromaridge.com/,Atlanta,Atlanta,GA,accepted,
San Francisco Coffee Roasting Company,sanfranciscocoffeeroastingco.com,"1192 N Highland Ave NE, Atlanta, GA 30306",https://www.sanfranciscocoffeeroastingco.com/,Atlanta,Atlanta,GA,accepted,
Chrome Yellow,chrome-yellow.com,"501 Edgewood Ave SE, Atlanta, GA 30312",https://chrome-yellow.com/,Atlanta,Atlanta,GA,accepted,
