Name,Address,Original Website,Website,source_city,sub_city,state
Texas Coffee Traders Roastery,"5815 Wilcab Rd, Austin, TX 78721",https://www.texascoffeetraders.com/,https://www.texascoffeetraders.com/products,austin,Austin,TX
Flat Track Coffee,"1619 E Cesar Chavez St, Austin, TX 78702",http://flattrackcoffee.com/,http://flattrackcoffee.com/collections/all-coffee,austin,Austin,TX
Rising Tide Roast Co,"1606 W Stassney Ln #2, Austin, TX 78745",http://www.risingtideroastcollab.com/,https://www.orgullocoffee.com/,austin,Austin,TX
Armadillo Coffee Roasters,"2711 Daisy Dr, Austin, TX 78727",https://www.armadilloroasters.com/,https://armadilloroasters.com/product-category/coffees/,austin,Austin,TX
Flora Coffee & Culture,"3300 W Anderson Ln. Suite 300, Austin, TX 78757",http://floracoffee.co/,http://floracoffee.co/store,austin,Austin,TX
Figure 8 Coffee Purveyors Cafe & Roastery,"1111 Chicon St, Austin, TX 78702",http://www.figure8coffeepurveyors.com/,http://www.figure8coffeepurveyors.com/collections/roasted-coffee,austin,Austin,TX
Anderson's Coffee Co,"1601 W 38th St, Austin, TX 78731",https://andersonscoffee.com/,https://andersonscoffee.com/product-category/coffee/,austin,Austin,TX
Neighbor Coffee & Friends - Burnet,"5000 Burnet Rd, Austin, TX 78756",http://www.neighborcoffee.co/,https://neighborcoffee.square.site/,austin,Austin,TX
Third Coast Coffee,"10515 Old Manchaca Rd, Austin, TX 78748",http://www.thirdcoastcoffee.com/,http://www.thirdcoastcoffee.com/collections/all,austin,Austin,TX
Wild Gift Coffee (fresh roasted coffee),"3100 A Industrial Terrace, Austin, TX 78758",http://www.wildgiftcoffee.com/,https://wildgiftcoffee.com/coffee/,austin,Austin,TX
Creature Coffee Catering,"2500 S Hwy 183 Bldg 2, Unit 240, Austin, TX 78744",https://creaturecoffee.co/,https://creaturecoffee.co/collections/coffee,austin,Austin,TX
Greater Goods Roasting Co.,"160 McGregor Ln, Dripping Springs, TX 78620",https://greatergoodsroasting.com/,https://greatergoodsroasting.com/collections/all-coffee,austin,Austin,TX
Spokesman Coffee,"440 E St Elmo Rd A2, Austin, TX 78745",http://www.spokesmancoffee.com/,https://spokesmancoffee.myshopify.com/collections,austin,Austin,TX
Talisman Coffee Co.,"5811 Manor Rd, Austin, TX 78723",https://www.talismancoffeeco.com/?fbclid=PAZXh0bgNhZW0CMTEAAaZh9Lkn2gZv4BemNqFXsGv7kREsI9bJb5Xp3ijqy4MPVYsN5UCTNct6XE0_aem_9m0hJCUmlLIeK_YzDNNnYQ,https://www.talismancoffeeco.com/store-1,austin,Austin,TX
Sightseer Coffee Bar,"1905 S 1st St, Austin, TX 78704",https://www.sightseercoffee.co/,https://www.sightseercoffee.co/collections/frontpage,austin,Austin,TX
Tiny House Coffee Roasters,"120 Precision Dr, Buda, TX 78610",http://www.tinyhousecoffeeroasters.com/,http://www.tinyhousecoffeeroasters.com/collections/coffee,austin,Austin,TX
Malone Specialty Coffee,"14735 Bratton Ln #210, Austin, TX 78728",http://www.malonecoffee.com/,http://store.malonecoffee.com,austin,Austin,TX
Desnudo Coffee: East Austin,"2505 Webberville Rd, Austin, TX 78702",http://www.desnudocoffee.com/,http://www.desnudocoffee.com/collections/coffee-beans,austin,Austin,TX
Austin Roasting Company,"962 State Hwy 71 Bldg 3, Bastrop, TX 78602",http://www.austinroastingcompany.com/,http://www.austinroastingcompany.com/pages/coffee,austin,Austin,TX
Fleet Coffee,"2427 Webberville Rd, Austin, TX 78702",http://www.fleetcoffee.com/,http://www.sweetbloomcoffee.com,austin,Austin,TX
Texas Coffee Works,"962 State Hwy 71 #103, Bastrop, TX 78602",https://texascoffeeworks.com/,https://texascoffeeworks.com/collections/signature-blends,austin,Austin,TX
Merit Coffee,"222 West Ave #120, Austin, TX 78701",http://www.meritcoffee.com/,http://www.meritcoffee.com/collections/coffee,austin,Austin,TX
Little City Coffee Roasters,"9709 Brown Ln suite f, Austin, TX 78754",http://littlecity.com/,https://littlecity.com/shop/,austin,Austin,TX
Palomino Coffee Roasters,"2023 Airport Blvd, Austin, TX 78722",https://palominocoffee.com/,https://palominocoffee.com/collections/coffee,austin,Austin,TX
