Name,Address,Original Website,Website,source_city,sub_city,state
Atlanta Coffee Roasters,"2205 Lavista Rd, Atlanta, GA 30329",http://www.atlantacoffeeroasters.com/,https://atlantacoffeeroasters.com/single-origin-c45708300,Atlanta,Atlanta,GA
Belux Coffee Roasters,"5430 McGinnis Ferry Rd #101B, Alpharetta, GA 30005",http://www.beluxcoffee.com/,https://www.beluxcoffee.com/shop,Atlanta,Atlanta,GA
Coffee That Matters by Phoenix Roasters,"2640 Old Peachtree Rd NW C, Duluth, GA 30097",https://phoenixroasters.coffee/pages/where-to-find-us,https://phoenixroasters.coffee/collections/coffee,Atlanta,Atlanta,GA
Postern Coffee,"2421 Van Fleet Cir Suite 124, Doraville, GA 30360",http://posterncoffee.com/,http://posterncoffee.com/collections/coffee,Atlanta,Atlanta,GA
Peach Coffee Roasters,"10875 Jones Bridge Rd #5, Johns Creek, GA 30022",https://www.peachcoffeeroasters.com/,https://www.peachcoffeeroasters.com/collections/coffee,Atlanta,Atlanta,GA
Portrait Coffee,"1065 Ralph David Abernathy Blvd SW # A, Atlanta, GA 30310",http://portrait.coffee/,http://portrait.coffee/collections/coffee-bags,Atlanta,Atlanta,GA
Elite Roasters of Atlanta,"1592 Atlanta Rd SE ste 130A, Marietta, GA 30060",https://eliteroastersofatlanta.com/,https://eliteroastersofatlanta.com/collections/coffee,Atlanta,Atlanta,GA
"Boarding Pass Coffee - Roastery (Milton, GA)","13695 GA-9 Suite 102, Alpharetta, GA 30004",http://www.boardingpasscoffee.com/,http://www.boardingpasscoffee.com/collections/full-selection,Atlanta,Atlanta,GA
East Pole Coffee Co.,"255 Ottley Dr NE #105, Atlanta, GA 30324",http://eastpole.coffee/,http://eastpole.coffee/collections/coffee,Atlanta,Atlanta,GA
Flow Coffee Roasters,"3172 E Ponce de Leon Ave, Scottdale, GA 30079",https://www.flowcoffeeatl.com/,https://www.flowcoffeeatl.com/shop,Atlanta,Atlanta,GA
Con Leche Coffee,"181 Flat Shoals Ave SE Unit 1, Atlanta, GA 30316",https://www.conleche.com/,https://radioroasters.com/?utm_source=conleche-website,Atlanta,Atlanta,GA
Prevail Union | ATL,"1050 Howell Mill Rd NW, Atlanta, GA 30318",http://www.prevailcoffee.com/,http://www.prevailcoffee.com/collections/all-coffees,Atlanta,Atlanta,GA
Bellwood Coffee - East Atlanta Village,"1336 Glenwood Ave SE, Atlanta, GA 30316",http://bellwoodcoffee.com/,http://bellwoodcoffee.com/collections/coffee,Atlanta,Atlanta,GA
Valor Coffee,"44 Milton Ave, Alpharetta, GA 30009",http://valor.coffee/,http://valor.coffee/shop/coffee,Atlanta,Atlanta,GA
Aroma Ridge Coffee Roasters,"1831 W Oak Pkwy # C, Marietta, GA 30062",http://aromaridge.com/,http://aromaridge.com/collections/roasted-coffees,Atlanta,Atlanta,GA
San Francisco Coffee Roasting Company,"1192 N Highland Ave NE, Atlanta, GA 30306",https://www.sanfranciscocoffeeroastingco.com/,https://www.sanfranciscocoffeeroastingco.com/collections/coffee-and-subscriptions,Atlanta,Atlanta,GA
Chrome Yellow,"501 Edgewood Ave SE, Atlanta, GA 30312",https://chrome-yellow.com/,https://chrome-yellow.com/collections/coffee,Atlanta,Atlanta,GA
Foxtail Coffee Co.- Buckhead,"3699 Lenox Rd NE Suite 1, Atlanta, GA 30305",https://www.foxtailcoffee.com/locations/foxtail-coffee-buckhead,https://shop.foxtailcoffee.com/collections/coffee,Atlanta,Atlanta,GA
Firelight Coffee Roasters,"3800 Wendell Dr SW #105, Atlanta, GA 30336",https://firelightcoffee.com/,https://firelightcoffee.com/collections/coffee,Atlanta,Atlanta,GA
Rev Coffee,"1680 Spring Rd SE B, Smyrna, GA 30080",http://www.revcoffee.com/,http://www.revcoffee.com/collections/coffee,Atlanta,Atlanta,GA
Two Jays Coffee Roasters,"1341 Capital Cir # C, Marietta, GA 30067",http://www.twojayscoffee.com/,https://www.twojayscoffee.com/roasted-coffee,Atlanta,Atlanta,GA
Rex Coffee Roasters,"1435 Bluegrass Lakes Pkwy Suite 160, Alpharetta, GA 30004",https://rexcoffee.com/,https://rexcoffee.com/shop/,Atlanta,Atlanta,GA
Café Clément,"1438 Canton Rd, Marietta, GA 30066",http://www.cafeclement.com/,http://www.cafeclement.com/shopcoffee,Atlanta,Atlanta,GA
Apotheos Roastery,"2871 Cherokee St NW, Kennesaw, GA 30144",https://www.apotheosroastery.com/,https://www.apotheosroastery.com/store,Atlanta,Atlanta,GA
Radio Roasters Coffee,"2969 E Ponce de Leon Ave Suite 320, Decatur, GA 30030",http://radioroasters.com/,http://radioroasters.com/collections/all-coffees,Atlanta,Atlanta,GA
Refuge Coffee Co. Clarkston,"4170 E Ponce de Leon Ave NE, Clarkston, GA 30021",http://www.refugecoffeeco.com/,https://shop.refugecoffeeco.com,Atlanta,Atlanta,GA
Kin Coffee Co.,"5352 Peachtree Rd, Chamblee, GA 30341",https://www.kincoffeeco.com/,https://www.kincoffeeco.com/store,Atlanta,Atlanta,GA
Warm Waves Coffee House,"52-A S Main St, Alpharetta, GA 30009",https://warmwavescoffee.com/,https://warmwavescoffee.com/collections/coffee,Atlanta,Atlanta,GA
FiNCA TO FiLTER O4W,"652 Angier Ave NE Suite A, Atlanta, GA 30308",https://www.finca.coffee/,https://www.finca.coffee/shop,Atlanta,Atlanta,GA
Summit Coffee Roswell,"585 Atlanta St, Roswell, GA 30075",https://www.summitcoffee.com/roswell,https://www.summitcoffee.com/shopcoffee,Atlanta,Atlanta,GA
Artifex Coffee,"1815 Hembree Rd Unit 208, Alpharetta, GA 30009",https://artifexcoffees.com/,https://artifexcoffees.com/collections/all,Atlanta,Atlanta,GA
Lucky Goat Coffee - Dunwoody Park,"Dunwoody Park Suite 300, Dunwoody, GA 30338",https://luckygoatcoffee.com/pages/dunwoody-park,https://luckygoatcoffee.com/collections/single-origin-coffee,Atlanta,Atlanta,GA
RAANI COFFEE ROASTERS,"720 Moreland Ave SE Ste B, Atlanta, GA 30316",http://www.raanicoffee.com/,http://www.raanicoffee.com/collections/all,Atlanta,Atlanta,GA
Volcanica Coffee,"4110 Tench Rd Suite H, Suwanee, GA 30024",https://volcanicacoffee.com/,https://volcanicacoffee.com/collections/all-coffees,Atlanta,Atlanta,GA
Dancing Goats Coffee Decatur,"419 W Ponce de Leon Ave, Decatur, GA 30030",https://www.dancinggoats.com/pages/dancing-goats-coffee-bar,https://www.dancinggoats.com/collections/coffee,Decatur,Atlanta,GA
