Name,Address,Website,source_city,reason
Goodman Coffee Roasters - St. Elmo,"3913 St Elmo Ave Suite B, Chattanooga, TN 37409",http://www.goodmancoffeeroasters.com/,chattanooga,no_shop
Trail Town Coffee,"225 Broad St, Chattanooga, TN 37402",https://www.trailtowncoffee.com/,chattanooga,no_coffee_keywords
Chattanooga Coffee Company / Chattz,"2627 Broad St, Chattanooga, TN 37408",http://chattanoogacoffeecompany.com/,chattanooga,no_shop
Stone Cup Cafe,"208 Frazier Ave, Chattanooga, TN 37405",http://www.stonecupcafe.com/,chattanooga,no_shop
Sleepyhead Coffee (Main+Dodds),"2602 E Main St, Chattanooga, TN 37404",https://www.sleepyhead.coffee/,chattanooga,no_shop
Lola Beans Coffee - Chattanooga,"1105 McDonald Dr, Chattanooga, TN 37421",http://lolabeans.com/,chattanooga,no_shop
The Livingstone At Amani Chattanooga,"420 S Willow St, Chattanooga, TN 37404",http://thelivingstonecafe.org/,chattanooga,no_shop
Be Caffeinated,"14 W Kent St, Chattanooga, TN 37405",https://www.becaffcoffee.com/,chattanooga,no_shop
Provisions,"102 Walnut St, Chattanooga, TN 37402",https://www.theedwinhotel.com/provisions,chattanooga,no_shop
Hungry Mother,"825 Houston St, Chattanooga, TN 37403",https://hungrymothertn.com/,chattanooga,no_shop
Sunnyside Cup | Local Coffee | Drive-Thru Coffee,"3008 Broad St, Chattanooga, TN 37408",https://sunnysidecupchatt.com/#coffee-to-go,chattanooga,no_shop
Oaks Coffee House,"2916 Silverdale Rd, Chattanooga, TN 37421",https://www.oakscoffee.com/,chattanooga,no_shop
WFM Coffee Bar,"301 Manufacturers Rd, Chattanooga, TN 37405",http://www.wholefoodsmarket.com/stores/chattanooga?utm_source=google&utm_medium=organic&utm_campaign=listings,chattanooga,no_coffee_keywords
Red Owl Coffee Company,"7737 E Brainerd Rd, Chattanooga, TN 37421",https://www.redowlcoffee.com/locations/east-brainerd/,chattanooga,no_shop
First Bloom Coffee and Bakery,"445 Church St SE, Cleveland, TN 37311",http://firstbloomcoffee.com/,chattanooga,no_shop
Tri-State Coffee,"3306 Dodds Ave, Chattanooga, TN 37407",http://www.tristatecoffee.com/,chattanooga,no_shop
Mayfly Coffee,"708 Mississippi Ave, Signal Mountain, TN 37377",http://mayflycoffee.com/,chattanooga,no_store_page
Together Cafe,"801 S Orchard Knob Ave, Chattanooga, TN 37404",https://thetogethercafe.org/,chattanooga,no_shop
Niedlov's Cafe & Bakery,"215 E Main St, Chattanooga, TN 37408",http://niedlovs.com/,chattanooga,no_coffee_keywords
Canopy Coffee and Wine Bar,"814 Scenic Hwy, Lookout Mountain, TN 37350",http://www.canopylkt.com/,chattanooga,no_shop
Milk & Honey,"135 N Market St, Chattanooga, TN 37405",https://www.milkandhoneychattanooga.com/,chattanooga,no_shop
Dutch Bros Coffee,"7961 E Brainerd Rd, Chattanooga, TN 37421",https://www.dutchbros.com/locations/tn/chattanooga/7961-e-brainerd-rd?y_source=1_MTA2MzgxODk2Ni03MTUtbG9jYXRpb24ud2Vic2l0ZQ%3D%3D,chattanooga,no_shop
Home,"409 Market St, Chattanooga, TN 37402",https://homebarchatt.com/,chattanooga,no_shop
Honey Seed,"1705 Market St Suite 105, Chattanooga, TN 37408",https://www.honeyseedchatt.com/,chattanooga,no_shop
MOE'S REAL BBQ SF MARKET,"1207 Dodds Ave, Chattanooga, TN 37404",http://realbbq.com/,chattanooga,scrape_failed
Good Kinsmen,"521 Cherokee Blvd., Chattanooga, TN 37405",http://www.goodkinsmen.com/,chattanooga,no_coffee_keywords
Bread and Butter,"3955 Dayton Blvd, Chattanooga, TN 37415",http://butterthebread.com/,chattanooga,no_shop
FarmToMed,"502 N Market St #110, Chattanooga, TN 37405",https://www.farmtomed.com/,chattanooga,no_shop
Zarzour's,"1627 Rossville Ave, Chattanooga, TN 37408",https://www.facebook.com/zarzourscafe/,chattanooga,no_shop
