Name,Address,Original Website,Website,source_city
Atlanta Coffee Roasters,"2205 Lavista Rd, Atlanta, GA 30329",http://www.atlantacoffeeroasters.com/,https://atlantacoffeeroasters.com/single-origin-c45708300,Atlanta
Belux Coffee Roasters,"5430 McGinnis Ferry Rd #101B, Alpharetta, GA 30005",http://www.beluxcoffee.com/,https://www.beluxcoffee.com/shop,Atlanta
Coffee That Matters by Phoenix Roasters,"2640 Old Peachtree Rd NW C, Duluth, GA 30097",https://phoenixroasters.coffee/pages/where-to-find-us,https://phoenixroasters.coffee/collections/coffee,Atlanta
Postern Coffee,"2421 Van Fleet Cir Suite 124, Doraville, GA 30360",http://posterncoffee.com/,http://posterncoffee.com/collections/coffee,Atlanta
Peach Coffee Roasters,"10875 Jones Bridge Rd #5, Johns Creek, GA 30022",https://www.peachcoffeeroasters.com/,https://www.peachcoffeeroasters.com/collections/coffee,Atlanta
Portrait Coffee,"1065 Ralph David Abernathy Blvd SW # A, Atlanta, GA 30310",http://portrait.coffee/,http://portrait.coffee/collections/coffee-bags,Atlanta
Elite Roasters of Atlanta,"1592 Atlanta Rd SE ste 130A, Marietta, GA 30060",https://eliteroastersofatlanta.com/,https://eliteroastersofatlanta.com/collections/coffee,Atlanta
"Boarding Pass Coffee - Roastery (Milton, GA)","13695 GA-9 Suite 102, Alpharetta, GA 30004",http://www.boardingpasscoffee.com/,http://www.boardingpasscoffee.com/collections/full-selection,Atlanta
East Pole Coffee Co.,"255 Ottley Dr NE #105, Atlanta, GA 30324",http://eastpole.coffee/,http://eastpole.coffee/collections/coffee,Atlanta
Flow Coffee Roasters,"3172 E Ponce de Leon Ave, Scottdale, GA 30079",https://www.flowcoffeeatl.com/,https://www.flowcoffeeatl.com/shop,Atlanta
Con Leche Coffee,"181 Flat Shoals Ave SE Unit 1, Atlanta, GA 30316",https://www.conleche.com/,https://radioroasters.com/?utm_source=conleche-website,Atlanta
Prevail Union | ATL,"1050 Howell Mill Rd NW, Atlanta, GA 30318",http://www.prevailcoffee.com/,http://www.prevailcoffee.com/collections/all-coffees,Atlanta
Bellwood Coffee - East Atlanta Village,"1336 Glenwood Ave SE, Atlanta, GA 30316",http://bellwoodcoffee.com/,http://bellwoodcoffee.com/collections/coffee,Atlanta
Valor Coffee,"44 Milton Ave, Alpharetta, GA 30009",http://valor.coffee/,http://valor.coffee/shop/coffee,Atlanta
Aroma Ridge Coffee Roasters,"1831 W Oak Pkwy # C, Marietta, GA 30062",http://aromaridge.com/,http://aromaridge.com/collections/roasted-coffees,Atlanta
San Francisco Coffee Roasting Company,"1192 N Highland Ave NE, Atlanta, GA 30306",https://www.sanfranciscocoffeeroastingco.com/,https://www.sanfranciscocoffeeroastingco.com/collections/coffee-and-subscriptions,Atlanta
Chrome Yellow,"501 Edgewood Ave SE, Atlanta, GA 30312",https://chrome-yellow.com/,https://chrome-yellow.com/collections/coffee,Atlanta
Foxtail Coffee Co.- Buckhead,"3699 Lenox Rd NE Suite 1, Atlanta, GA 30305",https://www.foxtailcoffee.com/locations/foxtail-coffee-buckhead,https://shop.foxtailcoffee.com/collections/coffee,Atlanta
Firelight Coffee Roasters,"3800 Wendell Dr SW #105, Atlanta, GA 30336",https://firelightcoffee.com/,https://firelightcoffee.com/collections/coffee,Atlanta
Rev Coffee,"1680 Spring Rd SE B, Smyrna, GA 30080",http://www.revcoffee.com/,http://www.revcoffee.com/collections/coffee,Atlanta
Two Jays Coffee Roasters,"1341 Capital Cir # C, Marietta, GA 30067",http://www.twojayscoffee.com/,https://www.twojayscoffee.com/roasted-coffee,Atlanta
Rex Coffee Roasters,"1435 Bluegrass Lakes Pkwy Suite 160, Alpharetta, GA 30004",https://rexcoffee.com/,https://rexcoffee.com/shop/,Atlanta
Café Clément,"1438 Canton Rd, Marietta, GA 30066",http://www.cafeclement.com/,http://www.cafeclement.com/shopcoffee,Atlanta
Apotheos Roastery,"2871 Cherokee St NW, Kennesaw, GA 30144",https://www.apotheosroastery.com/,https://www.apotheosroastery.com/store,Atlanta
Radio Roasters Coffee,"2969 E Ponce de Leon Ave Suite 320, Decatur, GA 30030",http://radioroasters.com/,http://radioroasters.com/collections/all-coffees,Atlanta
Refuge Coffee Co. Clarkston,"4170 E Ponce de Leon Ave NE, Clarkston, GA 30021",http://www.refugecoffeeco.com/,https://shop.refugecoffeeco.com,Atlanta
Kin Coffee Co.,"5352 Peachtree Rd, Chamblee, GA 30341",https://www.kincoffeeco.com/,https://www.kincoffeeco.com/store,Atlanta
Warm Waves Coffee House,"52-A S Main St, Alpharetta, GA 30009",https://warmwavescoffee.com/,https://warmwavescoffee.com/collections/coffee,Atlanta
FiNCA TO FiLTER O4W,"652 Angier Ave NE Suite A, Atlanta, GA 30308",https://www.finca.coffee/,https://www.finca.coffee/shop,Atlanta
Summit Coffee Roswell,"585 Atlanta St, Roswell, GA 30075",https://www.summitcoffee.com/roswell,https://www.summitcoffee.com/shopcoffee,Atlanta
Artifex Coffee,"1815 Hembree Rd Unit 208, Alpharetta, GA 30009",https://artifexcoffees.com/,https://artifexcoffees.com/collections/all,Atlanta
Lucky Goat Coffee - Dunwoody Park,"Dunwoody Park Suite 300, Dunwoody, GA 30338",https://luckygoatcoffee.com/pages/dunwoody-park,https://luckygoatcoffee.com/collections/single-origin-coffee,Atlanta
RAANI COFFEE ROASTERS,"720 Moreland Ave SE Ste B, Atlanta, GA 30316",http://www.raanicoffee.com/,http://www.raanicoffee.com/collections/all,Atlanta
Volcanica Coffee,"4110 Tench Rd Suite H, Suwanee, GA 30024",https://volcanicacoffee.com/,https://volcanicacoffee.com/collections/all-coffees,Atlanta
Dancing Goats Coffee Decatur,"419 W Ponce de Leon Ave, Decatur, GA 30030",https://www.dancinggoats.com/pages/dancing-goats-coffee-bar,https://www.dancinggoats.com/collections/coffee,Decatur
ChocoLaté Coffee,"2094 N Decatur Rd, Decatur, GA 30033",http://www.mychocolatecoffee.com/,https://www.shopmychocolatecoffee.com/,Decatur
PERC,"2380 Hosea L Williams Dr NE, Atlanta, GA 30317",http://perccoffee.com/,http://perccoffee.com/collections/coffee,Decatur
The River Coffee Company,"101 N Main St, Decatur, IL 62523",http://rivercoffee.co/,https://www.rivercoffee.co/shop/coffee-beans/,Decatur
Depot by Kaldi's Coffee,"1 Eagle Row, Atlanta, GA 30322",http://kaldiscoffee.com/pages/the-depot,http://kaldiscoffee.com/collections/coffee,Decatur
Marquis Coffee Roasters,"1234 W Cerro Gordo St, Decatur, IL 62522",https://marquisbeverage.com/,https://marquisbeverage.com/collections/all,Decatur
Try-Me Coffee Roasters,"1014 France St, New Orleans, LA 70117",http://trymecoffeeroasters.com/,http://trymecoffeeroasters.com/collections/all,Decatur
River Roasters Coffee Company,"102 W Main St, Pomeroy, OH 45769",http://riverroasters.co/,http://riverroasters.co/shop,Decatur
Voltage Coffee Project,"110 N Trinity St, Decatur, TX 76234",https://voltagecoffeeproject.com/,https://voltagecoffeeproject.com/collections/single-origin-coffees,Decatur
Domestique Coffee Roaster - (NOT A COFFEE SHOP) Production Facility,"3017 6th Ave S, Birmingham, AL 35233",https://domestiquecoffee.com/,https://domestiquecoffee.com/collections/single-origin-coffee,Decatur
Anytime Coffee,"471 Sessions St NW, Marietta, GA 30060",http://anytimecoffee.com/,http://anytimecoffee.com/cat-starbucks-serenade-whole-bean.cfm,Marietta
COF& Specialty Coffee Shop,"1600 Kennesaw Due West Rd NW #307, Kennesaw, GA 30152",https://colcofy.com/,https://colcofy.com/collections/shop,Marietta
Scooter's Coffee,"2943 Canton Rd #1600, Marietta, GA 30066",https://scooterscoffee.com/,https://www.scooterscoffee.com/shop/at-home-coffee,Marietta
Joe's Coffee House,"1831 W Oak Pkwy # C, Marietta, GA 30062",http://joescoffeehouse.com/,http://joescoffeehouse.com/collections/regular-coffee,Marietta
Cips Coffee Roasters,"2780 W Village Dr Suite B, Suwanee, GA 30024",http://www.cipscoffeeroasters.com/,https://cipscoffeeroasters.com/buy-coffee/,Alpharetta
Thrive Farmers International,"215 Hembree Park Dr # 100, Roswell, GA 30076",https://thrivefarmers.com/,https://thrivefarmers.com/thrivestore/coffee,Alpharetta
Brash Coffee,"6290 Halcyon Way, Alpharetta, GA 30005",https://brashcoffee.com/,https://brashcoffee.com/collections/coffee,Alpharetta
Kava Coffee Company,"1435 Bluegrass Lakes Pkwy Suite 120, Alpharetta, GA 30004",https://kavacoffee.com/,https://kavacoffee.com/shop/,Alpharetta
The Human Bean,"2000 Holcomb Bridge Rd, Roswell, GA 30076",https://thehumanbean.com/blogs/stores/ga-roswell-holcomb-bridge-road,https://thehumanbean.com/collections,Alpharetta
Degenerate Coffee Co.,"304 N Richardson Ave, Roswell, NM 88201",https://www.degeneratecoffee.com/,https://www.degeneratecoffee.com/shop,Roswell
King Krane Coffee Co.,"300 Colonial Center Pkwy, Roswell, GA 30076",http://kingkranecoffee.co/,http://kingkranecoffee.co/collections/coffee,Roswell
Blue Donkey Coffee,"3280 Peachtree Rd NE #140b, Atlanta, GA 30305",https://www.bluedonkeycoffee.com/buckhead,https://www.bluedonkeycoffee.com/shop,Buckhead
Magnífico Coffee Roasters & Coffee Shop,"3063 N Milwaukee Ave, Chicago, IL 60618",https://www.magnificocoffee.com/,https://www.magnificocoffee.com/collections/coffee,Chicago
Coffee Lab & Roasters,"2823 N Lincoln Ave, Chicago, IL 60657",http://coffeelablakeview.com/,https://www.bcbccoffeeroasters.com/shop,Chicago
Dark Matter Coffee - The Mothership,"738 N Western Ave, Chicago, IL 60612",http://www.darkmattercoffee.com/,http://www.darkmattercoffee.com/collections/coffee,Chicago
Hexe Coffee Co.,"2000 W Diversey Pkwy, Chicago, IL 60614",http://hexecoffee.com/,http://hexecoffee.com/store,Chicago
Sparrow Coffee Roastery,"2040 W Fulton St, Chicago, IL 60612",http://www.sparrowcoffee.com/,https://25f74f-2.myshopify.com/collections/frontpage,Chicago
Roast 808,"3350 Salt Creek Ln #115, Arlington Heights, IL 60005",https://www.roast808.com/,https://www.roast808.com/collections/frontpage,Chicago
Printer's Row Coffee Co.,"2482 N Lincoln Ave, Chicago, IL 60614",http://www.printersrowcoffeeco.com/,http://www.printersrowcoffeeco.com/shop,Chicago
Sputnik Coffee Company,"2618 W 48th St, Chicago, IL 60632",https://www.sputnikcoffeecompany.com/,https://www.sputnikcoffeecompany.com/collections/coffee,Chicago
Tugboat Coffee,"151 S Rohlwing Rd, Addison, IL 60101",http://www.tugboatcoffee.com/,https://www.tugboatcoffee.com/1shop,Chicago
Gost Coffee Roasters,"1333 S Schoolhouse Rd, New Lenox, IL 60451",http://gostcoffee.com/,https://www.gostcoffee.com/shop,Chicago
Reprise Coffee Roasters,"710 Main St, Evanston, IL 60202",http://www.repriseroasters.com/,http://www.repriseroasters.com/shop-online/coffee,Chicago
Stivers Coffee,"2215 S Union Ave, Chicago, IL 60616",https://www.stiverscoffee.biz/,https://www.stiverscoffee.biz/collections/all,Chicago
The Roasterie - Metropolis Coffee Company,"3057 N Rockwell St Building 1, Chicago, IL 60618",https://www.metropoliscoffee.com/,https://shop.metropoliscoffee.com/,Chicago
Heady Cup Coffee Roasters,"4127 W Orleans St, McHenry, IL 60050",https://headycup.com/,https://headycup.com/collections/all-coffee,Chicago
CBC Roasters,"541 W Golf Rd, Arlington Heights, IL 60005",https://www.cbcroasters.com/,https://www.cbcroasters.com/our-coffees/,Chicago
I Have a Bean,"655 Childs St, Wheaton, IL 60187",http://www.ihaveabean.com/?utm_source=google&utm_medium=organic&utm_campaign=gbp,http://www.ihaveabean.com/collections/retail,Chicago
Just Be Coffee Roasters,"400 Fisher St unit e, Munster, IN 46321",http://justbe.coffee/,https://justbe.coffee/shop/,Chicago
Veteran Roasters Cafe,"161 N Clark St suite 140 / Lobby, Chicago, IL 60601",https://www.veteranroasters.com/,https://www.veteranroasters.com/collections/all-coffee,Chicago
Ceramic Coffee Roasters,"N Bernard St, Chicago, IL 60625",https://ceramiccoffee.co/,https://ceramiccoffee.co/collections/beans,Chicago
Ixxa Coffee Roasters,"1720 Calumet Ave, Hammond, IN 46394",https://www.ixxacoffee.com/,https://www.ixxacoffee.com/collections/all,Chicago
Happy Monday Coffee Roasters,"1307 W Hollywood Ave, Chicago, IL 60660",http://www.happymondaycoffee.com/,http://www.happymondaycoffee.com/collections/all,Chicago
Soloway coffee,"2275 N Lincoln Ave, Chicago, IL 60614",http://www.solowaycoffee.com/,http://www.solowaycoffee.com/products/society-specialty-blend,Chicago
SEY Coffee,"18 Grattan St, Brooklyn, NY 11206",https://sey.coffee/,https://sey.coffee/products/2026-albino-ibias-tres-cedros-peru,Chicago
"Modest Coffee, Inc.","245 W Roosevelt Rd Bldg. 2 Ste. 15, West Chicago, IL 60185",http://www.modest.coffee/,https://www.modest.coffee/product-category/singlebags/,Chicago
Big Shoulders Coffee,"213 W Lake St, Chicago, IL 60606",http://www.bigshoulderscoffee.com/,http://www.bigshoulderscoffee.com/collections/coffee,Chicago
Hansa Coffee Roasters,"755 N Milwaukee Ave, Libertyville, IL 60048",http://www.hansacoffee.com/,http://www.hansacoffee.com/collections/single-origins,Chicago
Mojo Coffee,"190 S LaSalle St, Chicago, IL 60603",http://us.mojo.coffee/,http://us.mojo.coffee/collections/shop/coffee,Chicago
Passion House Coffee Roasters - Roastery,"328 N Albany Ave Ste 101, Chicago, IL 60612",http://www.passionhousecoffee.com/,http://www.passionhousecoffee.com/products/roasters-choice-single-origin-monthly,Chicago
Intelligentsia,"53 E Randolph St, Chicago, IL 60601",https://www.intelligentsia.com/pages/millennium-park-coffeebar,https://www.intelligentsia.com/collections/coffee,Chicago
Chicago French Press at Roosevelt Collection,"1021 S Delano Ct, Chicago, IL 60605",https://chicagofrenchpress.com/,https://chicagofrenchpress.com/collections/premium-blends,Chicago
